symbol,tier,listing_days,r2_btc,beta_btc,realized_vol_annual,kurt_trimmed
ARBUSDT,trend,1093,0.4013056597084061,1.269647824671207,0.9370659309137087,4.952085770440736
ARCUSDT,trend,482,0.08435967817817418,1.6123040520906122,2.4731385741979044,4.792953644212135
ARIAUSDT,junk,253,0.008588305286002653,0.4580953949647945,2.2763569371059256,6.9623448054620765
ARKMUSDT,trend,1020,0.3330565464028978,1.5279752555532686,1.2528460201442697,4.781215737069037
ARKUSDT,trend,598,0.26825677199054676,1.109008380710943,0.9721193427291156,6.065025981533569
ARMUSDT,junk,248,0.1214289740171172,0.51024498789499,0.6805122742773224,6.882791036375787
ARPAUSDT,trend,1093,0.19482398973549467,1.0223800430078394,1.082968101664937,6.066973831547037
ARUSDT,trend,1093,0.2857150096263045,1.3445327460662222,1.1760597149760887,4.951749383501111
ASMLUSDT,junk,248,0.13377271545641248,0.34215562755718026,0.4347687236040675,3.894674074049005
ASRUSDT,whale,373,0.08430109611862202,0.8433074018723696,1.226621732385846,16.02904964752009
ASTERUSDT,junk,237,0.12562016621844202,1.2384688757772824,1.6547901666989973,6.532012324052021
ASTRUSDT,trend,1093,0.36869160730528117,1.1223266845517117,0.8641958589355434,4.083639516208527
ATAUSDT,trend,758,0.2743264190159189,1.383561468573303,1.2283085029974523,4.102288586381599
ATHUSDT,trend,698,0.2518332316690084,1.1775356952217377,1.090304537753586,3.6029705185293563
ATOMUSDT,trend,1093,0.38807342208468854,1.006218334144201,0.7551961965186438,4.463221451277172
ATUSDT,junk,192,0.02641640313658898,0.4453498681941529,1.339709993703888,6.595330574740126
AUCTIONUSDT,whale,451,0.09987811686389006,0.8603167504402693,1.2297142206489224,13.204304613003016
AUSDT,junk,351,0.4352463563821456,1.2317896267698272,0.7921849217829358,5.7764475123344665
AVAUSDT,trend,517,0.3578592311634311,1.2803331297122416,0.9549312559677018,3.9089004965823135
AVAXUSDT,trend,1093,0.4865047531778249,1.3217128503272488,0.8859681029229795,4.418222868756387
AVGOUSDT,junk,92,0.2494800070001787,0.5073641597218905,0.42255518146640025,4.316182591972625
AVNTUSDT,junk,247,0.09879329444278412,1.462551297389525,2.166846007788834,16.81845992877077
AWEUSDT,junk,358,0.15774017980992386,0.8852743924981649,0.9422917399779587,5.089145120064327
AXLUSDT,trend,792,0.29408409599647406,1.3634724944145207,1.200256377892908,4.58002122150125
AXSUSDT,trend,1093,0.31679952445770715,1.197572411595224,0.9947960221861395,5.725674841441182
AXTIUSDT,junk,3,,,,
AZTECUSDT,junk,91,0.20730818804149634,2.071662334179064,1.8988744531791621,17.65495311903964
B2USDT,trend,379,0.06403438074486062,0.922615965357078,1.5338991835386309,6.065858524510023
BABAUSDT,junk,248,0.09563168021153202,0.3018353806821275,0.4536152336870903,6.610212072270289
BABYUSDT,trend,399,0.23772454620155758,1.467087800531293,1.2647207179686155,5.746277276411861
