feature,quantile,horizon,n,mean,median,win,std
body_to_range,"(0.615, 0.732]",fwd_ret_168h,1248,0.0026219303183607832,-0.031614659733642136,0.4238782051282051,0.2323032827515033
body_to_range,"(0.615, 0.732]",fwd_ret_336h,1209,0.02591795378399886,-0.040804720267292316,0.4284532671629446,0.3315742125504189
body_to_range,"(0.615, 0.732]",fwd_ret_672h,1173,0.029884474419747117,-0.09246901811248798,0.3734015345268542,0.578987028450271
body_to_range,"(0.732, 0.816]",fwd_ret_4h,1262,0.0004664269194554488,-0.0012538962973247525,0.47781299524564186,0.04249489556926006
body_to_range,"(0.732, 0.816]",fwd_ret_24h,1260,-0.00045831421933104923,-0.007275471787430043,0.4373015873015873,0.08976949880390206
body_to_range,"(0.732, 0.816]",fwd_ret_72h,1255,0.005102753227513819,-0.015271457956741341,0.4350597609561753,0.1683674193045311
body_to_range,"(0.732, 0.816]",fwd_ret_168h,1240,0.012287786453789886,-0.0214945006559914,0.4338709677419355,0.24087891645242468
body_to_range,"(0.732, 0.816]",fwd_ret_336h,1207,0.05307837441741959,-0.027882797731568876,0.4515327257663629,0.46469055359078926
body_to_range,"(0.732, 0.816]",fwd_ret_672h,1155,0.05736075916418138,-0.060756795167880684,0.4103896103896104,0.612926067750292
body_to_range,"(0.816, 0.894]",fwd_ret_4h,1263,0.002773956718630972,-0.00025673940949921814,0.4948535233570863,0.055621059980543196
body_to_range,"(0.816, 0.894]",fwd_ret_24h,1263,0.0011433677267385042,-0.00835515650330454,0.44418052256532065,0.09832936046403329
body_to_range,"(0.816, 0.894]",fwd_ret_72h,1261,0.005101338821226802,-0.017938825026848626,0.43774781919111816,0.1680037886131996
body_to_range,"(0.816, 0.894]",fwd_ret_168h,1240,0.011588578329885923,-0.02758165130915169,0.4338709677419355,0.2548620613558557
body_to_range,"(0.816, 0.894]",fwd_ret_336h,1197,0.02801331432921747,-0.042965123988860876,0.4227234753550543,0.3536694356681922
body_to_range,"(0.816, 0.894]",fwd_ret_672h,1149,0.03861042687261042,-0.07883530901139368,0.3951261966927763,0.5812884281378818
body_to_range,"(0.894, 1.0]",fwd_ret_4h,1263,0.001230802880317011,-0.00046728971962617383,0.48931116389548696,0.04111150261820648
body_to_range,"(0.894, 1.0]",fwd_ret_24h,1262,-0.0013705761427887646,-0.007183641760681481,0.43106180665610144,0.08562183480197358
body_to_range,"(0.894, 1.0]",fwd_ret_72h,1259,-0.008017556083028477,-0.01864352298296379,0.4130262112787927,0.13100262602794288
body_to_range,"(0.894, 1.0]",fwd_ret_168h,1240,-0.0025888574846328555,-0.033689795023064184,0.4290322580645161,0.2106791600882953
body_to_range,"(0.894, 1.0]",fwd_ret_336h,1196,0.009679289113629653,-0.05215993794977786,0.411371237458194,0.29216743551123586
