body_ret_min,vol_ratio_min,pullback_timeout_h,h,n,mean,median,win,std
0.02,2.0,24,336,5255,-0.021607210319751463,-0.07775871926815325,0.33320647002854425,0.35711492002764494
0.02,2.0,24,672,4843,-0.04255041933301645,-0.12929359927985973,0.2847408631013834,0.5989512164325124
0.02,2.0,168,4,5846,-9.408579422000299e-05,-0.0012519272011085048,0.47656517276770444,0.04568606260352105
0.02,2.0,168,12,5844,-0.0018799735554842793,-0.004617030253394494,0.4505475701574264,0.08027351699096319
0.02,2.0,168,24,5832,-0.004971456513061554,-0.010405376599970484,0.41975308641975306,0.10170481602794605
0.02,2.0,168,72,5811,-0.011859285048085762,-0.02443857331571997,0.40079160213388404,0.1605699899984609
0.02,2.0,168,168,5653,-0.022949517261942148,-0.05480116391852574,0.35786308154961965,0.23914492894988343
0.02,2.0,168,336,5282,-0.021945760922817217,-0.0778468979048969,0.33301779628928435,0.3568311342011296
0.02,2.0,168,672,4869,-0.0434282610243065,-0.12997618237495756,0.2840418977202711,0.5980456919343683
0.03,1.0,24,4,5005,-0.00015788702854104694,-0.001619790899720197,0.4699300699300699,0.05155384368033484
0.03,1.0,24,12,5002,-0.001522150000879347,-0.005805145912519016,0.4436225509796082,0.09041124702975498
0.03,1.0,24,24,4992,-0.0050342832310484205,-0.013194564199998371,0.41185897435897434,0.11256068309439593
0.03,1.0,24,72,4977,-0.011603599658363863,-0.027838427947598277,0.39883463934096847,0.179619088932202
0.03,1.0,24,168,4850,-0.021625892028806232,-0.05914858893033281,0.3581443298969072,0.2599716881710973
0.03,1.0,24,336,4564,-0.023681314000120177,-0.08676332128510739,0.32887817703768624,0.38363397484885714
0.03,1.0,24,672,4194,-0.03630755182756967,-0.14649247499841933,0.2825464949928469,0.6641920597652912
0.03,1.0,168,4,5024,-0.00020622902526230483,-0.0016156767798058969,0.46994426751592355,0.051656923673266825
0.03,1.0,168,12,5021,-0.0017943135747019489,-0.005812344312206008,0.4431388169687313,0.09087059924801966
0.03,1.0,168,24,5011,-0.005280498749403078,-0.01323999391264652,0.41189383356615444,0.11311720523435158
0.03,1.0,168,72,4996,-0.011878940008244583,-0.027838685505727434,0.3985188150520416,0.17984618860281104
0.03,1.0,168,168,4869,-0.022068882276511534,-0.05944348899766294,0.35756828917642225,0.2599418669706239
0.03,1.0,168,336,4582,-0.02404668041801799,-0.08691110097176757,0.3284591881274553,0.38342416002612884
0.03,1.0,168,672,4211,-0.03746148033992244,-0.14690004907574017,0.2818807884113037,0.6633800359446113
0.03,2.0,24,4,4045,-9.280271651646107e-05,-0.0015249266862170652,0.47095179233621753,0.05182883555882946
0.03,2.0,24,12,4044,-0.002276280520761449,-0.00621888780232166,0.4406528189910979,0.09096966807391459
0.03,2.0,24,24,4034,-0.005584576054904916,-0.01314810873915584,0.409766980664353,0.11071796679674153
0.03,2.0,24,72,4020,-0.01092668175376856,-0.027667458442294512,0.39502487562189054,0.17849923423036138
0.03,2.0,24,168,3912,-0.02152178784539164,-0.05970777137220806,0.35455010224948874,0.26414438415944175
0.03,2.0,24,336,3667,-0.0204161481204664,-0.08464667005592286,0.3318789200981729,0.3890367685906466
0.03,2.0,24,672,3374,-0.036406009805912076,-0.1435779423953198,0.2839359810314167,0.6518880322947667
0.03,2.0,168,4,4065,-0.00015582441410728827,-0.0015091233365346346,0.4708487084870849,0.051948304982581225
0.03,2.0,168,12,4064,-0.0026193006687625395,-0.006250365690860904,0.43996062992125984,0.0915191570172782
0.03,2.0,168,24,4054,-0.005906446285089142,-0.013225810737023891,0.4097187962506167,0.11141768523768418
0.03,2.0,168,72,4040,-0.011292645743376736,-0.027753206068660774,0.39455445544554457,0.1787718133161071
0.03,2.0,168,168,3932,-0.022083778459322554,-0.06035420081609594,0.35376398779247203,0.26405574234359236
0.03,2.0,168,336,3686,-0.020914308255987574,-0.0847586711558248,0.3312533912099837,0.38870799583932114
0.03,2.0,168,672,3392,-0.037874385224971045,-0.14393612805156786,0.2830188679245283,0.6508296041385496
