strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_chase,1w,60,h78_tr15_TP40_SL20_cutY,78,0.15,0.4,-0.2,True,81,53.1,14.88,5.08,28.8,719641.0,-49.5,1.97,3.88
trend_chase,1w,60,h52_tr20_TP30_SL15_cutN,52,0.2,0.3,-0.15,False,81,63.0,12.24,13.3,27.8,202645.1,-54.2,1.97,3.4
trend_chase,1w,60,h52_tr20_TP25_SL15_cutN,52,0.2,0.25,-0.15,False,81,64.2,11.2,17.0,25.7,118530.2,-57.9,1.96,3.21
trend_chase,1w,60,h52_tr25_TP40_SL15_cutY,52,0.25,0.4,-0.15,True,81,59.3,13.8,10.38,29.9,422755.5,-48.2,1.95,3.66
trend_chase,1w,60,h78_tr15_TP40_SL15_cutN,78,0.15,0.4,-0.15,False,81,54.3,14.6,6.31,29.0,572519.5,-56.4,1.93,3.63
trend_chase,1w,60,h78_tr20_TPx_SL20_cutY,78,0.2,0.0,-0.2,True,81,59.3,35.68,11.03,43.9,4410695665.7,-42.6,1.93,8.89
trend_chase,1w,60,h78_tr25_TPx_SL15_cutY,78,0.25,0.0,-0.15,True,81,54.3,34.61,11.03,45.1,2371848568.7,-55.2,1.91,7.26
trend_chase,1w,60,h52_tr20_TP40_SL15_cutY,52,0.2,0.4,-0.15,True,81,59.3,13.18,6.31,28.7,295353.9,-48.2,1.9,3.67
trend_chase,1w,60,h78_tr15_TPx_SLx_cutY,78,0.15,0.0,,True,81,53.1,22.77,5.08,35.3,22056517.4,-44.4,1.89,5.84
trend_chase,1w,60,h26_tr20_TP25_SL20_cutN,26,0.2,0.25,-0.2,False,81,66.7,9.63,11.13,19.7,49729.8,-51.8,1.89,3.34
trend_chase,1w,60,h26_tr25_TP25_SL20_cutN,26,0.25,0.25,-0.2,False,81,67.9,9.63,11.13,20.0,48968.6,-51.8,1.88,3.32
trend_chase,1w,60,h39_tr25_TP25_SLx_cutN,39,0.25,0.25,,False,81,64.2,10.21,9.54,28.1,62189.3,-61.9,1.87,3.33
trend_chase,1w,60,h52_tr25_TP25_SL15_cutY,52,0.25,0.25,-0.15,True,81,61.7,10.59,13.3,24.6,78139.9,-52.3,1.87,3.11
trend_chase,1w,60,h39_tr20_TP25_SLx_cutN,39,0.2,0.25,,False,81,63.0,10.12,8.63,27.3,59774.0,-56.2,1.87,3.38
trend_chase,1w,60,h52_tr15_TP40_SL20_cutN,52,0.15,0.4,-0.2,False,81,59.3,13.44,7.83,29.6,301862.6,-57.8,1.87,3.6
trend_chase,1w,60,h26_tr20_TP30_SL20_cutN,26,0.2,0.3,-0.2,False,81,65.4,10.88,11.03,20.2,93872.8,-45.7,1.86,3.62
trend_chase,1w,60,h52_tr20_TP25_SL15_cutY,52,0.2,0.25,-0.15,True,81,60.5,10.38,11.43,24.0,69324.7,-52.3,1.86,3.12
