strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_pullback,1d,60,h120_tr15_TP30_SL15_cutY,120,0.15,0.3,-0.15,True,18143,41.4,4.65,-4.77,36.0,3.0785462848864325e+221,-100.0,11.87,1.8
trend_pullback,1d,60,h120_tr15_TP25_SL20_cutY,120,0.15,0.25,-0.2,True,18143,42.4,4.4,-4.21,35.2,5.846911402357709e+214,-100.0,11.86,1.76
trend_pullback,1d,60,h120_tr25_TPx_SL20_cutY,120,0.25,0.0,-0.2,True,18143,47.5,13.08,-1.99,72.6,inf,,11.85,2.92
trend_pullback,1d,60,h365_tr15_TPx_SL20_cutN,365,0.15,0.0,-0.2,False,18143,45.7,8.26,-2.31,56.1,inf,,11.84,2.35
trend_pullback,1d,60,h365_tr20_TPx_SL15_cutY,365,0.2,0.0,-0.15,True,18143,40.5,11.01,-5.71,74.9,inf,,11.79,2.61
trend_pullback,1d,60,h180_tr15_TPx_SL20_cutN,180,0.15,0.0,-0.2,False,18143,45.9,8.13,-2.25,53.8,inf,,11.75,2.33
trend_pullback,1d,60,h252_tr15_TP25_SL15_cutY,252,0.15,0.25,-0.15,True,18143,41.1,4.36,-4.95,35.5,4.8334986955353287e+210,-100.0,11.68,1.74
trend_pullback,1d,60,h120_tr20_TPx_SL15_cutN,120,0.2,0.0,-0.15,False,18143,46.1,10.07,-2.62,62.5,inf,,11.68,2.47
trend_pullback,1d,60,h180_tr15_TP25_SL15_cutY,180,0.15,0.25,-0.15,True,18143,41.2,4.34,-4.94,35.1,2.553487424685279e+209,-100.0,11.64,1.74
trend_pullback,1d,60,h120_tr25_TPx_SL15_cutN,120,0.25,0.0,-0.15,False,18143,48.1,13.36,-1.51,71.5,inf,,11.64,2.86
trend_pullback,1d,60,h365_tr15_TP25_SL15_cutY,365,0.15,0.25,-0.15,True,18143,41.0,4.34,-4.97,35.6,2.109990570146713e+209,-100.0,11.64,1.74
trend_pullback,1d,60,h120_tr20_TPx_SLx_cutY,120,0.2,0.0,,True,18143,44.7,9.83,-3.53,63.4,inf,,11.55,2.53
trend_pullback,1d,60,h180_tr20_TPx_SL15_cutY,180,0.2,0.0,-0.15,True,18143,41.4,10.7,-5.57,66.4,inf,,11.51,2.59
trend_pullback,1d,60,h120_tr15_TPx_SL20_cutN,120,0.15,0.0,-0.2,False,18143,46.2,7.5,-2.06,50.0,inf,,11.46,2.24
trend_pullback,1d,60,h120_tr15_TP25_SL15_cutY,120,0.15,0.25,-0.15,True,18143,41.6,4.21,-4.72,34.0,2.3303830762592545e+202,-100.0,11.41,1.72
trend_pullback,1d,60,h120_tr20_TPx_SL20_cutY,120,0.2,0.0,-0.2,True,18143,44.3,9.63,-3.84,61.1,inf,,11.35,2.48
trend_pullback,1d,60,h252_tr15_TPx_SL15_cutN,252,0.15,0.0,-0.15,False,18143,44.2,7.7,-3.08,52.1,inf,,11.21,2.25
trend_pullback,1d,60,h365_tr15_TPx_SL15_cutN,365,0.15,0.0,-0.15,False,18143,44.1,7.69,-3.11,52.8,inf,,11.17,2.24
trend_pullback,1d,60,h180_tr15_TPx_SL15_cutN,180,0.15,0.0,-0.15,False,18143,44.3,7.58,-3.05,50.7,inf,-100.0,11.11,2.23
trend_pullback,1d,60,h120_tr25_TPx_SL15_cutY,120,0.25,0.0,-0.15,True,18143,44.4,12.14,-5.07,65.8,inf,,11.09,2.78
trend_pullback,1d,60,h252_tr15_TPx_SLx_cutY,252,0.15,0.0,,True,18143,42.3,7.42,-4.07,54.1,1.0515532392997868e+305,-100.0,11.05,2.28
trend_pullback,1d,60,h365_tr15_TPx_SLx_cutY,365,0.15,0.0,,True,18143,42.3,7.42,-4.07,56.5,6.645613742532649e+301,-100.0,11.02,2.28
trend_pullback,1d,60,h120_tr20_TPx_SL15_cutY,120,0.2,0.0,-0.15,True,18143,42.6,9.17,-5.27,57.5,inf,,10.87,2.41
trend_pullback,1d,60,h120_tr15_TPx_SL15_cutN,120,0.15,0.0,-0.15,False,18143,44.7,7.04,-2.9,47.3,9.455227909230483e+290,-100.0,10.87,2.15
trend_pullback,1d,60,h180_tr15_TPx_SLx_cutY,180,0.15,0.0,,True,18143,42.3,7.25,-4.12,51.4,2.7950325235402713e+297,-100.0,10.86,2.25
trend_pullback,1d,60,h252_tr15_TPx_SL20_cutY,252,0.15,0.0,-0.2,True,18143,41.6,7.13,-4.52,49.3,1.2638103819517283e+291,-100.0,10.68,2.21
trend_pullback,1d,60,h365_tr15_TPx_SL20_cutY,365,0.15,0.0,-0.2,True,18143,41.5,7.12,-4.57,50.0,1.0429905280095551e+289,-100.0,10.63,2.21
trend_pullback,1d,60,h180_tr15_TPx_SL20_cutY,180,0.15,0.0,-0.2,True,18143,41.6,7.01,-4.49,47.9,1.2852909369727708e+285,-100.0,10.55,2.19
trend_pullback,1d,60,h120_tr15_TPx_SLx_cutY,120,0.15,0.0,,True,18143,42.4,6.67,-4.04,46.7,8.916595978314476e+275,-100.0,10.51,2.16
trend_pullback,1d,60,h252_tr15_TPx_SL15_cutY,252,0.15,0.0,-0.15,True,18143,40.8,6.86,-5.0,47.6,2.2957916695586515e+275,-100.0,10.34,2.16
trend_pullback,1d,60,h365_tr15_TPx_SL15_cutY,365,0.15,0.0,-0.15,True,18143,40.7,6.86,-5.03,48.3,6.99995145727268e+273,-100.0,10.31,2.16
trend_pullback,1d,60,h120_tr15_TPx_SL20_cutY,120,0.15,0.0,-0.2,True,18143,42.0,6.49,-4.31,44.5,2.7459040110414316e+266,-100.0,10.27,2.12
trend_pullback,1d,60,h180_tr15_TPx_SL15_cutY,180,0.15,0.0,-0.15,True,18143,40.9,6.76,-4.98,46.4,4.072769376108408e+270,-100.0,10.24,2.15
trend_pullback,1d,60,h120_tr15_TPx_SL15_cutY,120,0.15,0.0,-0.15,True,18143,41.3,6.3,-4.79,43.2,2.6768520022163887e+254,-100.0,9.99,2.08
