asset,strategy,interval,score_th,trail,tp,hold,rule_name,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
kr,quiet_bottom,1w,binary,0.15,0.3,52,trail15_TP30_hold52,370,63.8,16.13,-95.7,5.91,4.35,242,45.5,9.02,-93.6,3.42,2.21,-0.421
kr,quiet_bottom,1w,binary,0.15,0.4,52,trail15_TP40_hold52,370,63.5,17.76,-95.2,5.85,4.68,242,45.5,9.49,-92.0,3.4,2.27,-0.419
kr,quiet_bottom,1w,binary,0.15,0.5,52,trail15_TP50_hold52,370,63.5,19.62,-95.4,5.78,5.06,242,45.5,8.58,-92.0,3.08,2.15,-0.467
kr,quiet_bottom,1w,binary,0.15,,52,trail15_TPoff_hold52,370,63.5,24.17,-96.9,4.86,6.01,242,45.5,10.05,-93.6,2.35,2.34,-0.516
kr,quiet_bottom,1w,binary,0.2,0.2,52,trail20_TP20_hold52,370,73.5,16.0,-96.7,6.76,4.27,242,57.9,10.26,-90.8,4.18,2.4,-0.382
kr,quiet_bottom,1w,binary,0.2,0.25,52,trail20_TP25_hold52,370,68.6,17.57,-96.7,6.75,4.44,242,53.7,11.45,-91.0,4.3,2.51,-0.363
kr,quiet_bottom,1w,binary,0.2,0.3,52,trail20_TP30_hold52,370,65.7,19.29,-97.3,6.7,4.7,242,53.3,12.27,-90.8,4.41,2.62,-0.342
kr,quiet_bottom,1w,binary,0.2,0.4,52,trail20_TP40_hold52,370,64.6,22.27,-97.0,6.8,5.23,242,52.9,13.21,-90.8,4.4,2.74,-0.353
kr,quiet_bottom,1w,binary,0.2,0.5,52,trail20_TP50_hold52,370,64.6,24.85,-97.2,6.7,5.72,242,52.9,12.84,-90.8,4.15,2.69,-0.381
kr,quiet_bottom,1w,binary,0.2,,52,trail20_TPoff_hold52,370,64.6,33.9,-97.9,4.09,7.44,242,52.9,25.45,-93.0,3.2,4.36,-0.218
