symbol,ts_trigger,ts_pullback,ts_entry,hours_to_pullback,body_ret,vol_ratio,trigger_close,pullback_low,pullback_ma_short,entry_price,body_ret_min,vol_ratio_min,pullback_timeout_h,fwd_ret_4h,fwd_ret_12h,fwd_ret_24h,fwd_ret_72h,fwd_ret_168h,fwd_ret_336h,fwd_ret_672h,rank_group
BLESSUSDT,1776240000000,1776243600000,1776247200000,1,0.11193627828228407,3.1655831135883647,0.028897,0.023493,0.024276700000000002,0.026609,0.02,1.0,24,-0.2939606899921079,-0.6143785937088955,-0.5634183922732909,-0.7153218835732271,-0.7695892367244166,-0.7736104325604118,-0.7550452854297418,BOT
TUTUSDT,1759582800000,1759647600000,1759651200000,18,0.050031269543464714,3.0573783246093567,0.08395,0.10174,0.10864499999999999,0.10584,0.02,1.0,24,-0.0394935752078609,0.1363378684807257,-0.18792517006802723,-0.19803476946334098,-0.7498110355253212,-0.7579365079365079,-0.8133975812547241,BOT
STOUSDT,1775066400000,1775120400000,1775124000000,15,0.10135172111859031,1.3692497083333681,0.4025,0.50473,0.718107,0.56018,0.02,1.0,24,0.1575743511014316,-0.6078046342247134,-0.7643436038416224,-0.6320825448962833,-0.7433146488628655,-0.7908350887214823,-0.8356599664393588,BOT
BLESSUSDT,1776052800000,1776128400000,1776132000000,21,0.0435259291744326,1.0258166298341593,0.009518,0.019003,0.020234400000000003,0.020481,0.02,1.0,24,0.24857184707777957,-0.11220155265856147,0.16498217860456044,-0.46350275865436263,-0.7029441921781163,-0.7044577901469655,-0.6666666666666667,BOT
SOONUSDT,1763146800000,1763150400000,1763154000000,1,0.8189892051030424,31.34241190952252,3.7071,2.1897,2.19199,2.5693,0.02,1.0,24,0.02852917136963362,0.03506791733156889,-0.019343790137391514,-0.46125403806484255,-0.7025649009457829,-0.7898260226520842,-0.8402288561086677,BOT
LYNUSDT,1773435600000,1773442800000,1773446400000,2,0.03309239472030182,1.0155878953875166,0.32873,0.19235,0.30527899999999997,0.1936,0.02,1.0,24,0.06033057851239665,-0.008212809917355401,-0.2211776859504132,-0.6876549586776859,-0.7008264462809917,-0.715444214876033,-0.7535123966942149,BOT
TUTUSDT,1760000400000,1760007600000,1760011200000,2,0.024792461296836477,1.8880987303017722,0.09135,0.08779,0.089341,0.08844,0.02,1.0,24,0.0024875621890547706,-0.011872455902306789,0.006897331524197137,-0.6943690637720489,-0.697535052012664,-0.7437810945273632,-0.7979421076436002,BOT
MYXUSDT,1770534000000,1770541200000,1770544800000,2,0.02242088381472608,3.7768247024666666,6.4389,6.3424,6.352729999999999,6.4419,0.02,1.0,24,0.00048122448345977453,0.02278830779738894,-0.03797016408202547,-0.24081404554556884,-0.6946708269299431,-0.858892562753225,-0.9525916266939878,BOT
BLESSUSDT,1776142800000,1776146400000,1776150000000,1,0.2858004827031377,1.1332150951108582,0.025572,0.018699,0.0224933,0.020008,0.02,1.0,24,-0.12959816073570574,-0.15518792483006794,0.2903338664534185,-0.5229408236705319,-0.6910735705717713,-0.7062674930027989,-0.6586365453818472,BOT
ARCUSDT,1771956000000,1772013600000,1772017200000,16,0.03243871513102286,1.6615287281795945,0.09771,0.10656,0.111935,0.116,0.02,1.0,24,-0.0055172413793103114,-0.4418965517241379,-0.7089655172413794,-0.7641379310344828,-0.690948275862069,-0.6231034482758621,-0.6287931034482759,BOT
SIRENUSDT,1774774800000,1774792800000,1774796400000,5,0.09561607336493474,1.1635943322674287,1.76816,1.6282,1.6766510000000001,1.70714,0.02,1.0,24,0.003327202221258929,0.03327787996297893,0.005055238586173294,-0.8411963869395598,-0.6787316798856567,-0.5403364691823752,-0.5973382382229928,BOT
LYNUSDT,1773338400000,1773356400000,1773360000000,5,0.09176838597803548,1.098832729613103,0.3211,0.27433,0.284045,0.30814,0.02,1.0,24,-0.08703835918738234,-0.026676186149153014,-0.3717141559031609,-0.7106185500097358,-0.6621665476731355,-0.8367949633283572,-0.8526643733367949,BOT
