strategy,A_n_bars,A_tolerance,h,n,mean,median,win,B_timeout_h,C_n_bars,D_n_bars,E_max_days
A,24.0,0.05,72,2507,-0.010567750188731876,-0.027358105349121975,0.4016753091344236,,,,
A,24.0,0.05,168,2439,-0.02565851759709724,-0.05707196029776662,0.3546535465354654,,,,
A,24.0,0.05,336,2275,-0.03099308579550391,-0.08224367591347914,0.3301098901098901,,,,
A,24.0,0.05,672,2106,-0.04983595463313636,-0.13544940289126334,0.2896486229819563,,,,
A,48.0,0.02,4,1537,0.0030994254114964986,-0.00030362835888864126,0.4892648015614834,,,,
A,48.0,0.02,24,1537,-0.0035943146397424876,-0.014471544715447093,0.41379310344827586,,,,
A,48.0,0.02,72,1527,-0.012131288975577378,-0.026039058587881803,0.3935821872953504,,,,
A,48.0,0.02,168,1484,-0.02201294796293148,-0.059472885461545666,0.3389487870619946,,,,
A,48.0,0.02,336,1374,-0.032839210569926246,-0.08433555074361082,0.3311499272197962,,,,
A,48.0,0.02,672,1269,-0.0486930632815907,-0.14204185161699423,0.2773837667454689,,,,
A,48.0,0.05,4,2076,0.002450610091238738,-0.00032240119101967224,0.48747591522157996,,,,
A,48.0,0.05,24,2074,-0.003979490540424538,-0.011733078907895433,0.42719382835101255,,,,
A,48.0,0.05,72,2059,-0.01351923259159105,-0.026039058587881803,0.3909664885866926,,,,
A,48.0,0.05,168,1992,-0.02563785163499177,-0.05797940899853293,0.34387550200803213,,,,
A,48.0,0.05,336,1853,-0.0329532957442518,-0.08222891566265056,0.3318942255801403,,,,
A,48.0,0.05,672,1713,-0.05324855958768093,-0.13582018173122912,0.28021015761821366,,,,
B,,,4,3197,-0.000761919822210677,-0.003566333808844524,0.4435408195182984,48.0,,,
B,,,24,3187,-0.007062844877656886,-0.012815378454144932,0.403514276749294,48.0,,,
B,,,72,3178,-0.013691140988009042,-0.03056284449218044,0.38074260541220895,48.0,,,
B,,,168,3093,-0.027207478511351316,-0.060538670620212565,0.34949886841254446,48.0,,,
B,,,336,2897,-0.028359896777294717,-0.08664523670368207,0.32896099413186053,48.0,,,
B,,,672,2657,-0.041105449797630846,-0.13976377952755892,0.2882950696273993,48.0,,,
C,,,4,2138,-0.0011012341974792727,-0.0050676900221217624,0.43405051449953225,,12.0,,
C,,,24,2134,-0.01093476554368612,-0.020141701743821627,0.3959700093720712,,12.0,,
C,,,72,2126,-0.018751619315315986,-0.038553417217692065,0.3673565380997178,,12.0,,
C,,,168,2070,-0.029621462844453002,-0.0678901561861292,0.32753623188405795,,12.0,,
C,,,336,1933,-0.03174986225978655,-0.09413377294533865,0.3269529229177444,,12.0,,
C,,,672,1767,-0.031016018004325796,-0.14910025706940877,0.2829654782116582,,12.0,,
C,,,4,2295,-0.0007177357555191063,-0.005220659891410295,0.4305010893246187,,24.0,,
C,,,24,2291,-0.00890399919834707,-0.01984334203655358,0.3980794412920122,,24.0,,
C,,,72,2282,-0.018777046291462735,-0.038478090470596804,0.36809815950920244,,24.0,,
C,,,168,2224,-0.029301118211016663,-0.0678901561861292,0.3277877697841727,,24.0,,
C,,,336,2080,-0.029223953268427996,-0.09404915924651908,0.3269230769230769,,24.0,,
C,,,672,1900,-0.03415001881533586,-0.14726016184828267,0.28526315789473683,,24.0,,
C,,,4,2451,-0.0007839839312497945,-0.005050505050504972,0.43451652386780903,,48.0,,
C,,,24,2447,-0.009365867543107587,-0.020108168076549693,0.3959950960359624,,48.0,,
C,,,72,2437,-0.018760948161513722,-0.038520130576713774,0.3684858432498974,,48.0,,
C,,,168,2378,-0.02831480420944473,-0.06708096606351566,0.3301093355761144,,48.0,,
C,,,336,2220,-0.026703287921261528,-0.09334853836132612,0.32837837837837835,,48.0,,
C,,,672,2029,-0.03373499354977493,-0.14702883100027808,0.28486939379004433,,48.0,,
D,,,4,2412,-0.0028714674795022417,-0.00300073074558016,0.4564676616915423,,,4.0,
D,,,24,2407,-0.01199606888685145,-0.016458569807037415,0.38637307852098046,,,4.0,
D,,,72,2396,-0.020600506241112305,-0.035270628453288655,0.36435726210350583,,,4.0,
D,,,168,2342,-0.033585630884837674,-0.06602884954171412,0.336464560204953,,,4.0,
D,,,336,2189,-0.03108952869472598,-0.0925736908849093,0.323435358611238,,,4.0,
D,,,672,2013,-0.045186476248289795,-0.1465547006820891,0.2791852955787382,,,4.0,
D,,,4,2004,-0.0023632579217225517,-0.005313509681461437,0.4166666666666667,,,8.0,
D,,,24,1999,-0.012713922615686117,-0.015808420723117833,0.38219109554777386,,,8.0,
D,,,72,1991,-0.020184494788385455,-0.03491124260355016,0.37870416875941737,,,8.0,
D,,,168,1941,-0.03315802300198587,-0.06707521424809681,0.33900051519835134,,,8.0,
D,,,336,1816,-0.031131113993731835,-0.08971205867023457,0.32323788546255505,,,8.0,
D,,,672,1675,-0.04086645927791761,-0.13941098120467676,0.28059701492537314,,,8.0,
D,,,4,1540,-0.0018818808726296394,-0.0019168124306997991,0.45714285714285713,,,12.0,
D,,,24,1538,-0.011242856506929607,-0.01485258677138418,0.3914174252275683,,,12.0,
D,,,72,1531,-0.01826398304647352,-0.036455059710873594,0.372305682560418,,,12.0,
D,,,168,1492,-0.029176632119448553,-0.06506040821812759,0.339142091152815,,,12.0,
D,,,336,1400,-0.025102233347226346,-0.08928910685788116,0.32857142857142857,,,12.0,
D,,,672,1299,-0.025426987229214774,-0.13937702894856863,0.29022324865280985,,,12.0,
E,,,4,1312,-0.0026067439268437323,-0.0052723877451016365,0.4169207317073171,,,,2.0
E,,,24,1312,-0.00868390909891356,-0.017678625965300176,0.39253048780487804,,,,2.0
E,,,72,1304,-0.020274645977578,-0.03923920906679523,0.3688650306748466,,,,2.0
E,,,168,1261,-0.0249828090408238,-0.06795511221945139,0.344964314036479,,,,2.0
E,,,336,1175,-0.02197665249009027,-0.10483005366726283,0.32340425531914896,,,,2.0
E,,,672,1066,-0.027144938763257513,-0.15915974211298423,0.2795497185741088,,,,2.0
