body_ret_min,vol_ratio_min,horizon_h,n,mean,median,std,win,var_adj
0.05,3.0,672,3003,0.030848743161282017,-0.10560344827586221,0.6881942877342174,0.3706293706293706,-1.1046718316001767
0.05,5.0,4,2350,0.0002520412215671855,-0.009211546703892015,0.0910755927586177,0.4280851063829787,-0.150022686830152
0.05,5.0,12,2349,-6.240114186729855e-05,-0.015279241306638491,0.12825540013006084,0.4069816943380162,-0.21168381135646766
0.05,5.0,24,2347,-0.005121583149165927,-0.02510266260431837,0.15329798587409435,0.38645078824030676,-0.2580632598414216
0.05,5.0,72,2345,-0.0034979458536492335,-0.03342186808322267,0.21062466278480974,0.39189765458422177,-0.35102863944858526
0.05,5.0,168,2313,0.0008482683617940995,-0.046511627906976716,0.28175372980360985,0.39731949848681364,-0.46404538581416216
0.05,5.0,336,2239,0.023671639038929153,-0.06215976705912141,0.4206750763725212,0.4015185350602948,-0.6704422369757309
0.05,5.0,672,2134,0.028572601216599006,-0.09488789788045265,0.643991131997972,0.37910028116213684,-1.0340127665800547
0.05,10.0,4,1208,-0.0005457784200847275,-0.01256722306287722,0.1005277442230734,0.4163907284768212,-0.1664165563881558
0.05,10.0,12,1207,-0.0038315410068046666,-0.018131101813110284,0.1380702674736863,0.39188069594034797,-0.23164748233838706
0.05,10.0,24,1206,-0.008707155159875262,-0.030474082933761526,0.1658389559619222,0.36069651741293535,-0.28234143249704685
0.05,10.0,72,1204,-0.011840168844602013,-0.04676208575530921,0.2256667610224303,0.3579734219269103,-0.384190324531612
0.05,10.0,168,1191,-0.013554691320902717,-0.06047197640117996,0.2824319121447202,0.3677581863979849,-0.479567346359691
0.05,10.0,336,1149,0.014945176183384567,-0.0718647252231095,0.42016354928686467,0.3907745865970409,-0.6783246801399422
0.05,10.0,672,1092,0.035872526946305015,-0.09483521854974036,0.635977328941649,0.38278388278388276,-1.013490065807416
0.07,3.0,4,1864,-0.0003171542227283127,-0.011622336890577123,0.10117346694998457,0.42972103004291845,-0.16725337469020285
0.07,3.0,12,1864,-0.003997338721583719,-0.022612294703706348,0.1421878796686963,0.3948497854077253,-0.23860734017493263
0.07,3.0,24,1862,-0.010653282357590792,-0.03395171265709096,0.16958248901653142,0.3678839957035446,-0.2904643892348676
0.07,3.0,72,1857,-0.009085791981091725,-0.05084745762711862,0.23684172562199388,0.3656435110393107,-0.3998746392573816
0.07,3.0,168,1829,-0.007595492917948022,-0.06722106722106735,0.3199775482994554,0.3679606342263532,-0.5355584476120494
0.07,3.0,336,1777,0.013751780734392456,-0.09069420893068192,0.4667383607131852,0.3674732695554305,-0.7563665144423631
0.07,3.0,672,1690,0.02850813064034236,-0.13660882822709453,0.7529235058719763,0.34023668639053256,-1.2138156540484186
0.07,5.0,4,1422,0.0005441002898261765,-0.01327786405104675,0.10853583529729538,0.42756680731364277,-0.1785400279507112
0.07,5.0,12,1422,-0.0029486608389137896,-0.023953971598815293,0.14813836009138942,0.38677918424753865,-0.24737695498970633
0.07,5.0,24,1420,-0.01035888697955225,-0.03414160045857312,0.17504304911390167,0.3626760563380282,-0.29917991801749
0.07,5.0,72,1418,-0.009599387595183634,-0.05094450534316991,0.23517901655117954,0.36600846262341324,-0.39764476490462985
0.07,5.0,168,1398,-0.010027196547104596,-0.06783844884017881,0.30587092769184504,0.36337625178826893,-0.5147142272386489
0.07,5.0,336,1356,0.011995154974974347,-0.08778703749418892,0.4526091225856469,0.3665191740412979,-0.7348098972913429
0.07,5.0,672,1286,0.027018193525027726,-0.12674098561595976,0.72762787852774,0.3468118195956454,-1.1735678060457433
0.07,10.0,4,840,0.0006905194431812298,-0.015759332115285518,0.11414134605727962,0.4226190476190476,-0.18764270155133012
0.07,10.0,12,840,-0.0036311147004483564,-0.025334335217984782,0.15756930459980634,0.38571428571428573,-0.2636204672901288
0.07,10.0,24,839,-0.008556409207625067,-0.03583394027676612,0.1889083028382585,0.36114421930870083,-0.32025510889075154
0.07,10.0,72,837,-0.011706613874387196,-0.05603784627389763,0.2513426514871615,0.34886499402628435,-0.42642198882820365
0.07,10.0,168,830,-0.016376716586550995,-0.07154538340432642,0.3096957592684766,0.344578313253012,-0.5273747193795374
0.07,10.0,336,802,0.008285299362279168,-0.09128371218662606,0.45469056474709313,0.3478802992518703,-0.7419541324704244
0.07,10.0,672,762,0.02755696236043161,-0.1146033776300549,0.6709081591639859,0.35039370078740156,-1.079441500260145
0.1,3.0,4,964,-0.0037512978538776437,-0.017617111323181667,0.11974798988761133,0.4087136929460581,-0.20133548116843633
0.1,3.0,12,964,-0.013290483647076003,-0.03757736729565636,0.16789120640594243,0.3703319502074689,-0.290310974216881
0.1,3.0,24,962,-0.021484162608377586,-0.05212824239338393,0.19633104026009124,0.34303534303534305,-0.3454303790375281
0.1,3.0,72,959,-0.029115031898612982,-0.07605633802816913,0.26387567536383794,0.3284671532846715,-0.46450989624894556
