body_ret_min,vol_ratio_min,h,n,mean,median,win,std
0.1,5.0,168,485,-0.07969400570870143,-0.13643471462079748,0.2515463917525773,0.3282782356909561
0.1,5.0,336,461,-0.09872924889897632,-0.15616268239677122,0.2472885032537961,0.3827076107310948
0.1,5.0,672,425,-0.1233178155347319,-0.22488866897575455,0.2164705882352941,0.607017708161009
0.1,10.0,4,338,-0.009832657620479732,-0.026596504302176083,0.38461538461538464,0.13552831677254057
0.1,10.0,12,338,-0.017730085584741217,-0.055039137569258045,0.34615384615384615,0.20240001028244164
0.1,10.0,24,337,-0.028663171353921733,-0.06965648854961826,0.314540059347181,0.23404632178723306
0.1,10.0,72,335,-0.051823027969210296,-0.09921645445641525,0.28059701492537314,0.26927301552060223
0.1,10.0,168,333,-0.0802168836369533,-0.13435374149659862,0.2552552552552553,0.3323348866407016
0.1,10.0,336,317,-0.09318147138334423,-0.14525993883792054,0.24290220820189273,0.37310432829713996
0.1,10.0,672,293,-0.12118874788816324,-0.21877424359968967,0.22184300341296928,0.571162849685603
