ma_short_period,gate_strict,horizon_d,n,mean,median,std,win,var_adj
10,False,2,11605,0.003199116031068812,-0.000861209319191425,0.09215667499894793,0.48806548901335634,-0.14885939771719525
10,False,3,11562,-0.0006839301338850326,-0.0033557845755937676,0.11344656737089634,0.478463933575506,-0.187870766295864
10,False,4,11559,-0.00022421347073360004,-0.003824091778202532,0.12551852692045365,0.47495458084609393,-0.2073297828894821
10,False,5,11539,0.0033976595754757373,-0.0019086883493663054,0.13694390758071145,0.4848773723892885,-0.22255978793269815
10,False,6,11534,0.0006518709332011066,-0.008675038651646316,0.14399421714613767,0.461158314548292,-0.23693858735792603
10,False,7,11508,0.00399681080494449,-0.00959633841201507,0.15935823219587714,0.4561174834897463,-0.25894427231825273
10,False,14,11490,0.003723014050734015,-0.018018018018017945,0.2684871440238368,0.446562228024369,-0.4392807735885967
10,False,21,11459,0.007704871061867392,-0.04597701149425293,0.3953040115217553,0.3947115804171394,-0.6445467479490289
10,False,28,11429,-0.00880497680286662,-0.06598029995545207,0.46921446476258416,0.35663662612652025,-0.7830088436611304
10,False,35,11373,-0.01889877273703783,-0.08629303297302204,0.5455552725330909,0.35083091532577154,-0.9190649724166378
10,False,42,11319,-0.016146180476434603,-0.10414993306559572,0.6032713681215446,0.34464175280501813,-1.011543937876983
10,False,49,11284,-0.026192903468076283,-0.12776257320267204,0.6454616193106922,0.32337823466855725,-1.0912045753307185
10,False,56,11256,-0.04751536684652731,-0.16680644079168072,0.6044819883405161,0.30863539445628996,-1.044910647608379
