asset,strategy,interval,window,start,end,threshold,max_hold,trailing_pct,take_profit_pct,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
us,trend_pullback,1d,W1,2020-05-01,2021-05-01,70,252,0.2,0.3,4809,63.9,14.64,30.02,100.8,3.825642978684648e+242,-99.9,45.4,4.21
us,trend_pullback,1d,W2,2021-05-01,2022-05-01,70,252,0.2,0.3,1791,29.1,-3.67,-11.79,81.5,-100.0,-100.0,-5.86,0.72
us,trend_pullback,1d,W3,2022-05-01,2023-05-01,70,252,0.2,0.3,2851,44.7,5.17,-4.4,87.8,1.5674599857230565e+33,-100.0,11.77,1.65
us,trend_pullback,1d,W4,2023-05-01,2024-05-01,70,252,0.2,0.3,2807,49.6,8.76,-0.69,83.7,7.21876460584999e+69,-100.0,18.31,2.19
us,trend_pullback,1d,W5,2024-05-01,2025-05-01,70,252,0.2,0.3,2586,41.7,5.17,-5.65,68.7,2.7216362155476613e+26,-100.0,10.39,1.61
us,trend_pullback,1d,W6,2025-05-01,2026-05-18,70,252,0.2,0.3,4310,58.1,11.54,13.23,56.1,1.3566612584611666e+162,-100.0,31.45,3.09
us,trend_pullback,1w,W1,2020-05-01,2021-05-01,70,52,0.2,0.3,1273,67.9,16.36,30.29,26.4,2.7720012699399543e+73,-95.6,25.48,4.81
us,trend_pullback,1w,W2,2021-05-01,2022-05-01,70,52,0.2,0.3,795,26.4,-5.9,-12.19,26.0,-100.0,-100.0,-6.67,0.57
us,trend_pullback,1w,W3,2022-05-01,2023-05-01,70,52,0.2,0.3,762,54.2,8.86,7.23,29.4,8.075770299725803e+21,-99.4,10.36,2.35
us,trend_pullback,1w,W4,2023-05-01,2024-05-01,70,52,0.2,0.3,1035,59.7,13.25,29.96,25.6,5.552419666418907e+44,-98.5,16.19,3.15
us,trend_pullback,1w,W5,2024-05-01,2025-05-01,70,52,0.2,0.3,971,44.0,6.11,-5.06,22.7,24479131037612.6,-99.9,7.1,1.7
us,trend_pullback,1w,W6,2025-05-01,2026-05-18,70,52,0.2,0.3,1076,57.0,10.06,7.07,15.8,1.6487606790802706e+34,-99.9,12.94,2.63
us,trend_chase,1d,W1,2020-05-01,2021-05-01,60,252,0.2,0.3,264,65.5,14.74,29.94,125.9,7022481599993237.0,-57.1,11.86,5.05
us,trend_chase,1d,W2,2021-05-01,2022-05-01,60,252,0.2,0.3,351,21.7,-6.06,-12.33,100.7,-100.0,-100.0,-5.52,0.49
us,trend_chase,1d,W3,2022-05-01,2023-05-01,60,252,0.2,0.3,274,49.3,6.39,-0.89,129.7,10571193.6,-87.1,5.01,2.02
us,trend_chase,1d,W4,2023-05-01,2024-05-01,60,252,0.2,0.3,408,59.1,12.14,26.5,118.1,3.7593676198900946e+18,-75.4,10.99,3.41
us,trend_chase,1d,W5,2024-05-01,2025-05-01,60,252,0.2,0.3,511,48.1,8.06,-1.01,104.4,118194235865014.4,-88.9,7.94,2.21
us,trend_chase,1d,W6,2025-05-01,2026-05-18,60,252,0.2,0.3,394,51.3,5.66,0.54,70.3,102116220.0,-90.9,5.27,1.95
