ma_period_weekly,confirm_offset,vol_sma_period,rsi_period,feature,quantile,horizon_h,n,mean,median,std,win,var_adj
20,3,20,14,vol_ratio,"(0.881, 1.451]",72,579,0.008616231672886472,0.00011640088464681675,0.12785295530957547,0.5060449050086355,-0.20234114458791302
20,3,20,14,vol_ratio,"(0.881, 1.451]",168,575,0.002003925472446706,-0.011042773273693074,0.18674679909783795,0.43826086956521737,-0.30612829303898587
20,3,20,14,vol_ratio,"(0.881, 1.451]",336,573,-0.0031053421911244952,-0.02895238095238084,0.3404453668625645,0.39790575916230364,-0.5648401975143559
20,3,20,14,vol_ratio,"(0.881, 1.451]",672,565,-0.0347064112446279,-0.09802597458725903,0.5033862057455852,0.31150442477876106,-0.8652936507248435
20,3,20,14,vol_ratio,"(1.451, 21.872]",1,583,0.0004918840537210709,0.0,0.017070646482224477,0.4888507718696398,-0.027674682641949316
20,3,20,14,vol_ratio,"(1.451, 21.872]",6,583,0.002362832201544248,-0.0009442870632671019,0.0392323659965654,0.47855917667238423,-0.06237057169278866
20,3,20,14,vol_ratio,"(1.451, 21.872]",24,580,-0.007499136328228314,-0.005410100580710786,0.06451102112205881,0.4396551724137931,-0.11394232117962534
20,3,20,14,vol_ratio,"(1.451, 21.872]",72,578,-0.0038380816085270375,-0.006965835561934641,0.09403792686214436,0.4757785467128028,-0.1590006609310652
20,3,20,14,vol_ratio,"(1.451, 21.872]",168,576,-0.02449175155053906,-0.03163827316774204,0.13624552739531307,0.3819444444444444,-0.2492968717528056
20,3,20,14,vol_ratio,"(1.451, 21.872]",336,573,-0.04172132731063985,-0.04709224099267462,0.19256735752376172,0.37521815008726006,-0.3594574672248467
20,3,20,14,vol_ratio,"(1.451, 21.872]",672,570,-0.08270246426627828,-0.10508893176134337,0.28370765524642727,0.28771929824561404,-0.5508200954228832
20,3,20,14,rsi,"(0.371, 28.491]",1,584,0.0002829504265942778,-0.0006744660948274084,0.017223146136113258,0.4708904109589041,-0.028135240697992597
20,3,20,14,rsi,"(0.371, 28.491]",6,583,0.0010124533377717255,-0.0006557377049180024,0.03771407221314254,0.4888507718696398,-0.06121576581391346
20,3,20,14,rsi,"(0.371, 28.491]",24,582,-0.005202120051092434,-0.003928078820774061,0.08221532214295328,0.46735395189003437,-0.14085740158696536
20,3,20,14,rsi,"(0.371, 28.491]",72,582,0.010306437761503603,-0.006244099294244909,0.14664655695288256,0.4725085910652921,-0.2316603812107526
20,3,20,14,rsi,"(0.371, 28.491]",168,579,-0.005103019385342327,-0.01742427745664743,0.17326203010684027,0.4525043177892919,-0.29098536906162875
20,3,20,14,rsi,"(0.371, 28.491]",336,577,-0.011930636674495553,-0.04124347016806851,0.36589179326041754,0.3986135181975737,-0.6156520955541844
20,3,20,14,rsi,"(0.371, 28.491]",672,573,-0.04054432005758012,-0.1009081735620585,0.7216766764672606,0.32111692844677137,-1.23131083622856
20,3,20,14,rsi,"(28.491, 35.757]",1,583,4.269894121038013e-05,-0.00026483050847458944,0.02032188856782658,0.48027444253859347,-0.033488417195703474
20,3,20,14,rsi,"(28.491, 35.757]",6,583,0.002560961080238245,0.0004409574153443341,0.03746849588336867,0.5094339622641509,-0.05926205712732005
20,3,20,14,rsi,"(28.491, 35.757]",24,582,-0.003533098626317248,-0.004386311250871244,0.06731405550866669,0.4518900343642612,-0.11460129021561728
20,3,20,14,rsi,"(28.491, 35.757]",72,578,7.626687273405338e-06,-0.001867220479402243,0.09048629625971812,0.4826989619377163,-0.14929476214126147
20,3,20,14,rsi,"(28.491, 35.757]",168,576,-0.007719317634716412,-0.01972790977196709,0.16780364178205098,0.4305555555555556,-0.2845953265751005
20,3,20,14,rsi,"(28.491, 35.757]",336,575,-0.010392137930039434,-0.03691275167785246,0.3144791378813213,0.391304347826087,-0.5292827154342196
20,3,20,14,rsi,"(28.491, 35.757]",672,571,-0.03361506665033978,-0.09299467431380581,0.41464153246819907,0.3274956217162872,-0.7177735952228682
20,3,20,14,rsi,"(35.757, 44.704]",1,583,0.0005881472019006735,-9.668374746218955e-05,0.01254347270087231,0.47684391080617494,-0.020108582754538636
20,3,20,14,rsi,"(35.757, 44.704]",6,583,0.0009403404461055784,-0.00029997000299963883,0.03383703400623357,0.48027444253859347,-0.05489076566417981
20,3,20,14,rsi,"(35.757, 44.704]",24,581,-0.005696255680173051,-0.0014975664545113787,0.06152704647538238,0.4750430292598967,-0.10721588236455398
20,3,20,14,rsi,"(35.757, 44.704]",72,580,0.004305108750524081,-5.0010002000389076e-05,0.08924517113810933,0.496551724137931,-0.1429494236273563
20,3,20,14,rsi,"(35.757, 44.704]",168,579,-0.0023607340122957063,-0.011289147851420211,0.14190135508485388,0.4421416234887737,-0.2364979699023046
20,3,20,14,rsi,"(35.757, 44.704]",336,577,-0.02686287636671604,-0.0366915422885572,0.19920458143079675,0.41421143847487,-0.35555043572753064
20,3,20,14,rsi,"(35.757, 44.704]",672,573,-0.04297100144598877,-0.09115083701651716,0.4005356500746763,0.31239092495637,-0.7038548240692046
20,3,20,14,rsi,"(44.704, 58.948]",1,583,0.00011189892861675365,-9.998000399913387e-05,0.013928827279512522,0.4648370497427101,-0.022870666082578907
20,3,20,14,rsi,"(44.704, 58.948]",6,582,0.0036405319502574468,0.00042509627206754885,0.03505043682585515,0.5257731958762887,-0.05419268881240356
20,3,20,14,rsi,"(44.704, 58.948]",24,581,-0.0024431658967837334,-0.00029997000299963883,0.0692259224061893,0.4664371772805508,-0.11666593786699607
20,3,20,14,rsi,"(44.704, 58.948]",72,581,0.00030566647145558856,-0.00029997000299963883,0.09722851338802564,0.4784853700516351,-0.16012138061878672
20,3,20,14,rsi,"(44.704, 58.948]",168,579,-0.003477478609362504,-0.01081162817071779,0.1398940545371375,0.43005181347150256,-0.23430266859563936
20,3,20,14,rsi,"(44.704, 58.948]",336,578,-0.004362237029696968,-0.013686066211493597,0.2189265478101937,0.4342560553633218,-0.3655910409165165
20,3,20,14,rsi,"(44.704, 58.948]",672,568,-0.0217334234521786,-0.0653215732905415,0.378155120621219,0.3485915492957746,-0.6456893724771898
20,3,20,14,rsi,"(58.948, 98.356]",1,584,-0.0013098339965623693,-0.0005356333085992371,0.0205431073929943,0.4623287671232877,-0.035205961195002966
20,3,20,14,rsi,"(58.948, 98.356]",6,584,0.0019226173174703995,0.0003832960063178126,0.04502294833002595,0.5085616438356164,-0.07236524742707241
20,3,20,14,rsi,"(58.948, 98.356]",24,582,-0.005054643486849495,-0.005607732296684653,0.07876152238517309,0.44673539518900346,-0.1350111554223851
20,3,20,14,rsi,"(58.948, 98.356]",72,580,0.004546375791024984,-0.0008658064111666808,0.14643559664275974,0.4862068965517241,-0.23707235866952855
20,3,20,14,rsi,"(58.948, 98.356]",168,580,-0.007396328470297554,-0.0168078713579482,0.16864601635724139,0.41724137931034483,-0.28566225545974583
20,3,20,14,rsi,"(58.948, 98.356]",336,579,-0.011471828201691552,-0.03009439988643625,0.2553224601183542,0.38860103626943004,-0.43275388739697596
20,3,20,14,rsi,"(58.948, 98.356]",672,574,-0.033579533994678966,-0.08495808484699124,0.453692729822642,0.30662020905923343,-0.7821725382020382
20,3,20,14,up_wick_ratio,"(-0.001, 0.0652]",1,585,0.00036771604791138463,0.0,0.014193650017706259,0.4905982905982906,-0.023051806481303942
20,3,20,14,up_wick_ratio,"(-0.001, 0.0652]",6,584,-0.0007336651769301319,-0.000999203329925813,0.029260008616166577,0.4280821917808219,-0.04901267939360498
20,3,20,14,up_wick_ratio,"(-0.001, 0.0652]",24,584,-0.002667206528189052,-0.0001999800099973803,0.06651042157612319,0.4726027397260274,-0.11240940212879232
20,3,20,14,up_wick_ratio,"(-0.001, 0.0652]",72,582,0.008766924530105021,-9.999500649904292e-05,0.12125340197390183,0.4896907216494845,-0.191301188726833
20,3,20,14,up_wick_ratio,"(-0.001, 0.0652]",168,581,0.0034759378231179194,-0.006533645069339955,0.16039490295592573,0.4406196213425129,-0.2611756520541595
20,3,20,14,up_wick_ratio,"(-0.001, 0.0652]",336,579,-0.010839533030632696,-0.01814215790593743,0.21227934618427863,0.41450777202072536,-0.3611004542346924
20,3,20,14,up_wick_ratio,"(-0.001, 0.0652]",672,572,-0.03982127950684555,-0.06886797106079634,0.33258730943716874,0.3339160839160839,-0.5885903400781739
20,3,20,14,up_wick_ratio,"(0.0652, 0.167]",1,584,-0.00013549529831054002,-0.0007722044840322573,0.020177248297436647,0.4691780821917808,-0.03342795498908101
20,3,20,14,up_wick_ratio,"(0.0652, 0.167]",6,583,0.006859633969010623,0.004300398573526376,0.03413324291463858,0.5831903945111492,-0.04946021684014303
20,3,20,14,up_wick_ratio,"(0.0652, 0.167]",24,581,0.0077043198746956166,0.005847953216374213,0.06944027223636565,0.5507745266781411,-0.10687212931530769
20,3,20,14,up_wick_ratio,"(0.0652, 0.167]",72,578,0.015102818220347713,0.01024710496611525,0.11304243769034544,0.5588235294117647,-0.17141720396872226
20,3,20,14,up_wick_ratio,"(0.0652, 0.167]",168,576,0.015608477196093234,0.0007294896499119297,0.17835057272634924,0.5017361111111112,-0.27866996780238296
20,3,20,14,up_wick_ratio,"(0.0652, 0.167]",336,575,0.01256789101181725,-0.008434864104967299,0.3234924415610999,0.47304347826086957,-0.5211946375639976
20,3,20,14,up_wick_ratio,"(0.0652, 0.167]",672,569,-0.01312567129224919,-0.0654404404404405,0.4573790190013179,0.36731107205623903,-0.7678010526444237
20,3,20,14,up_wick_ratio,"(0.167, 0.286]",1,584,-4.342899685204235e-05,-0.00040967716404227694,0.016556545960225384,0.4777397260273973,-0.027361729831223924
20,3,20,14,up_wick_ratio,"(0.167, 0.286]",6,584,0.0022905180146678143,0.0010471699511303,0.03799648554544522,0.5222602739726028,-0.0604036831353168
20,3,20,14,up_wick_ratio,"(0.167, 0.286]",24,582,-0.005124783831501804,-0.006102951070153462,0.07189710922556639,0.4536082474226804,-0.12375501405368633
20,3,20,14,up_wick_ratio,"(0.167, 0.286]",72,581,0.0009929768753827095,-0.002376708259061222,0.08940157544304037,0.4784853700516351,-0.14651962260563386
20,3,20,14,up_wick_ratio,"(0.167, 0.286]",168,579,-0.009271206512995277,-0.021339656194427903,0.14010247704328999,0.4369602763385147,-0.24044029363442376
20,3,20,14,up_wick_ratio,"(0.167, 0.286]",336,577,-0.027578851812044152,-0.04957209752946867,0.23557592531812224,0.37608318890814557,-0.4162791285869458
20,3,20,14,up_wick_ratio,"(0.167, 0.286]",672,575,-0.036969657169891076,-0.08935491936492057,0.4560387850941635,0.3217391304347826,-0.7894336525752609
20,3,20,14,up_wick_ratio,"(0.286, 0.434]",1,584,-0.00044722042294839193,-0.0007721356479323815,0.018797803631993376,0.4520547945205479,-0.03146359641573746
20,3,20,14,up_wick_ratio,"(0.286, 0.434]",6,584,0.0008859525567244266,-0.0009737169124216516,0.04160943024655181,0.476027397260274,-0.06776960735008605
20,3,20,14,up_wick_ratio,"(0.286, 0.434]",24,583,-0.012340331703537261,-0.010262257696693311,0.07318790180813606,0.38593481989708406,-0.13310036968696176
20,3,20,14,up_wick_ratio,"(0.286, 0.434]",72,582,0.0024910356582713913,-0.01135475550094378,0.12559276658270996,0.4484536082474227,-0.20473702920320003
20,3,20,14,up_wick_ratio,"(0.286, 0.434]",168,580,-0.015434484289177318,-0.026761489617592227,0.14622798373953452,0.3879310344827586,-0.25671065745940924
20,3,20,14,up_wick_ratio,"(0.286, 0.434]",336,580,-0.022370580174425458,-0.03925311356269767,0.20448541298539824,0.38620689655172413,-0.35977151160033255
20,3,20,14,up_wick_ratio,"(0.286, 0.434]",672,575,-0.06639435360965414,-0.10186436098351803,0.2886003778153524,0.2852173913043478,-0.5425849770049856
20,3,20,14,up_wick_ratio,"(0.434, 1.0]",1,584,-6.606912570072193e-05,-0.00033035140592968526,0.015735658907574744,0.464041095890411,-0.02602990632319905
20,3,20,14,up_wick_ratio,"(0.434, 1.0]",6,584,0.0006784246070489683,0.00010000000400001152,0.044690423772450215,0.5017123287671232,-0.07306077461749388
20,3,20,14,up_wick_ratio,"(0.434, 1.0]",24,582,-0.009711240141768577,-0.004134854441110891,0.07785428918274735,0.44329896907216493,-0.1381708172933017
20,3,20,14,up_wick_ratio,"(0.434, 1.0]",72,582,-0.007866867850005753,-0.009126571633046976,0.13044918010983483,0.4415807560137457,-0.22310801503123323
20,3,20,14,up_wick_ratio,"(0.434, 1.0]",168,581,-0.020086571875560146,-0.02497878839300849,0.16386088324570355,0.4079173838209983,-0.290457029230971
