asset,strategy,interval,threshold,exit_rule,max_hold,trailing_pct,take_profit_pct,cut_early_neg,n,win_pct,mean_pct,median_pct,total_pct,mdd_pct,sharpe,profit_factor,avg_held_bars
crypto,trend_pullback,1h,85.0,pullback_default,2184,0.15,0.3,0,8890,34.85939257592801,0.2496816721539155,-6.01791924721462,-100.0,-100.0,0.07128325811687655,1.0336467466047088,269.2158605174353
crypto,trend_pullback,1h,90.0,pullback_default,2184,0.15,0.3,0,8491,34.84866329054293,0.26415124182768357,-6.11214226828406,-100.0,-100.0,0.07587508566404001,1.0357744557627746,270.31551054057235
crypto,trend_chase,4h,60.0,chase_default,336,0.15,0.3,0,2350,38.97872340425532,1.065292552972488,-5.007676651598592,-99.99999999975688,-99.99999999993008,0.22647231885231744,1.1390038219240752,107.94510638297872
crypto,trend_chase,4h,70.0,chase_default,336,0.15,0.3,0,1902,39.37960042060988,1.5148549992365277,-4.636483090779975,-99.99949677803758,-99.9998828684914,0.32618323038646835,1.2053594515358346,105.7502628811777
crypto,trend_chase,4h,75.0,chase_default,336,0.15,0.3,0,1450,39.37931034482759,1.4129425586414839,-4.963112283396037,-99.99971091841986,-99.99999768130662,0.2968272667690024,1.1865976812384071,106.23103448275862
crypto,trend_chase,4h,80.0,chase_default,336,0.15,0.3,0,1356,39.74926253687316,1.4496929114842427,-4.79624439887597,-99.99949895138957,-99.99999150917475,0.30117428759774995,1.1901857386384815,106.57817109144543
crypto,trend_chase,4h,85.0,chase_default,336,0.15,0.3,0,940,41.06382978723404,2.2016087973415535,-3.9805375768613316,-68.20534107583983,-99.99402256487187,0.4529634192094583,1.3012349885115901,108.82765957446809
crypto,trend_chase,4h,90.0,chase_default,336,0.15,0.3,0,728,39.42307692307692,1.5812221959757515,-4.531395709902991,-99.69949178256327,-99.9881032780239,0.31877334929044343,1.207025972412602,111.46291208791209
crypto,trend_pullback,4h,60.0,pullback_default,546,0.15,0.3,0,6560,35.8079268292683,0.015874718316815525,-6.016475176361586,-100.0,-100.0,0.003326780066424956,1.0018515357106896,91.02637195121952
crypto,trend_pullback,4h,70.0,pullback_default,546,0.15,0.3,0,6287,35.167806585016706,0.09935707602520755,-6.065048722191579,-100.0,-100.0,0.021015609528246774,1.0117006461838252,90.70955940830285
crypto,trend_pullback,4h,75.0,pullback_default,546,0.15,0.3,0,6037,35.16647341394732,-0.009400002470543931,-6.087285559554189,-100.0,-100.0,-0.001951938467122743,0.9989061262630763,93.1956269670366
crypto,trend_pullback,4h,80.0,pullback_default,546,0.15,0.3,0,5845,34.91873396065013,-0.051781938032851076,-6.421437474034075,-100.0,-100.0,-0.010891311499703103,0.9939859115708422,91.9972626176219
crypto,trend_pullback,4h,85.0,pullback_default,546,0.15,0.3,0,5583,35.16030807809422,-0.09409898993365289,-6.449106249106262,-100.0,-100.0,-0.01965301418673023,0.9891542349638797,92.51585169263836
crypto,trend_pullback,4h,90.0,pullback_default,546,0.15,0.3,0,4982,35.06623845845042,-0.04219164238808896,-6.578866981448722,-100.0,-100.0,-0.00868360966814718,0.9951381430715459,94.09233239662787
crypto,trend_chase,1d,60.0,chase_default,40,0.15,0.3,0,278,47.122302158273385,4.732009701242932,-1.5334513572038466,22615.34241170345,-89.81637598543666,0.6172120960093401,1.65686083928606,24.780575539568346
crypto,trend_chase,1d,70.0,chase_default,40,0.15,0.3,0,203,46.79802955665024,5.16847501482353,-1.875755033557036,10175.850279579548,-78.27774950712427,0.6650628365568506,1.715648734854943,23.492610837438423
crypto,trend_chase,1d,75.0,chase_default,40,0.15,0.3,0,142,47.183098591549296,6.340653183721617,-1.999929895185787,12120.636121403913,-73.09687200490433,0.8133775123303848,1.9258009953864037,22.845070422535212
