rank,label,_ret_th_key,ret_th,base_lookback,fresh_big_th,max_prior_extension,n,win_pct,mean_pct,median_pct,total_pct,mdd_pct,sharpe,profit_factor,avg_held_bars
179,p179,stretched,"[0.03, 0.06, 0.1, 0.15]",90.0,0.12,0.5,1899,45.18167456556082,4.621517805438505,-3.0612545975607253,5.84519289708508e+17,-99.82898961108998,0.3145444287807959,1.588834782400746,99.88783570300158
35,p035,default,"[0.03, 0.05, 0.07, 0.1]",90.0,0.12,0.5,2115,45.248226950354606,4.762736500089055,-2.9942884773007328,2.520266287725153e+20,-99.60561126478133,0.31430665819604064,1.6148670073097398,99.2595744680851
19,p019,default,"[0.03, 0.05, 0.07, 0.1]",60.0,0.08,0.3,1997,45.21782674011017,4.573954997889748,-2.781713505104255,8.606039906204282e+18,-99.1028737091244,0.3141332885633086,1.598119920267033,101.7536304456685
95,p095,tight,"[0.02, 0.04, 0.06, 0.08]",120.0,0.12,0.5,2421,45.60099132589839,4.558023710847388,-2.9942884773007328,3.0683923530528596e+22,-99.87631955970875,0.31394865473675077,1.594619143794768,102.59727385377943
165,p165,stretched,"[0.03, 0.06, 0.1, 0.15]",60.0,0.12,0.2,1824,44.901315789473685,4.586861852459478,-3.2783826326908514,5.0998981565054584e+16,-99.06825941647452,0.31366725035954035,1.581667286393569,97.9298245614035
47,p047,default,"[0.03, 0.05, 0.07, 0.1]",120.0,0.12,0.5,2051,45.29497805948318,4.561127394391136,-3.1239349507211855,9.843913007023272e+18,-99.51810499621956,0.3135122312545443,1.58844357397123,100.89224768405656
127,p127,loose,"[0.05, 0.07, 0.1, 0.15]",90.0,0.08,0.3,1254,44.896331738437,4.613335198159347,-2.6278651835805467,2280837024608.0825,-99.92112394652288,0.31270874134919313,1.592330251847792,101.86842105263158
130,p130,loose,"[0.05, 0.07, 0.1, 0.15]",90.0,0.12,0.3,1421,44.96833216045039,4.600241136975124,-2.732603082194962,3622648899394.084,-99.90314497261102,0.312698501471474,1.572144107684832,96.40464461646728
126,p126,loose,"[0.05, 0.07, 0.1, 0.15]",90.0,0.08,0.2,1164,44.93127147766323,4.6137396466254,-2.6646135693341955,262682042910.78998,-99.71063771163455,0.3111403577008585,1.5874663739131691,101.94072164948453
223,p223,big,"[0.05, 0.08, 0.12, 0.18]",90.0,0.08,0.3,1161,44.78897502153316,4.582920012180112,-2.629825232424321,326573920782.8782,-99.26003012847094,0.31066362009197734,1.5844877165560802,101.14900947459087
206,p206,big,"[0.05, 0.08, 0.12, 0.18]",60.0,0.03,0.5,263,47.90874524714829,5.07554172593399,-1.0052471760681356,82445.31255703438,-81.62649319428819,0.3100153177125424,1.6875694227219862,130.90114068441065
205,p205,big,"[0.05, 0.08, 0.12, 0.18]",60.0,0.03,0.3,263,47.90874524714829,5.07554172593399,-1.0052471760681356,82445.31255703438,-81.62649319428819,0.3100153177125424,1.6875694227219862,130.90114068441065
18,p018,default,"[0.03, 0.05, 0.07, 0.1]",60.0,0.08,0.2,1910,44.973821989528794,4.505306721811634,-3.1675399235270296,3.717460724164918e+17,-99.07664591197555,0.3090287917398021,1.58504904317746,101.51204188481675
226,p226,big,"[0.05, 0.08, 0.12, 0.18]",90.0,0.12,0.3,1314,44.82496194824962,4.544060532691925,-2.7118935306370053,296690375908.35315,-99.46540134967607,0.30902399838710387,1.560419996981398,95.57229832572298
67,p067,tight,"[0.02, 0.04, 0.06, 0.08]",60.0,0.08,0.3,2360,45.50847457627118,4.528296075976035,-2.7698652293733863,3.149127738585749e+21,-99.78284367767412,0.30886137023746413,1.590435429222486,103.81483050847457
209,p209,big,"[0.05, 0.08, 0.12, 0.18]",60.0,0.05,0.5,947,45.30095036958817,4.729702874399368,-2.2141620639151816,22474857808.446747,-99.53944078274424,0.30831317928772217,1.605301945458718,109.9039070749736
225,p225,big,"[0.05, 0.08, 0.12, 0.18]",90.0,0.12,0.2,1210,45.04132231404959,4.567247796213034,-2.7118935306370053,38780895592.3407,-99.1189911210544,0.308250935700497,1.5599330014324546,96.01487603305785
239,p239,big,"[0.05, 0.08, 0.12, 0.18]",120.0,0.12,0.5,1349,44.996293550778354,4.517590697970645,-2.4824581886609853,778868321532.336,-99.18955048592152,0.3080947890393555,1.5620459707905854,97.40103780578207
164,p164,stretched,"[0.03, 0.06, 0.1, 0.15]",60.0,0.08,0.5,1831,45.16657564172583,4.5330409239662455,-2.781713505104255,6.440297173365846e+16,-99.39354903865339,0.3076480835785735,1.5804132325415778,101.95357728017477
208,p208,big,"[0.05, 0.08, 0.12, 0.18]",60.0,0.05,0.3,937,45.250800426894344,4.70798591441203,-2.2524549119770643,14657344548.08554,-99.37506489835522,0.30653614484319547,1.6008295301886264,110.03308431163288
122,p122,loose,"[0.05, 0.07, 0.1, 0.15]",90.0,0.03,0.5,140,47.85714285714286,4.826115142192736,-1.0457948465665055,3990.020441233244,-70.17433464847988,0.30572666835697987,1.7108177486757918,143.52142857142857
32,p032,default,"[0.03, 0.05, 0.07, 0.1]",90.0,0.08,0.5,1885,44.88063660477454,4.4637340532816205,-3.1736111424893187,3.808946705484248e+17,-99.03640005028497,0.3048349978016098,1.5852050978169443,104.48912466843501
66,p066,tight,"[0.02, 0.04, 0.06, 0.08]",60.0,0.08,0.2,2260,45.26548672566372,4.460487802344745,-3.0127158612766882,1.3457681771191429e+20,-99.44561997364676,0.3047214760775765,1.580836995841314,103.63053097345133
61,p061,tight,"[0.02, 0.04, 0.06, 0.08]",60.0,0.03,0.3,682,47.65395894428153,4.708918800564354,-1.2338839032709101,2699846095.785062,-92.00892513329788,0.30452611643822863,1.6848553082320414,132.65689149560117
