body_ret_min,vol_ratio_min,pullback_timeout_h,horizon_h,n,mean,median,std,win,var_adj
0.07,10.0,12,4,742,-0.0011676229893830365,-0.003838092695290063,0.06160891542398339,0.4555256064690027,-0.10282233343895562
0.07,10.0,12,12,741,-0.0034756817164331103,-0.015623218154863783,0.13244952732903323,0.3684210526315789,-0.22201740180933793
0.07,10.0,12,24,741,-0.013909968991847663,-0.026292617999385648,0.12300119573453001,0.3697705802968961,-0.21686194195382216
0.07,10.0,12,72,739,-0.013623441086821378,-0.0388235294117647,0.20917058883070536,0.34776725304465494,-0.3587549126574852
0.07,10.0,12,168,733,-0.010662824229956958,-0.05622417819292258,0.268155654231227,0.3533424283765348,-0.4531196537114815
0.07,10.0,12,336,707,0.016865345853267263,-0.08210853589598655,0.4694167469122103,0.3734087694483734,-0.7576722865518797
0.07,10.0,12,672,670,0.034883384536606325,-0.10456249576291254,0.7016545563229715,0.3567164179104478,-1.1228466333962965
0.07,10.0,24,4,836,-0.0007036284556764485,-0.0032920113061527534,0.06258391103149144,0.46172248803827753,-0.10396708165763732
0.07,10.0,24,12,835,-0.0015202093532098743,-0.014600962336154044,0.13201074306394564,0.3844311377245509,-0.21933793540872018
0.07,10.0,24,24,835,-0.009518585584203657,-0.022494513533284577,0.1301041199325138,0.38562874251497004,-0.22419038347285142
0.07,10.0,24,72,833,-0.011752636247997746,-0.0388235294117647,0.21083358327925517,0.3553421368547419,-0.3596280486587688
0.07,10.0,24,168,825,-0.012709143802220024,-0.053007846556233584,0.2650354820729327,0.35393939393939394,-0.45001768922255897
0.07,10.0,24,336,798,0.01610502820077982,-0.078882803265999,0.4599453211215179,0.37343358395989973,-0.7428047516497247
0.07,10.0,24,672,756,0.03186742376396116,-0.10562218954037844,0.688596048327995,0.3558201058201058,-1.1043160559772307
0.1,3.0,12,4,874,-0.0016724244869256535,-0.003224871720349798,0.07174838549833419,0.4668192219679634,-0.12005726055917706
0.1,3.0,12,12,873,-0.006343406136649866,-0.019229704541679826,0.1421056973611028,0.38029782359679265,-0.24081780678246945
0.1,3.0,12,24,872,-0.019891614059509198,-0.03293015709325908,0.1399923095890036,0.3532110091743119,-0.25087892488136515
0.1,3.0,12,72,869,-0.020606151797081987,-0.0470950183410247,0.22517900507938757,0.3578826237054085,-0.3921515101780714
0.1,3.0,12,168,862,-0.021994846796037113,-0.07298984142083764,0.29107843777387843,0.3491879350348028,-0.5022742691229365
0.1,3.0,12,336,838,-0.0020936882306626437,-0.09069854451077225,0.4673370858960829,0.35441527446300713,-0.7731998799591995
