body_ret_min,vol_ratio_min,pullback_timeout_h,horizon_h,n,mean,median,std,win,var_adj
0.05,10.0,24,168,1181,-0.010978671045588601,-0.045896891941947016,0.24463596940309973,0.38187976291278575,-0.41462802056070314
0.05,10.0,24,336,1139,0.020486092952479003,-0.06313391150962822,0.4212743918754169,0.40298507462686567,-0.6746166536419588
0.05,10.0,24,672,1081,0.0404330578876683,-0.09244282784506441,0.6389832347727857,0.3774283071230342,-1.0138892794874281
0.07,3.0,12,4,1659,-0.0004901846787415688,-0.0021966435286882025,0.062069407226240644,0.4689572031344183,-0.10290470660203863
0.07,3.0,12,12,1658,-0.002832826144640426,-0.01356083798935137,0.1165688045274267,0.39806996381182147,-0.19517135361489446
0.07,3.0,12,24,1656,-0.009517284764855824,-0.021073859439931564,0.1254173492891818,0.3852657004830918,-0.2164559110920058
0.07,3.0,12,72,1652,-0.007551896386988436,-0.03536814688500084,0.20541166283364456,0.38256658595641646,-0.34648114006250197
0.07,3.0,12,168,1625,-0.004777176441151418,-0.05433901054339019,0.28156784007202723,0.37846153846153846,-0.4693641125599963
0.07,3.0,12,336,1582,0.019126197268541686,-0.07848217569036542,0.4684147950041529,0.38179519595448796,-0.7537582144883105
0.07,3.0,12,672,1500,0.03270870873597955,-0.12273459860505181,0.7533154093965145,0.3426666666666667,-1.2102617167682692
0.07,3.0,24,4,1860,0.00018290365880985006,-0.0018664653765884665,0.06322744554827511,0.4752688172043011,-0.10414238149584408
0.07,3.0,24,12,1859,-0.0016460787836711144,-0.012563344594594628,0.11670790992815039,0.40559440559440557,-0.19421413016511926
0.07,3.0,24,24,1857,-0.006801610713364199,-0.01984877126654072,0.128769173900159,0.3963381798599892,-0.2192707476486265
0.07,3.0,24,72,1853,-0.005140188274654476,-0.035045317220543715,0.20848192972266402,0.3874797625472207,-0.34913537231705005
0.07,3.0,24,168,1823,-0.0037566943401369686,-0.05323561161297652,0.286845731366696,0.38123971475589685,-0.47705215109518534
0.07,3.0,24,336,1772,0.02023362866336681,-0.07774688273356928,0.4644933444324716,0.38544018058690743,-0.7461803896502113
0.07,3.0,24,672,1683,0.030208845005231057,-0.12239378442171522,0.7325833968800689,0.3452168746286393,-1.1785537598468825
0.07,5.0,12,4,1262,-0.0003047410469278702,-0.0030018251710542954,0.06237156362599924,0.4675118858954041,-0.10321782102982663
0.07,5.0,12,12,1261,-0.003302378965864567,-0.01443605582246632,0.11698530143223444,0.3877874702616971,-0.1963281263290514
0.07,5.0,12,24,1260,-0.010661961486809486,-0.021607341319205886,0.11842469476846681,0.3865079365079365,-0.2060627078547797
0.07,5.0,12,72,1258,-0.008841114576043155,-0.034467568381638336,0.19610946768679635,0.3751987281399046,-0.3324217362592571
0.07,5.0,12,168,1240,-0.006555759860677662,-0.056489618493900884,0.2722325660570226,0.36935483870967745,-0.455739493854765
0.07,5.0,12,336,1204,0.0193099059219695,-0.07905980809274993,0.4658831011730392,0.38372093023255816,-0.7493972110135452
0.07,5.0,12,672,1137,0.030292344876721236,-0.11454802259887009,0.7224149713832914,0.3491644678979771,-1.1616923579057095
0.07,5.0,24,4,1418,0.0003331477890823853,-0.0023188637321366334,0.06327159693138507,0.4717912552891396,-0.10406498714770296
0.07,5.0,24,12,1417,-0.0019728701763559106,-0.013720109760878119,0.11751642052187057,0.39661256175017645,-0.19587496403744234
0.07,5.0,24,24,1416,-0.007451190187034095,-0.02000466130116718,0.12374894067011645,0.3983050847457627,-0.21163694229272623
0.07,5.0,24,72,1414,-0.007122494175438994,-0.034467568381638336,0.2003910154342372,0.3797736916548798,-0.33776766964193033
0.07,5.0,24,168,1393,-0.00645889583708733,-0.053483718391850066,0.27176224441515745,0.3740129217516152,-0.4548665991220971
0.07,5.0,24,336,1352,0.01958536055750397,-0.07814669709204058,0.45654324954336534,0.3875739644970414,-0.7337110011890489
0.07,5.0,24,672,1279,0.028968799844862187,-0.11365430149960543,0.7021448694975377,0.3534010946051603,-1.129570234826075
