body_ret_min,vol_ratio_min,pullback_timeout_h,h,n,mean,median,win,std
0.07,5.0,12,4,766,-0.004021717677275651,-0.005723909073570899,0.43342036553524804,0.0690486593702067
0.07,5.0,12,12,765,-0.009692119700532763,-0.019229704541679826,0.3633986928104575,0.13587438319724465
0.07,5.0,12,24,764,-0.019804560173226703,-0.027571126819765646,0.35602094240837695,0.12703213243239903
0.07,5.0,12,72,762,-0.02086663221263834,-0.04983489135818436,0.3438320209973753,0.21362845300936173
0.07,5.0,12,168,744,-0.033228601909582205,-0.08758768596413052,0.2956989247311828,0.2875136516556438
0.07,5.0,12,336,708,-0.033540858088686426,-0.11173744982407446,0.2951977401129944,0.43199952802839
0.07,5.0,12,672,641,-0.03582523339633974,-0.15849777211966887,0.2667706708268331,0.73217122201311
0.07,5.0,24,4,850,-0.0025807123502584652,-0.004268380788144066,0.4470588235294118,0.0699094070703442
0.07,5.0,24,12,849,-0.00739435330096964,-0.017334130304841544,0.37691401648998824,0.13543404601477338
0.07,5.0,24,24,848,-0.015394022622649538,-0.02519722124821877,0.36674528301886794,0.13372336465934498
0.07,5.0,24,72,846,-0.019428334996466276,-0.04885000211071311,0.35106382978723405,0.21656242991513264
0.07,5.0,24,168,825,-0.03596207853042056,-0.08597059556441555,0.3006060606060606,0.2810168645793801
0.07,5.0,24,336,784,-0.03212758765621737,-0.11173744982407446,0.2971938775510204,0.42870313478054894
0.07,5.0,24,672,711,-0.04203539229400028,-0.15849777211966887,0.2672292545710267,0.7046181084271027
0.07,10.0,12,4,472,-0.005053168419523343,-0.0061159507890943265,0.4258474576271186,0.06634746432403169
0.07,10.0,12,12,471,-0.009201191547396737,-0.019764705882352906,0.3481953290870488,0.15327587112809118
0.07,10.0,12,24,471,-0.02241194420950267,-0.03252773977808188,0.3375796178343949,0.13063673291061567
0.07,10.0,12,72,469,-0.02666080326756788,-0.0610677567199307,0.3091684434968017,0.22564162814495078
0.07,10.0,12,168,463,-0.038411261395155716,-0.08715596330275233,0.28293736501079914,0.2774916764111184
0.07,10.0,12,336,437,-0.0507323937292686,-0.10891697984284243,0.2837528604118993,0.342899043906634
0.07,10.0,12,672,400,-0.07809963991087092,-0.15771824030127252,0.2625,0.5345205433683548
0.07,10.0,24,4,527,-0.003532638481749392,-0.004812319538017307,0.44212523719165087,0.0671061344997825
0.07,10.0,24,12,526,-0.006566498967141966,-0.017538889741608943,0.3688212927756654,0.15153653824908123
0.07,10.0,24,24,526,-0.016243911859325378,-0.02768447579646044,0.35551330798479086,0.13851589624599958
0.07,10.0,24,72,524,-0.024110834109973413,-0.05993638264129181,0.32061068702290074,0.22630179243247317
0.07,10.0,24,168,516,-0.040566786826870815,-0.08221206411240606,0.2868217054263566,0.27022387413804194
0.07,10.0,24,336,489,-0.05013553787996229,-0.10922566803198741,0.2842535787321063,0.3457254539557626
0.07,10.0,24,672,447,-0.08296485225220548,-0.15849777211966887,0.26174496644295303,0.5194859350224756
0.1,3.0,12,4,549,-0.005083830290969444,-0.006550840216462572,0.4408014571948998,0.07859369376942513
0.1,3.0,12,12,548,-0.014174410911579042,-0.028715883453053925,0.354014598540146,0.16271432517326773
0.1,3.0,12,24,547,-0.03384699183504997,-0.04412200177672487,0.31992687385740404,0.14848392330033094
0.1,3.0,12,72,544,-0.03940087696311248,-0.07537110433688571,0.31985294117647056,0.24536569479872214
0.1,3.0,12,168,537,-0.06367669753524655,-0.10970464135021096,0.2718808193668529,0.29330064058606353
0.1,3.0,12,336,513,-0.06251893029182062,-0.13485915492957734,0.2729044834307992,0.43629575678300136
0.1,3.0,12,672,471,-0.0673351963780783,-0.20101997450063747,0.24628450106157113,0.7498230706458409
0.1,3.0,24,4,602,-0.0031012224084666206,-0.003755968322420311,0.45514950166112955,0.07972570782894904
0.1,3.0,24,12,601,-0.011570790862167312,-0.025519848771266673,0.36605657237936773,0.16148937717329634
0.1,3.0,24,24,600,-0.030354057807488784,-0.041417216922828404,0.3333333333333333,0.15046685072663546
0.1,3.0,24,72,597,-0.03998873928913206,-0.07579396850813991,0.32160804020100503,0.24297085591645617
