symbol,ts_trigger,ts_pullback,ts_entry,hours_to_pullback,body_ret,vol_ratio,trigger_close,pullback_low,pullback_ma_short,entry_price,body_ret_min,vol_ratio_min,pullback_timeout_h,fwd_ret_4h,fwd_ret_12h,fwd_ret_24h,fwd_ret_72h,fwd_ret_168h,fwd_ret_336h,fwd_ret_672h,rank_group
PEPEUSDT,1709298000000,1709334000000,1709337600000,10,0.15031169899686722,5.018604122256711,3.6351e-06,3.9215e-06,3.948689999999999e-06,3.9894e-06,0.05,5.0,24,0.04143480222589857,0.06690229107133905,0.09735799869654582,0.7630220083220534,1.2594876422519676,1.2371534566601494,0.9406427031633828,TOP
OGUSDT,1754571600000,1754600400000,1754604000000,8,0.06774596620850765,7.335477474130705,7.8616,7.4091,7.56138,7.4121,0.05,5.0,24,0.03170491493638794,0.24291361422538826,0.3141484869335278,0.6909512823626234,1.2191416737496796,0.7630361166201212,0.859931733246988,TOP
JASMYUSDT,1708329600000,1708358400000,1708362000000,8,0.05918306499701845,11.138903434855658,0.007105,0.00739,0.0075155,0.007391,0.05,5.0,24,0.045460695440400434,0.24868082803409552,0.33743742389392506,1.1949668515762415,1.1741306994993912,2.2716817751319174,1.3623325666350965,TOP
HBARUSDT,1731430800000,1731502800000,1731506400000,20,0.22246858832224675,37.49372246023425,0.06616,0.05687,0.057787,0.05868,0.05,5.0,24,0.032890252215405535,0.02300613496932513,0.042944785276073594,0.44700068166325835,1.169393319700068,1.3747443762781186,4.047716428084526,TOP
SKYAIUSDT,1775883600000,1775898000000,1775901600000,4,0.050032829940906215,6.910821783242448,0.07996,0.07702,0.077359,0.08856,0.05,5.0,24,0.43157181571815717,0.28635953026196925,0.4832881662149955,0.39532520325203246,1.1263550135501355,1.2323848238482382,6.887872628726288,TOP
IDUSDT,1709802000000,1709816400000,1709820000000,4,0.0655367231638418,10.837440385197594,0.7544,0.7138,0.7191099999999999,0.7184,0.05,5.0,24,-0.0020879732739421675,0.03243318485523394,0.035913140311803815,0.4418151447661469,1.1176224944320712,0.7512527839643652,0.30456570155901996,TOP
RSRUSDT,1710936000000,1710950400000,1710954000000,4,0.06677796327212021,5.348959159112764,0.005751,0.005322,0.0053634,0.005466,0.05,5.0,24,0.07848518111964875,0.13593121112330775,0.53622392974753,0.46871569703622384,1.0878155872667397,0.6941090376875225,0.010428100987925237,TOP
OGUSDT,1754384400000,1754409600000,1754413200000,7,0.0804402007933444,13.67080736034524,6.1557,6.3576,6.36013,6.4858,0.05,5.0,24,-0.006383175552746034,0.036402602608776036,0.05242221468438735,0.44783989638903443,1.0759197015017423,0.9052391378087512,1.1212032440099908,TOP
ORDIUSDT,1699336800000,1699369200000,1699372800000,9,0.28580963823254574,13.451366058799021,9.632,10.05,10.245000000000001,10.12,0.05,5.0,24,0.3589920948616603,0.32173913043478275,0.23349802371541517,0.8500000000000003,1.0500988142292491,1.0508893280632412,4.773221343873518,TOP
LUNCUSDT,1701010800000,1701043200000,1701046800000,9,0.16583291645822917,20.742048835420558,9.322e-05,9.52e-05,9.639699999999999e-05,9.742e-05,0.05,5.0,24,-0.009033052761240001,0.16567439950728802,0.03130773968384326,0.2040648737425581,1.0294600698008622,1.060459864504209,0.6043933483884214,TOP
