asset,strategy,interval,score_th,rule,hold,trail_pct,take_profit_pct,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
us,trend_pullback,1d,70,hold_252d_trail20_TP20,252,0.2,0.2,19103,58.4,6.42,20.05,65.0,inf,,17.48,1.95
us,trend_pullback,1d,70,hold_252d_trail20_TP25,252,0.2,0.25,19103,53.2,7.45,21.96,73.1,inf,,18.5,2.06
us,trend_pullback,1d,70,hold_252d_trail20_TP30,252,0.2,0.3,19103,50.9,8.46,0.91,79.8,inf,,19.35,2.19
us,trend_pullback,1d,70,hold_252d_trail20_TP35,252,0.2,0.35,19103,50.4,9.21,0.25,85.7,inf,,19.74,2.3
us,trend_pullback,1d,70,hold_252d_trail22_TP20,252,0.22,0.2,19103,61.8,7.08,20.17,69.4,inf,,18.78,2.03
us,trend_pullback,1d,70,hold_252d_trail22_TP25,252,0.22,0.25,19103,57.1,8.26,24.95,78.1,inf,,19.93,2.15
us,trend_pullback,1d,70,hold_252d_trail22_TP30,252,0.22,0.3,19103,53.5,9.38,14.37,85.7,inf,,20.83,2.28
us,trend_pullback,1d,70,hold_252d_trail22_TP35,252,0.22,0.35,19103,52.4,10.26,2.56,92.4,inf,,21.28,2.39
us,trend_pullback,1d,70,hold_252d_trail25_TP20,252,0.25,0.2,19103,65.4,7.6,20.29,75.5,inf,,19.48,2.07
us,trend_pullback,1d,70,hold_252d_trail25_TP25,252,0.25,0.25,19103,60.9,8.85,25.09,85.3,inf,,20.55,2.17
us,trend_pullback,1d,70,hold_252d_trail25_TP30,252,0.25,0.3,19103,57.5,10.07,29.84,93.7,inf,,21.51,2.29
us,trend_pullback,1d,70,hold_252d_trail25_TP35,252,0.25,0.35,19103,54.5,11.06,14.47,101.1,inf,,22.03,2.39
