직전_저점_MA20w_이하_pct,반등기간_일,숏보유_일,표본수,윈율,평균_숏수익,중위_숏수익,p10_숏수익,p25_숏수익,p75_숏수익,p90_숏수익,표준편차,최대손실,Sharpe_like
20,60,2,1586,0.49558638083228246,-0.04333434471740629,-0.0007815290909943817,-0.25790313675060217,-0.08504180591364546,0.060284353786078076,0.11377881489786362,0.1894812253507037,-1.0,-0.2286999392008384
20,60,3,1584,0.4779040404040404,-0.042986856078275265,-0.004426330612411045,-0.25705033451702786,-0.08810296739720053,0.06746005755212178,0.1357030747941277,0.2010110461314159,-1.0,-0.21385320312283512
20,60,4,1580,0.4772151898734177,-0.045831923638792404,-0.008212152585072463,-0.2768665191595697,-0.09658631893764819,0.07565168721363122,0.14906790865003824,0.2144351155087514,-1.0,-0.21373329424173504
20,60,5,1577,0.487000634115409,-0.04546368026616,-0.004931881439523611,-0.2889623036402684,-0.10363111694382576,0.08501789341328958,0.1597178588246078,0.22151314562033736,-1.0,-0.20524145480775446
20,60,6,1574,0.49301143583227447,-0.045005892254808944,-0.002506417814908679,-0.28186283194532813,-0.1107885908498174,0.08584100361477906,0.16466817130765046,0.22823808069569115,-1.0,-0.1971883575152172
20,60,7,1570,0.5044585987261146,-0.04434790559075551,0.0023629303863393347,-0.28888060130053245,-0.11174467533695431,0.09480650640159546,0.16914808263675907,0.2356254719196718,-1.0,-0.18821354596957313
30,10,1,226,0.672566371681416,0.028604887096215607,0.040826431373252314,-0.14334749333062113,-0.03135401302889401,0.11604990746599439,0.20304000662002153,0.16790631859839164,-1.0,0.1703621837164716
30,10,2,226,0.7300884955752213,0.0536157752536811,0.061906187799463386,-0.09010158857816486,-0.007504656219223083,0.1490768606222705,0.2234172301097831,0.17618498424705936,-1.0,0.3043152370947638
30,10,3,226,0.7256637168141593,0.06412427080528098,0.08302979430305474,-0.1347182996921782,-0.008651095570130829,0.16519246747014968,0.23801705242899784,0.17595881631831659,-1.0,0.3644277231853935
30,10,4,225,0.7422222222222222,0.06149868226130821,0.10227429994925519,-0.20317322618569675,-0.003933037515127191,0.1732690320358251,0.2478075416983345,0.20021162668663087,-1.0,0.3071683861675291
30,10,5,225,0.7644444444444445,0.06948045480617733,0.10317767603750472,-0.19001304233640326,0.005683646112600638,0.18796561604584527,0.2580742186092411,0.20228953733054975,-0.8626347995499821,0.34347033328097093
30,10,6,225,0.7333333333333333,0.06699570516941723,0.10127137220517313,-0.1750757348998729,-0.006042173110294646,0.1963719983198422,0.26581899200059883,0.22222935321707019,-1.0,0.30147099921573756
