lookback_N,threshold_X,hold_H,count,win_rate,mean_short,mean_capped,median_short,p25,p75,std,sharpe_like
20,0.5,10,11982,0.5746119178768152,-0.03134460892540847,-0.014862816886629963,0.04217224829786498,-0.13842724738584766,0.17449526562230194,0.3946216677429368,-0.07942951816276565
20,0.5,20,11704,0.6055194805194806,-0.03910111192509287,0.0020419865421551185,0.07621853275120966,-0.14079945558772966,0.24085370946481696,0.5735852749254093,-0.06816965782494624
20,0.5,40,11073,0.6799422017520094,0.0043287793869133786,0.07267186432467308,0.16221628838451263,-0.09496284062758042,0.34359021603943063,0.8096419075755711,0.005346535729450658
20,0.5,60,10800,0.6835185185185185,0.021174873690043106,0.09706308500361116,0.1978782397415843,-0.10357973896512973,0.40782446396486627,0.882732346096723,0.023987875581623838
20,1.0,5,3070,0.5765472312703583,-0.028081364087048897,-0.011275034339806804,0.03816277360797904,-0.11440941205849692,0.16119035805236678,0.4437842882082468,-0.06327705787067354
20,1.0,10,3048,0.5862860892388452,-0.045960226865622573,-0.01884341053207884,0.05598930505380728,-0.16557716861074206,0.20088169496142289,0.47238215872236716,-0.09729458663284264
20,1.0,20,2963,0.6145798177522781,-0.06814738885730152,0.00647143810741393,0.10600331674958541,-0.18596696982543315,0.28656030476141353,0.7634917157010087,-0.08925753542031718
20,1.0,40,2770,0.7129963898916968,0.012985891954629068,0.11080679488203864,0.19404083870072308,-0.0638561364386726,0.3915741715703138,0.9950824253683663,0.013050066631235964
20,1.0,60,2689,0.7114168835998512,0.03624372038924504,0.13045793394422692,0.23313106796116512,-0.06770445404439163,0.4532519004613085,0.9882653985074097,0.03667407605688149
20,2.0,5,668,0.5688622754491018,-0.05596153693797312,-0.009657607238834659,0.038170189608753013,-0.15284337075079868,0.18973083773321306,0.7410683406653453,-0.07551467775256704
20,2.0,10,661,0.5537065052950075,-0.034549516257311244,-0.011310820140512285,0.04420901704635982,-0.23563580376513404,0.22306187166857838,0.5083328945027925,-0.06796632016329497
20,2.0,20,624,0.5849358974358975,-0.04186789111143985,0.027009162944072625,0.10648633487876547,-0.24429655556888213,0.3477405591150226,0.728047105742926,-0.05750711840096709
20,2.0,40,564,0.7322695035460993,0.10813740781024922,0.15823877940053235,0.22786651940698804,-0.046067210747087584,0.4490008394326568,0.6392027211206244,0.16917544972378573
