ts,chase_top10,pullback_top10
2026-05-26 12:00 KST,"MMTUSDT(165), FLYUSDT(130), WETUSDT(100), VRTUSDT(95), CBRSUSDT(95), BANDUSDT(90), LUMIAUSDT(90), HIVEUSDT(85), NEWTUSDT(85), BANUSDT(85)","HUSDT(260), PLUMEUSDT(165), TRUSTUSDT(165), STABLEUSDT(165), GENIUSUSDT(150), MAGMAUSDT(145), JTOUSDT(145), GRASSUSDT(140), XANUSDT(140), AZTECUSDT(135)"
2026-05-26 11:00 KST,"MMTUSDT(150), FLYUSDT(120), GWEIUSDT(110), AVGOUSDT(110), BABAUSDT(110), FUTUUSDT(105), JDUSDT(100), FOLKSUSDT(95), WETUSDT(95), HIVEUSDT(95)","HUSDT(265), TRUSTUSDT(165), PLUMEUSDT(165), STABLEUSDT(165), GENIUSUSDT(155), JTOUSDT(145), XANUSDT(145), MAGMAUSDT(145), GRASSUSDT(140), AZTECUSDT(135)"
2026-05-26 10:00 KST,"MMTUSDT(185), FOLKSUSDT(145), FLYUSDT(120), CYSUSDT(110), OXYUSDT(110), EWHUSDT(110), VRTUSDT(105), BABAUSDT(100), COHRUSDT(100), JDUSDT(100)","HUSDT(245), TRUSTUSDT(165), PLUMEUSDT(165), STABLEUSDT(165), NILUSDT(155), JTOUSDT(145), MAGMAUSDT(145), AZTECUSDT(135), BICOUSDT(130), GRASSUSDT(130)"
2026-05-26 09:00 KST,"FLYUSDT(135), FUTUUSDT(135), VRTUSDT(120), EWTUSDT(120), EWHUSDT(120), KLACUSDT(120), MMTUSDT(115), STXSTOCKUSDT(115), UNHUSDT(110), AVGOUSDT(100)","HUSDT(245), STABLEUSDT(165), PLUMEUSDT(165), TRUSTUSDT(165), JTOUSDT(145), MAGMAUSDT(145), AZTECUSDT(135), NILUSDT(130), BICOUSDT(130), ERAUSDT(130)"
2026-05-26 08:00 KST,"MUSDT(105), XPTUSDT(95), APPUSDT(95), EWYUSDT(95), LLYUSDT(90), GMXUSDT(90), KLACUSDT(85), ACXUSDT(85), OKLOUSDT(85), PIEVERSEUSDT(85)","HUSDT(215), TAGUSDT(175), PLUMEUSDT(160), AKTUSDT(140), IOUSDT(140), EIGENUSDT(135), TRUSTUSDT(130), STABLEUSDT(130), JTOUSDT(130), YBUSDT(130)"
2026-05-26 07:00 KST,"RESOLVUSDT(120), KLACUSDT(100), NEIROCTOUSDT(95), AMATUSDT(95), SIRENUSDT(90), GMXUSDT(90), EWYUSDT(90), GMEUSDT(90), BOMEUSDT(90), LLYUSDT(90)","HUSDT(185), TAGUSDT(175), PLUMEUSDT(160), IOUSDT(140), TRUSTUSDT(130), YBUSDT(130), JTOUSDT(130), STABLEUSDT(130), BICOUSDT(125), SAFEUSDT(125)"
2026-05-26 06:00 KST,"LLYUSDT(105), GRTUSDT(90), BOMEUSDT(90), GMEUSDT(85), YGGUSDT(85), KSMUSDT(85), GMXUSDT(80), RESOLVUSDT(70), XPLUSDT(70), HOODUSDT(60)","HUSDT(185), TAGUSDT(175), PLUMEUSDT(160), IOUSDT(140), AKTUSDT(140), YBUSDT(130), JTOUSDT(130), TRUSTUSDT(130), STABLEUSDT(130), SAFEUSDT(125)"
2026-05-26 05:00 KST,"APPUSDT(105), XPTUSDT(95), BOMEUSDT(90), CELRUSDT(85), CYSUSDT(85), GMXUSDT(80), LWLGUSDT(75), THEUSDT(75), KASUSDT(70), HOODUSDT(65)","HUSDT(195), TAGUSDT(160), PLUMEUSDT(160), IOUSDT(140), STABLEUSDT(130), TRUSTUSDT(130), XANUSDT(130), YBUSDT(130), JTOUSDT(130), SAFEUSDT(125)"
2026-05-26 04:00 KST,"AIOUSDT(115), XPINUSDT(95), B2USDT(90), ERAUSDT(90), DOLOUSDT(85), OKLOUSDT(85), MIRAUSDT(80), SKLUSDT(80), FLUXUSDT(80), TOWNSUSDT(70)","TRUSTUSDT(260), PLUMEUSDT(185), HUSDT(160), JTOUSDT(160), YBUSDT(155), GRASSUSDT(140), TAGUSDT(140), INUSDT(140), LABUSDT(130), STABLEUSDT(130)"
2026-05-26 03:00 KST,"FLUXUSDT(130), AIOUSDT(125), MIRAUSDT(105), XPINUSDT(105), AVNTUSDT(95), ERAUSDT(90), SKLUSDT(90), XPLUSDT(80), NOTUSDT(80), GMXUSDT(80)","TRUSTUSDT(210), PLUMEUSDT(185), INUSDT(160), JTOUSDT(160), YBUSDT(155), HUSDT(150), TAGUSDT(140), LABUSDT(130), STABLEUSDT(130), 1MCHEEMSUSDT(125)"
2026-05-26 02:00 KST,"XPINUSDT(135), DOLOUSDT(120), AIOUSDT(115), FLUXUSDT(105), SKLUSDT(95), NOTUSDT(95), BABYUSDT(95), TONUSDT(90), ERAUSDT(90), ETNUSDT(85)","TRUSTUSDT(210), PLUMEUSDT(185), HUSDT(180), JTOUSDT(160), YBUSDT(155), GRASSUSDT(155), INUSDT(140), TAGUSDT(140), STABLEUSDT(130), LABUSDT(130)"
2026-05-26 01:00 KST,"BABYUSDT(135), TONUSDT(125), WOOUSDT(105), TOWNSUSDT(100), NOTUSDT(100), ETHWUSDT(100), XPLUSDT(95), MIRAUSDT(95), ERAUSDT(90), ENSUSDT(90)","TRUSTUSDT(210), PLUMEUSDT(195), GRASSUSDT(165), JTOUSDT(160), YBUSDT(155), TAGUSDT(155), INUSDT(140), STABLEUSDT(130), LABUSDT(130), BICOUSDT(125)"
2026-05-26 00:00 KST,"TONUSDT(155), SYRUPUSDT(135), RENDERUSDT(135), TRXUSDT(120), ORDIUSDT(115), DOGSUSDT(115), IOUSDT(115), NOTUSDT(105), ZAMAUSDT(105), CELOUSDT(100)","PLUMEUSDT(195), TRUSTUSDT(190), GMTUSDT(165), GRASSUSDT(145), SAFEUSDT(145), ERAUSDT(130), GENIUSUSDT(130), JTOUSDT(130), LABUSDT(130), STABLEUSDT(130)"
2026-05-25 23:00 KST,"IOUSDT(175), RENDERUSDT(145), TRXUSDT(140), TONUSDT(140), ZAMAUSDT(120), ORDIUSDT(115), SYRUPUSDT(115), KGENUSDT(115), TOWNSUSDT(105), DOGSUSDT(105)","TRUSTUSDT(190), PLUMEUSDT(185), GENIUSUSDT(185), GMTUSDT(160), SAFEUSDT(145), STABLEUSDT(130), JTOUSDT(130), LABUSDT(130), ERAUSDT(130), 2ZUSDT(125)"
