665 USDT-M perpetual symbols on Bitget (granularity=1h)
[ 136/665] CATUSDT              rows=    67  ( 0.1s)
[ 137/665] CBRSUSDT             rows=  1058  ( 0.1s)
[ 138/665] CCLUSDT              rows=   234  ( 0.1s)
[ 139/665] CCUSDT               rows=  1486  ( 0.1s)
[ 140/665] CELOUSDT             rows= 29395  ( 0.1s)
[ 141/665] CELRUSDT             rows= 27551  ( 0.1s)
[ 142/665] CETUSUSDT            rows= 14306  ( 0.1s)
[ 143/665] CFGUSDT              rows=  2419  ( 0.1s)
[ 144/665] CFXUSDT              rows= 29259  ( 0.1s)
[ 145/665] CGNXUSDT             rows=   211  ( 0.1s)
[ 146/665] CGPTUSDT             rows= 13225  ( 0.1s)
[ 147/665] CHILLGUYUSDT         rows= 13925  ( 0.1s)
[ 148/665] CHIPUSDT             rows=  1554  ( 0.1s)
[ 149/665] CHRUSDT              rows= 28199  ( 0.1s)
[ 150/665] CHZUSDT              rows= 36605  ( 0.1s)
[ 151/665] CIENUSDT             rows=   405  ( 0.1s)
[ 153/665] CLANKERUSDT          rows=  5779  ( 0.1s)
[ 154/665] CLUSDT               rows=  2425  ( 0.1s)
[ 155/665] CMCSAUSDT            rows=   234  ( 0.1s)
[ 152/665] CKBUSDT              rows= 28510  ( 0.2s)
[ 156/665] COAIUSDT             rows=  6529  ( 0.1s)
[ 157/665] COHRUSDT             rows=  1539  ( 0.1s)
[ 158/665] COINUSDT             rows=  7248  ( 0.1s)
[ 159/665] COMPUSDT             rows= 34750  ( 0.1s)
[ 160/665] COOKIEUSDT           rows= 12814  ( 0.1s)
[ 161/665] COPPERUSDT           rows=  2593  ( 0.1s)
[ 162/665] COPUSDT              rows=  2522  ( 0.1s)
[ 163/665] COSTUSDT             rows=  2759  ( 0.1s)
[ 164/665] COTIUSDT             rows= 28681  ( 0.1s)
[ 165/665] COWUSDT              rows= 14300  ( 0.1s)
[ 166/665] CRCLUSDT             rows=  7444  ( 0.1s)
[ 167/665] CRDOUSDT             rows=  1393  ( 0.1s)
[ 168/665] CROSSUSDT            rows=  8544  ( 0.1s)
[ 169/665] CROUSDT              rows= 14161  ( 0.1s)
[ 170/665] CRVUSDT              rows= 39649  ( 0.1s)
[ 171/665] CRWDUSDT             rows=   405  ( 0.1s)
[ 175/665] CTRUSDT              rows=   670  ( 0.1s)
[ 172/665] CRWVUSDT             rows=  1393  ( 1.1s)
[ 173/665] CSCOUSDT             rows=   888  ( 1.1s)
[ 174/665] CTKUSDT              rows= 10102  ( 1.2s)
[ 176/665] CTSIUSDT             rows= 14589  ( 0.1s)
[ 177/665] CUSDT                rows=  8303  ( 0.1s)
[ 178/665] CVCUSDT              rows= 14974  ( 0.1s)
[ 179/665] CVXUSDT              rows= 13678  ( 0.1s)
[ 180/665] CYBERUSDT            rows= 24932  ( 0.1s)
[ 181/665] CYSUSDT              rows=  4677  ( 0.1s)
[ 182/665] DASHUSDT             rows=  5590  ( 0.1s)
[ 184/665] DELLUSDT             rows=   648  ( 0.1s)
[ 185/665] DEXEUSDT             rows= 13150  ( 0.1s)
[ 183/665] DEEPUSDT             rows= 14806  ( 1.2s)
[ 186/665] DFENUSDT             rows=   572  ( 0.1s)
[ 187/665] DIAUSDT              rows= 15140  ( 0.1s)
[ 188/665] DKNGUSDT             rows=   234  ( 0.1s)
[ 189/665] DOGEUSDT             rows= 44666  ( 0.1s)
[ 190/665] DOGSUSDT             rows= 16028  ( 0.1s)
[ 191/665] DOLOUSDT             rows= 10243  ( 0.1s)
[ 192/665] DOODUSDT             rows=  9884  ( 0.1s)
[ 193/665] DOOSBOTUSDT          rows=   485  ( 0.1s)
[ 194/665] DOOSENERUSDT         rows=   485  ( 0.1s)
[ 195/665] DOTUSDT              rows= 50974  ( 0.1s)
[ 196/665] DRAMUSDT             rows=  1081  ( 0.1s)
[ 197/665] DRIFTUSDT            rows= 14249  ( 0.1s)
[ 198/665] DXYZUSDT             rows=   405  ( 0.1s)
[ 199/665] DYDXUSDT             rows= 39649  ( 0.1s)
[ 200/665] DYMUSDT              rows= 20358  ( 0.1s)
[ 201/665] EDGEUSDT             rows=  2060  ( 0.1s)
[ 202/665] EGLDUSDT             rows= 39480  ( 0.1s)
[ 203/665] EHUSDT               rows=   572  ( 0.1s)
[ 204/665] EIGENUSDT            rows= 15172  ( 0.1s)
[ 205/665] ELSAUSDT             rows=  3696  ( 0.1s)
[ 206/665] ENAUSDT              rows= 19494  ( 0.1s)
[ 207/665] ENJUSDT              rows= 37607  ( 0.1s)
[ 208/665] ENSOUSDT             rows=  6095  ( 0.1s)
[ 209/665] ENSUSDT              rows= 35929  ( 0.1s)
[ 210/665] EPICUSDT             rows= 11256  ( 0.1s)
[ 211/665] ERAUSDT              rows=  8229  ( 0.1s)
[ 212/665] ESPORTSUSDT          rows=  7970  ( 0.1s)
[ 213/665] ESPUSDT              rows=  3187  ( 0.1s)
[ 214/665] ETCUSDT              rows= 56816  ( 0.1s)
[ 215/665] ETHFIUSDT            rows= 19796  ( 0.1s)
[ 216/665] ETHUSDT              rows= 56816  ( 0.1s)
[ 217/665] ETHWUSDT             rows= 14953  ( 0.1s)
[ 218/665] ETNUSDT              rows=  1033  ( 0.1s)
[ 219/665] EULUSDT              rows=  6096  ( 0.1s)
[ 220/665] EVEXUSDT             rows=   572  ( 0.1s)
[ 221/665] EWHUSDT              rows=  1848  ( 0.1s)
[ 222/665] EWJUSDT              rows=  2401  ( 0.1s)
[ 224/665] EWYUSDT              rows=  2401  ( 0.1s)
[ 225/665] FARTCOINUSDT         rows= 13225  ( 0.1s)
[ 223/665] EWTUSDT              rows=  2209  ( 0.1s)
[ 226/665] FETUSDT              rows= 29064  ( 0.1s)
[ 227/665] FFUSDT               rows=  6454  ( 0.1s)
[ 228/665] FIDAUSDT             rows= 15452  ( 0.1s)
[ 230/665] FILUSDT              rows= 49798  ( 0.1s)
[ 229/665] FIGHTUSDT            rows=  3668  ( 0.1s)
[ 231/665] FLEXUSDT             rows=    67  ( 0.1s)
[ 232/665] FLNCUSDT             rows=   211  ( 0.1s)
[ 233/665] FLOCKUSDT            rows=  7271  ( 0.1s)
[ 234/665] FLOKIUSDT            rows= 27551  ( 0.1s)
[ 235/665] FLUIDUSDT            rows=  6573  ( 0.1s)
[ 236/665] FLUXUSDT             rows= 15817  ( 0.1s)
[ 237/665] FLYUSDT              rows=  1705  ( 0.1s)
[ 238/665] FOGOUSDT             rows=  3858  ( 0.1s)
[ 239/665] FOLKSUSDT            rows=  5539  ( 0.1s)
[ 240/665] FORMUSDT             rows= 11112  ( 0.1s)
[ 241/665] FOXAUSDT             rows=   234  ( 0.1s)
[ 242/665] FRAXUSDT             rows=  3863  ( 0.1s)
[ 243/665] FUSDT                rows=  8926  ( 0.1s)
[ 244/665] FUTUUSDT             rows=  5757  ( 0.1s)
[ 245/665] GALAUSDT             rows= 39838  ( 0.1s)
[ 246/665] GASUSDT              rows= 16945  ( 0.1s)
[ 247/665] GENIUSUSDT           rows=  1684  ( 0.1s)
[ 248/665] GEUSDT               rows=  6935  ( 0.1s)
[ 249/665] GEVUSDT              rows=    67  ( 0.1s)
[ 250/665] GIGGLEUSDT           rows=  6045  ( 0.1s)
[ 251/665] GLMUSDT              rows= 18870  ( 0.1s)
[ 252/665] GLWUSDT              rows=   357  ( 0.1s)
[ 253/665] GMEUSDT              rows=  6910  ( 0.1s)
[ 254/665] GMTUSDT              rows= 37104  ( 0.1s)
[ 255/665] GMXUSDT              rows= 29234  ( 0.1s)
[ 256/665] GOATUSDT             rows= 14637  ( 0.1s)
[ 257/665] GOOGLUSDT            rows=  7270  ( 0.1s)
[ 258/665] GPSUSDT              rows= 11812  ( 0.1s)
[ 259/665] GRAMUSDT             rows= 27236  ( 0.1s)
[ 260/665] GRASSUSDT            rows= 14514  ( 0.1s)
[ 261/665] GRIFFAINUSDT         rows= 12936  ( 0.1s)
[ 262/665] GRTUSDT              rows= 33841  ( 0.1s)
[ 263/665] GSUSDT               rows=    67  ( 0.1s)
[ 264/665] GUNUSDT              rows= 10819  ( 0.1s)
[ 265/665] GUSDT                rows= 16293  ( 0.1s)
[ 266/665] GWEIUSDT             rows=  3531  ( 0.1s)
[ 267/665] HAEDALUSDT           rows= 10124  ( 0.1s)
[ 268/665] HBARUSDT             rows= 28700  ( 0.1s)
[ 269/665] HFTUSDT              rows=  8616  ( 0.1s)
[ 270/665] HIVEUSDT             rows= 13177  ( 0.1s)
[ 271/665] HOLOUSDT             rows=  6888  ( 0.1s)
[ 272/665] HOMEUSDT             rows=  9121  ( 0.1s)
[ 273/665] HOODUSDT             rows=  7248  ( 0.1s)
[ 274/665] HOTUSDT              rows= 28199  ( 0.1s)
[ 275/665] HPEUSDT              rows=   405  ( 0.1s)
[ 276/665] HUMAUSDT             rows=  9481  ( 0.1s)
[ 277/665] HUSDT                rows=  8760  ( 0.1s)
[ 278/665] HYPERUSDT            rows= 10293  ( 0.1s)
[ 279/665] HYPEUSDT             rows= 13273  ( 0.1s)
[ 280/665] HYUNDAIUSDT          rows=   554  ( 0.1s)
[ 281/665] IBMUSDT              rows=   572  ( 0.1s)
[ 282/665] ICNTUSDT             rows=  8569  ( 0.1s)
[ 283/665] ICPUSDT              rows= 44545  ( 0.1s)
[ 284/665] ICXUSDT              rows= 28199  ( 0.1s)
[ 285/665] IDOLUSDT             rows=  9096  ( 0.1s)
[ 286/665] IDUSDT               rows= 28510  ( 0.1s)
[ 287/665] ILVUSDT              rows=  7751  ( 0.1s)
[ 288/665] IMXUSDT              rows= 34750  ( 0.1s)
[ 289/665] INDAUSDT             rows=  1848  ( 0.1s)
[ 290/665] INFQUSDT             rows=  1033  ( 0.1s)
[ 291/665] INITUSDT             rows= 10246  ( 0.1s)
[ 293/665] INTCUSDT             rows=  6959  ( 0.1s)
[ 294/665] INUSDT               rows=  7726  ( 0.1s)
[ 295/665] INXUSDT              rows=  3481  ( 0.1s)
[ 292/665] INJUSDT              rows= 28697  ( 0.2s)
[ 296/665] IONQUSDT             rows=  1539  ( 0.1s)
[ 297/665] IOSTUSDT             rows= 36933  ( 0.1s)
[ 298/665] IOTAUSDT             rows= 37440  ( 0.1s)
[ 299/665] IOTXUSDT             rows= 27429  ( 0.1s)
[ 300/665] IOUSDT               rows= 17850  ( 0.1s)
[ 305/665] IWMUSDT              rows=   405  ( 0.1s)
[ 304/665] ISRGUSDT             rows=   211  ( 0.1s)
[ 303/665] IRYSUSDT             rows=  5046  ( 0.1s)
[ 301/665] IPUSDT               rows= 11927  ( 0.2s)
[ 302/665] IRENUSDT             rows=   405  ( 0.2s)
[ 306/665] JASMYUSDT            rows= 32927  ( 0.1s)
[ 307/665] JCTUSDT              rows=  5423  ( 0.1s)
[ 308/665] JDUSDT               rows=  5757  ( 0.1s)
[ 309/665] JOBYUSDT             rows=   718  ( 0.1s)
[ 310/665] JOEUSDT              rows= 28393  ( 0.1s)
[ 311/665] JPMUSDT              rows=    67  ( 0.1s)
[ 312/665] JSTUSDT              rows= 10157  ( 0.1s)
[ 313/665] JTOUSDT              rows= 22218  ( 0.1s)
[ 314/665] JUPUSDT              rows= 20996  ( 0.1s)
[ 315/665] KAIAUSDT             rows= 28536  ( 0.1s)
[ 316/665] KAITOUSDT            rows= 11755  ( 0.1s)
[ 317/665] KASUSDT              rows= 19629  ( 0.1s)
