Symbol,date,close,close_ma_atr,gap_in_atr,fwd1,fwd2,fwd3,fwd4,fwd5,fwd6,fwd7,Name,cma_b
00088K,2026-05-15,54500,1.982248520710059,0.2,-10.733944954128438,-12.844036697247708,-16.42201834862386,-10.82568807339449,-6.605504587155964,-6.788990825688068,-7.889908256880728,한화3우B,1.5~2.0
000990,2026-05-26,220500,2.9407493465001453,0.4992738890502469,-8.390022675736963,-11.882086167800454,-15.873015873015872,-17.732426303854876,-22.857142857142854,-19.999999999999996,-21.17913832199546,DB하이텍,>2.5
000990,2026-05-28,194300,1.1113561190738699,0.4862183020948181,-4.52907874420998,-6.639217704580547,-12.454966546577461,-9.212557900154405,-10.5506948018528,-18.270715388574367,-12.352032938754498,DB하이텍,1.0~1.5
000990,2026-05-29,185500,0.5261184034288776,0.4045004018215912,-2.2102425876010745,-8.301886792452828,-4.9056603773584895,-6.307277628032349,-14.393530997304582,-8.194070080862536,-17.14285714285714,DB하이텍,0.5~1.0
000990,2026-06-01,181400,0.22869356131445365,0.3462463264760887,-6.229327453142231,-2.756339581036382,-4.189636163175303,-12.45865490628445,-6.11907386990077,-15.270121278941563,-14.443219404630646,DB하이텍,≤0.5
001040,2026-05-15,218500,0.20676691729323307,0.014097744360902255,-22.05949656750572,-20.13729977116705,-23.34096109839817,-22.10526315789474,-19.95423340961099,-20.869565217391305,-22.517162471395878,CJ,≤0.5
00104K,2026-05-15,189000,0.4194260485651214,0.18690213392200147,-18.306878306878303,-16.402116402116405,-19.100529100529094,-18.994708994708997,-17.513227513227513,-18.73015873015873,-19.84126984126984,CJ4우(전환),≤0.5
001430,2026-05-15,74500,0.5085427135678392,0.03819095477386935,1.342281879194629,-4.161073825503358,-18.523489932885905,-13.28859060402685,-15.570469798657715,-12.885906040268457,-17.98657718120805,세아베스틸지주,0.5~1.0
001450,2026-06-09,36900,0.7685088633993743,0.1261730969760167,1.7615176151761558,2.4390243902439046,6.368563685636852,10.2981029810298,,,,현대해상,0.5~1.0
001500,2026-05-15,11770,0.4431718061674009,0.4572687224669604,-10.11045029736618,-12.99915038232795,-15.378079864061167,-10.960067969413767,-8.836023789294822,-11.129991503823277,-14.698385726423114,현대차증권,≤0.5
001530,2026-05-15,30000,0.5885529157667386,0.04427645788336933,-7.499999999999996,-6.166666666666664,-5.000000000000004,-4.666666666666663,-5.333333333333334,-9.499999999999996,-15.666666666666663,DI동일,0.5~1.0
001800,2026-05-27,24950,0.17633928571428573,0.078125,0.8016032064128265,0.4008016032064132,-0.4008016032064132,5.4108216432865675,6.613226452905807,4.008016032064132,-2.605210420841686,오리온홀딩스,≤0.5
001800,2026-05-28,25150,0.3347921225382932,0.23851203501094093,-0.3976143141153132,-1.1928429423459286,4.572564612326047,5.765407554671964,3.1809145129224614,-3.379721669980118,0.5964214711729587,오리온홀딩스,≤0.5
001800,2026-05-29,25050,0.22103004291845493,0.23390557939914164,-0.7984031936127733,4.990019960079839,6.18762475049901,3.592814371257491,-2.9940119760479056,0.9980039920159722,0.9980039920159722,오리온홀딩스,≤0.5
001800,2026-06-01,24850,0.0700218818380744,0.26258205689277897,5.835010060362178,7.042253521126751,4.426559356136828,-2.213279678068414,1.810865191146882,1.810865191146882,12.474849094567396,오리온홀딩스,≤0.5
001800,2026-06-02,26300,1.293991416309013,0.27253218884120173,1.1406844106463865,-1.3307984790874472,-7.604562737642584,-3.802281368821292,-3.802281368821292,6.273764258555126,-1.520912547528519,오리온홀딩스,1.0~1.5
001800,2026-06-04,26600,1.5010893246187365,0.3420479302832244,-2.4436090225563922,-8.64661654135338,-4.8872180451127845,-4.8872180451127845,5.07518796992481,-2.631578947368418,0.3759398496240518,오리온홀딩스,1.5~2.0
001800,2026-06-05,25950,0.7975708502024291,0.3643724696356275,-6.358381502890175,-2.5048169556840083,-2.5048169556840083,7.707129094412335,-0.19267822736031004,2.8901734104046284,,오리온홀딩스,0.5~1.0
001800,2026-06-09,25300,0.23551401869158878,0.29158878504672897,0.0,10.474308300395263,2.371541501976293,5.533596837944654,,,,오리온홀딩스,≤0.5
001800,2026-06-10,25300,0.18397085610200364,0.23861566484517305,10.474308300395263,2.371541501976293,5.533596837944654,,,,,오리온홀딩스,≤0.5
001800,2026-06-11,27950,1.714968152866242,0.2659235668789809,-7.334525939177105,-4.472271914132375,,,,,,오리온홀딩스,1.5~2.0
001800,2026-06-12,25900,0.3083969465648855,0.216793893129771,3.0888030888030826,,,,,,,오리온홀딩스,≤0.5
001800,2026-06-15,26700,0.7423312883435583,0.2607361963190184,,,,,,,,오리온홀딩스,0.5~1.0
001820,2026-05-15,70000,0.9757785467128027,0.1707035755478662,-10.71428571428571,-8.714285714285719,12.285714285714278,12.142857142857144,45.71428571428571,89.42857142857143,79.85714285714285,삼화콘덴서,0.5~1.0
001820,2026-05-20,78600,2.072696534234996,0.07100591715976332,-0.12722646310432406,29.77099236641221,68.70229007633588,60.17811704834606,98.72773536895674,89.69465648854961,45.038167938931295,삼화콘덴서,2.0~2.5
001820,2026-05-21,78500,1.8813972380178716,0.1462225832656377,29.93630573248407,68.9171974522293,60.38216560509555,98.98089171974522,89.93630573248407,45.222929936305725,37.19745222929936,삼화콘덴서,1.5~2.0
001820,2026-05-22,102000,4.618055555555555,0.37083333333333335,30.000000000000004,23.431372549019613,53.137254901960794,46.17647058823528,11.764705882352944,5.588235294117649,8.23529411764705,삼화콘덴서,>2.5
001820,2026-06-15,140600,1.3515191838545133,0.3637170104235973,,,,,,,,삼화콘덴서,1.0~1.5
002220,2026-06-08,5270,0.782565130260521,0.2845691382765531,7.779886148007598,11.38519924098671,8.918406072106254,11.95445920303606,7.210626185958247,,,한일철강,0.5~1.0
002220,2026-06-09,5680,1.5558882235528941,0.46706586826347307,3.3450704225352013,1.0563380281690238,3.8732394366197243,-0.5281690140845119,,,,한일철강,1.5~2.0
002380,2026-05-15,577000,0.19471947194719472,0.49834983498349833,-9.532062391681107,-13.431542461005197,-16.291161178509526,-8.145580589254763,-6.932409012131712,-0.34662045060658286,-1.7331022530329254,KCC,≤0.5
002960,2026-05-20,559000,3.6894502228826154,0.019316493313521546,-6.61896243291592,-6.976744186046513,-7.513416815742402,-9.123434704830057,-10.375670840787121,-11.985688729874777,-12.432915921288012,한국쉘석유,>2.5
002960,2026-05-21,522000,1.3072702331961592,0.15775034293552812,-0.3831417624521105,-0.9578544061302652,-2.6819923371647514,-4.0229885057471275,-5.747126436781613,-6.22605363984674,-6.800766283524906,한국쉘석유,1.0~1.5
002960,2026-05-22,520000,1.0792207792207793,0.2922077922077922,-0.5769230769230749,-2.3076923076923106,-3.653846153846152,-5.384615384615388,-5.865384615384617,-6.442307692307692,-7.307692307692304,한국쉘석유,1.0~1.5
002960,2026-05-26,517000,0.8595360824742269,0.4265463917525773,-1.740812379110257,-3.0947775628626717,-4.835589941972918,-5.319148936170215,-5.899419729206967,-6.769825918762084,-2.9013539651837505,한국쉘석유,0.5~1.0
002960,2026-06-05,502000,0.11557177615571776,0.11557177615571776,-3.0876494023904355,-3.2868525896414313,-1.8924302788844605,-1.5936254980079667,2.589641434262946,-0.7968127490039834,,한국쉘석유,≤0.5
003230,2026-05-18,1366000,0.35470668485675305,0.02455661664392906,1.8301610541727742,-0.658857979502192,-3.4407027818448066,-3.733528550512444,-5.1244509516837455,-9.443631039531475,-11.346998535871155,삼양식품,≤0.5
003230,2026-05-19,1391000,0.6722408026755853,0.11438127090301003,-2.4442846872753443,-5.176132278936018,-5.463695183321349,-6.829618979151686,-11.071171818835367,-12.940330697340041,-13.371675053918041,삼양식품,0.5~1.0
003230,2026-05-20,1357000,0.22504892367906065,0.20678408349641225,-2.800294767870304,-3.095062638172441,-4.495210022107587,-8.843036109064117,-10.759027266028,-11.201179071481205,-14.075165806927048,삼양식품,≤0.5
003490,2026-05-15,27050,1.8484848484848484,0.4380165289256198,-5.5452865064695045,-4.621072088724587,-8.317929759704256,-2.218114602587795,-0.9242144177449174,1.4787430683918634,-0.7393715341959317,대한항공,1.5~2.0
003490,2026-05-18,25550,0.1620253164556962,0.4860759493670886,0.9784735812133016,-2.935420743639927,3.522504892367917,4.89236790606653,7.436399217221146,5.0880626223092085,5.675146771037176,대한항공,≤0.5
003490,2026-05-22,26800,1.1014176663031625,0.4122137404580153,2.425373134328357,0.1865671641791078,0.746268656716409,0.0,-3.731343283582089,-5.597014925373134,-6.529850746268662,대한항공,1.0~1.5
003490,2026-05-26,27450,1.5036958817317845,0.43083421330517424,-2.1857923497267784,-1.6393442622950838,-2.3679417122040025,-6.010928961748629,-7.8324225865209485,-8.743169398907103,-9.289617486338797,대한항공,1.5~2.0
003490,2026-05-28,27000,0.8763600395647874,0.4846686449060336,-0.7407407407407418,-4.444444444444439,-6.296296296296299,-7.222222222222219,-7.777777777777772,-11.851851851851848,-7.96296296296296,대한항공,0.5~1.0
