664 USDT-M perpetual symbols on Bitget (granularity=1h)
[ 150/664] CHZUSDT              rows= 36629  ( 1.4s)
[ 152/664] CKBUSDT              rows= 28534  ( 0.1s)
[ 153/664] CLANKERUSDT          rows=  5803  ( 0.1s)
[ 154/664] CLUSDT               rows=  2449  ( 0.1s)
[ 155/664] CMCSAUSDT            rows=   258  ( 0.1s)
[ 151/664] CIENUSDT             rows=   429  ( 1.2s)
[ 157/664] COHRUSDT             rows=  1563  ( 0.1s)
[ 156/664] COAIUSDT             rows=  6553  ( 0.1s)
[ 158/664] COINUSDT             rows=  7272  ( 0.1s)
[ 159/664] COMPUSDT             rows= 34774  ( 0.1s)
[ 160/664] COOKIEUSDT           rows= 12838  ( 0.2s)
[ 161/664] COPPERUSDT           rows=  2617  ( 0.1s)
[ 162/664] COPUSDT              rows=  2546  ( 0.1s)
[ 163/664] COSTUSDT             rows=  2783  ( 0.1s)
[ 164/664] COTIUSDT             rows= 28705  ( 0.2s)
[ 165/664] COWUSDT              rows= 14324  ( 0.2s)
[ 166/664] CRCLUSDT             rows=  7468  ( 0.1s)
[ 167/664] CRDOUSDT             rows=  1417  ( 0.1s)
[ 168/664] CROSSUSDT            rows=  8568  ( 0.1s)
[ 169/664] CROUSDT              rows= 14185  ( 0.1s)
[ 170/664] CRVUSDT              rows= 39673  ( 0.2s)
[ 171/664] CRWVUSDT             rows=  1417  ( 0.1s)
[ 172/664] CSCOUSDT             rows=   912  ( 0.1s)
[ 173/664] CTKUSDT              rows= 10126  ( 0.1s)
[ 174/664] CTRUSDT              rows=   694  ( 0.1s)
[ 175/664] CTSIUSDT             rows= 14613  ( 0.1s)
[ 176/664] CUSDT                rows=  8327  ( 0.1s)
[ 177/664] CVCUSDT              rows= 14998  ( 0.1s)
[ 178/664] CVXUSDT              rows= 13702  ( 0.1s)
[ 179/664] CYBERUSDT            rows= 24956  ( 0.2s)
[ 180/664] CYSUSDT              rows=  4701  ( 0.2s)
[ 181/664] DASHUSDT             rows=  5614  ( 0.1s)
[ 182/664] DEEPUSDT             rows= 14830  ( 0.1s)
[ 183/664] DELLUSDT             rows=   672  ( 0.1s)
[ 184/664] DEXEUSDT             rows= 13174  ( 0.1s)
[ 185/664] DFENUSDT             rows=   596  ( 0.1s)
[ 186/664] DIAUSDT              rows= 15164  ( 0.1s)
[ 187/664] DKNGUSDT             rows=   258  ( 0.1s)
[ 189/664] DOGSUSDT             rows= 16052  ( 0.1s)
[ 188/664] DOGEUSDT             rows= 44690  ( 0.2s)
[ 190/664] DOLOUSDT             rows= 10267  ( 0.2s)
[ 191/664] DOODUSDT             rows=  9908  ( 0.1s)
[ 192/664] DOOSBOTUSDT          rows=   509  ( 0.1s)
[ 193/664] DOOSENERUSDT         rows=   509  ( 0.1s)
[ 194/664] DOTUSDT              rows= 50998  ( 0.2s)
[ 195/664] DRAMUSDT             rows=  1105  ( 0.2s)
[ 196/664] DRIFTUSDT            rows= 14273  ( 0.1s)
[ 197/664] DXYZUSDT             rows=   429  ( 0.1s)
[ 198/664] DYDXUSDT             rows= 39673  ( 0.2s)
[ 199/664] DYMUSDT              rows= 20382  ( 0.2s)
[ 200/664] EDGEUSDT             rows=  2084  ( 0.2s)
[ 202/664] EHUSDT               rows=   596  ( 0.1s)
[ 201/664] EGLDUSDT             rows= 39504  ( 0.2s)
[ 203/664] EIGENUSDT            rows= 15196  ( 0.2s)
[ 205/664] ENAUSDT              rows= 19518  ( 0.2s)
[ 204/664] ELSAUSDT             rows=  3720  ( 0.2s)
[ 206/664] ENJUSDT              rows= 37631  ( 0.2s)
[ 207/664] ENSOUSDT             rows=  6119  ( 0.2s)
[ 208/664] ENSUSDT              rows= 35953  ( 0.2s)
[ 209/664] EPICUSDT             rows= 11280  ( 0.2s)
[ 210/664] ERAUSDT              rows=  8253  ( 0.2s)
[ 211/664] ESPORTSUSDT          rows=  7994  ( 0.1s)
[ 212/664] ESPUSDT              rows=  3211  ( 0.1s)
[ 213/664] ETCUSDT              rows= 56840  ( 0.2s)
[ 214/664] ETHFIUSDT            rows= 19820  ( 0.2s)
[ 215/664] ETHUSDT              rows= 56840  ( 0.2s)
[ 216/664] ETHWUSDT             rows= 14977  ( 0.2s)
[ 218/664] EULUSDT              rows=  6120  ( 0.2s)
[ 220/664] EVEXUSDT             rows=   596  ( 0.2s)
[ 217/664] ETNUSDT              rows=  1057  ( 0.3s)
[ 219/664] EVAAUSDT             rows=    19  (35.0s)
[ 221/664] EWHUSDT              rows=  1872  ( 0.1s)
[ 222/664] EWJUSDT              rows=  2425  ( 0.1s)
[ 223/664] EWTUSDT              rows=  2233  ( 0.1s)
[ 224/664] EWYUSDT              rows=  2425  ( 0.1s)
[ 225/664] FARTCOINUSDT         rows= 13249  ( 0.2s)
[ 227/664] FFUSDT               rows=  6478  ( 0.1s)
[ 228/664] FIDAUSDT             rows= 15476  ( 0.1s)
[ 229/664] FIGHTUSDT            rows=  3692  ( 0.1s)
[ 226/664] FETUSDT              rows= 29088  ( 1.2s)
[ 230/664] FILUSDT              rows= 49822  ( 1.2s)
[ 231/664] FLEXUSDT             rows=    91  ( 0.1s)
[ 232/664] FLNCUSDT             rows=   235  ( 0.1s)
[ 233/664] FLOCKUSDT            rows=  7295  ( 0.1s)
[ 234/664] FLOKIUSDT            rows= 27575  ( 0.1s)
[ 235/664] FLUIDUSDT            rows=  6597  ( 0.1s)
[ 236/664] FLUXUSDT             rows= 15841  ( 0.1s)
[ 237/664] FLYUSDT              rows=  1729  ( 0.1s)
[ 238/664] FOGOUSDT             rows=  3882  ( 0.1s)
[ 239/664] FOLKSUSDT            rows=  5563  ( 0.1s)
[ 240/664] FORMUSDT             rows= 11136  ( 0.1s)
[ 241/664] FOXAUSDT             rows=   258  ( 0.1s)
[ 242/664] FRAXUSDT             rows=  3887  ( 0.1s)
[ 243/664] FUSDT                rows=  8950  ( 0.1s)
[ 244/664] FUTUUSDT             rows=  5781  ( 0.1s)
[ 245/664] GALAUSDT             rows= 39862  ( 0.2s)
[ 246/664] GASUSDT              rows= 16969  ( 0.1s)
[ 247/664] GENIUSUSDT           rows=  1708  ( 0.1s)
[ 248/664] GEUSDT               rows=  6959  ( 0.1s)
[ 249/664] GEVUSDT              rows=    91  ( 0.1s)
[ 250/664] GIGGLEUSDT           rows=  6069  ( 0.1s)
[ 251/664] GLMUSDT              rows= 18894  ( 0.1s)
[ 252/664] GLWUSDT              rows=   381  ( 0.1s)
[ 253/664] GMEUSDT              rows=  6934  ( 0.1s)
[ 254/664] GMTUSDT              rows= 37128  ( 0.2s)
[ 255/664] GMXUSDT              rows= 29258  ( 0.2s)
[ 256/664] GOATUSDT             rows= 14661  ( 0.2s)
[ 258/664] GPSUSDT              rows= 11836  ( 0.1s)
[ 257/664] GOOGLUSDT            rows=  7294  ( 0.2s)
[ 260/664] GRASSUSDT            rows= 14538  ( 0.2s)
[ 259/664] GRAMUSDT             rows= 27260  ( 1.2s)
[ 261/664] GRIFFAINUSDT         rows= 12960  ( 0.1s)
[ 262/664] GRTUSDT              rows= 33865  ( 0.2s)
[ 263/664] GSUSDT               rows=    91  ( 0.1s)
[ 264/664] GUNUSDT              rows= 10843  ( 0.2s)
[ 265/664] GUSDT                rows= 16317  ( 0.2s)
[ 266/664] GWEIUSDT             rows=  3555  ( 0.1s)
[ 267/664] HAEDALUSDT           rows= 10148  ( 0.1s)
[ 268/664] HBARUSDT             rows= 28724  ( 0.1s)
[ 269/664] HFTUSDT              rows=  8640  ( 0.1s)
[ 270/664] HIVEUSDT             rows= 13201  ( 0.1s)
[ 271/664] HOLOUSDT             rows=  6912  ( 0.1s)
[ 272/664] HOMEUSDT             rows=  9145  ( 0.1s)
[ 273/664] HOODUSDT             rows=  7272  ( 0.1s)
[ 274/664] HOTUSDT              rows= 28223  ( 0.1s)
[ 275/664] HPEUSDT              rows=   429  ( 0.1s)
[ 276/664] HUMAUSDT             rows=  9505  ( 0.1s)
[ 277/664] HUSDT                rows=  8784  ( 0.1s)
[ 279/664] HYPEUSDT             rows= 13297  ( 0.1s)
[ 278/664] HYPERUSDT            rows= 10317  ( 0.2s)
[ 280/664] HYUNDAIUSDT          rows=   578  ( 0.1s)
