symbol,bar_ts,last_close,ret_bar,amt_bar,ch_score,dist_ma10,ret_short,ret_24h,ret_72h,vol_burst_24v72,bull_stack,ma10_strong_up,ch_pct,거래대금,ret_bar_str
MPUSDT,2026-05-26 00:00:00,65.05,-0.0057,,48.0,0.0046,-0.0057,0.0112,0.0087,0.15,1,0,36.9,-,-0.57%
KLACUSDT,2026-05-26 00:00:00,1902.33,0.0043,,48.0,0.008,0.0043,0.0101,0.0104,0.47,1,0,36.9,-,0.43%
OKLOUSDT,2026-05-26 00:00:00,66.74,-0.0037,,48.0,0.002,-0.0037,0.001,0.0174,0.19,1,0,36.9,-,-0.37%
AMDUSDT,2026-05-26 00:00:00,476.0,-0.0008,,48.0,0.0014,-0.0008,0.0008,0.0258,0.2,1,0,36.9,-,-0.08%
LWLGUSDT,2026-05-26 00:00:00,12.898,0.0038,,48.0,0.0072,0.0038,0.0063,0.0123,0.09,1,0,36.9,-,0.38%
KOPNUSDT,2026-05-26 00:00:00,5.214,-0.0076,,48.0,0.0091,-0.0076,0.015,0.0138,0.06,1,0,36.9,-,-0.76%
PENDLEUSDT,2026-05-26 00:00:00,1.8813,-0.0197,,47.0,0.0055,-0.0197,0.027,0.0109,0.24,1,1,36.2,-,-1.97%
MIRAUSDT,2026-05-26 00:00:00,0.0813,-0.0205,,46.0,0.003,-0.0205,0.0252,0.015,0.63,1,0,35.4,-,-2.05%
ATOMUSDT,2026-05-26 00:00:00,2.1586,0.0111,,46.0,0.0259,0.0111,0.0435,0.023,0.31,1,0,35.4,-,1.11%
LPTUSDT,2026-05-26 00:00:00,2.298,-0.003,,46.0,0.0174,-0.003,0.0541,0.0876,0.21,1,1,35.4,-,-0.3%
FETUSDT,2026-05-26 00:00:00,0.226,-0.0238,,45.0,0.0377,-0.0238,0.0726,0.11,0.31,1,1,34.6,-,-2.38%
EIGENUSDT,2026-05-26 00:00:00,0.2475,-0.0096,,45.0,0.0516,-0.0096,0.1144,0.2192,0.69,1,1,34.6,-,-0.96%
GRASSUSDT,2026-05-26 00:00:00,0.5918,-0.0128,,44.0,0.0924,-0.0128,0.1507,0.4223,0.24,1,1,33.8,-,-1.28%
RENDERUSDT,2026-05-26 00:00:00,2.171,-0.0055,,44.0,0.0466,-0.0055,0.0981,0.1647,0.62,1,1,33.8,-,-0.55%
INDAUSDT,2026-05-26 00:00:00,48.84,0.0035,,43.0,0.0038,0.0035,0.0035,0.007,0.26,1,0,33.1,-,0.35%
ICPUSDT,2026-05-26 00:00:00,2.619,-0.0195,,43.0,0.0019,-0.0195,0.0352,0.0484,0.19,1,1,33.1,-,-1.95%
FFUSDT,2026-05-26 00:00:00,0.08831,-0.0214,,42.0,0.0106,-0.0214,0.0273,0.0005,0.28,0,0,32.3,-,-2.14%
IOUSDT,2026-05-26 00:00:00,0.1535,-0.0254,,40.0,0.0279,-0.0254,0.0697,0.0601,0.46,1,1,30.8,-,-2.54%
BANANAS31USDT,2026-05-26 00:00:00,0.011897,0.005,,37.0,0.0103,0.005,0.0137,0.0501,0.14,1,1,28.5,-,0.5%
HIVEUSDT,2026-05-26 00:00:00,0.06216,-0.0029,,35.0,0.0058,-0.0029,-0.0366,0.0192,0.28,1,1,26.9,-,-0.29%
WLDUSDT,2026-05-26 00:00:00,0.3284,-0.0058,,35.0,0.0716,-0.0058,0.1375,0.1981,0.35,1,1,26.9,-,-0.58%
DYDXUSDT,2026-05-26 00:00:00,0.1526,-0.0129,,35.0,0.0105,-0.0129,0.0381,0.0,0.29,1,1,26.9,-,-1.29%
APRUSDT,2026-05-26 00:00:00,0.18147,0.0003,,34.0,0.0435,0.0003,0.1158,0.0211,0.34,0,0,26.2,-,0.03%
GRTUSDT,2026-05-26 00:00:00,0.02708,-0.0192,,34.0,0.0214,-0.0192,0.046,0.0242,0.23,1,0,26.2,-,-1.92%
TONUSDT,2026-05-26 00:00:00,1.9163,-0.0101,,34.0,0.0376,-0.0101,0.0746,0.0363,0.72,0,1,26.2,-,-1.01%
SUNUSDT,2026-05-26 00:00:00,0.020246,0.0015,,34.0,0.0046,0.0015,0.0087,0.0058,0.31,1,0,26.2,-,0.15%
VRTUSDT,2026-05-26 00:00:00,333.7,0.0076,,34.0,0.0143,0.0076,0.0201,0.0226,0.3,0,0,26.2,-,0.76%
GEUSDT,2026-05-26 00:00:00,305.48,0.0009,,34.0,0.0017,0.0009,0.0021,0.0096,0.17,1,0,26.2,-,0.09%
DOGSUSDT,2026-05-26 00:00:00,5.214e-05,-0.0074,,33.0,0.0013,-0.0074,0.0156,-0.0142,0.89,0,1,25.4,-,-0.74%
ESPUSDT,2026-05-26 00:00:00,0.070665,0.0058,,32.0,0.0358,0.0058,0.0688,0.0759,0.7,1,1,24.6,-,0.58%
XANUSDT,2026-05-26 00:00:00,0.011434,0.0235,,32.0,-0.0037,0.0235,-0.0652,0.1718,5.11,1,1,24.6,-,2.35%
NOTUSDT,2026-05-26 00:00:00,0.0004784,-0.0097,,31.0,0.0117,-0.0097,0.0268,0.0328,0.63,0,1,23.8,-,-0.97%
TAGUSDT,2026-05-26 00:00:00,0.0015394,-0.0321,,31.0,-0.0112,-0.0321,0.0055,0.0181,0.51,1,1,23.8,-,-3.21%
INTCUSDT,2026-05-26 00:00:00,121.51,-0.0114,,31.0,-0.0088,-0.0114,-0.0076,0.0244,0.2,1,1,23.8,-,-1.14%
HYPEUSDT,2026-05-26 00:00:00,59.302,-0.03,,29.0,-0.0479,-0.03,-0.0356,0.0598,0.18,1,1,22.3,-,-3.0%
SAGAUSDT,2026-05-26 00:00:00,0.02238,-0.0436,,28.0,0.0269,-0.0436,0.1252,0.1151,1.48,0,1,21.5,-,-4.36%
FOLKSUSDT,2026-05-26 00:00:00,1.3895,0.0599,,28.0,0.0227,0.0599,0.0349,-0.0806,0.37,0,0,21.5,-,5.99%
BANUSDT,2026-05-26 00:00:00,0.09306,0.0248,,28.0,0.003,0.0248,-0.0232,0.14,0.13,1,0,21.5,-,2.48%
UNHUSDT,2026-05-26 00:00:00,388.01,0.0024,,27.0,0.0021,0.0024,0.0012,0.002,0.48,0,0,20.8,-,0.24%
MUUSDT,2026-05-26 00:00:00,782.62,-0.0095,,27.0,-0.0041,-0.0095,-0.0046,0.0458,0.28,1,1,20.8,-,-0.95%
QQQUSDT,2026-05-26 00:00:00,724.46,-0.0028,,27.0,-0.0032,-0.0028,-0.0055,0.0121,0.29,1,0,20.8,-,-0.28%
DRAMUSDT,2026-05-26 00:00:00,55.67,-0.0085,,26.0,-0.0071,-0.0085,-0.0009,0.0588,0.29,1,1,20.0,-,-0.85%
CCUSDT,2026-05-26 00:00:00,0.16569,-0.002,,26.0,-0.0005,-0.002,0.0025,0.0558,0.56,1,1,20.0,-,-0.2%
SOXLUSDT,2026-05-26 00:00:00,202.6,-0.0175,,26.0,-0.0052,-0.0175,0.0026,0.0697,0.2,1,1,20.0,-,-1.75%
ZECUSDT,2026-05-26 00:00:00,631.25,-0.032,,26.0,-0.0408,-0.032,-0.0267,0.048,0.29,1,1,20.0,-,-3.2%
MAGMAUSDT,2026-05-26 00:00:00,0.24567,-0.0366,,25.0,-0.0028,-0.0366,0.0273,0.0487,0.45,0,1,19.2,-,-3.66%
HUMAUSDT,2026-05-26 00:00:00,0.02473,-0.0241,,25.0,-0.0271,-0.0241,-0.0407,0.0646,0.36,1,1,19.2,-,-2.41%
HUSDT,2026-05-26 00:00:00,0.24311,-0.0261,,25.0,0.0162,-0.0261,0.0347,0.1867,0.65,0,1,19.2,-,-2.61%
MYXUSDT,2026-05-26 00:00:00,0.2051,0.001,,24.0,0.0016,0.001,-0.0116,0.0766,0.1,1,0,18.5,-,0.1%
POLUSDT,2026-05-26 00:00:00,0.0919,-0.0088,,24.0,0.0032,-0.0088,0.0177,0.0152,0.24,1,0,18.5,-,-0.88%
USARUSDT,2026-05-26 00:00:00,25.81,-0.0153,,23.0,-0.0076,-0.0153,-0.016,0.021,0.07,1,0,17.7,-,-1.53%
QNTUSDT,2026-05-26 00:00:00,79.34,-0.006,,23.0,-0.0103,-0.006,-0.0192,0.0422,0.12,1,1,17.7,-,-0.6%
TSMUSDT,2026-05-26 00:00:00,411.99,-0.0054,,23.0,-0.002,-0.0054,0.0006,0.0177,0.33,1,0,17.7,-,-0.54%
SNDKUSDT,2026-05-26 00:00:00,1511.88,-0.017,,23.0,-0.008,-0.017,-0.0047,0.0231,0.21,1,1,17.7,-,-1.7%
CRWVUSDT,2026-05-26 00:00:00,107.76,-0.0041,,23.0,-0.0077,-0.0041,0.0021,0.0337,0.23,1,1,17.7,-,-0.41%
AAOIUSDT,2026-05-26 00:00:00,184.47,-0.0242,,23.0,-0.0097,-0.0242,-0.0039,0.0288,0.19,1,1,17.7,-,-2.42%
BAUSDT,2026-05-26 00:00:00,219.86,-0.0006,,23.0,0.004,-0.0006,0.0052,0.0101,0.04,0,0,17.7,-,-0.06%
TQQQUSDT,2026-05-26 00:00:00,80.26,-0.0125,,23.0,-0.01,-0.0125,-0.0112,0.0361,0.21,1,1,17.7,-,-1.25%
CRDOUSDT,2026-05-26 00:00:00,219.06,-0.0136,,23.0,-0.0058,-0.0136,-0.0053,0.0066,0.06,1,0,17.7,-,-1.36%
VELODROMEUSDT,2026-05-26 00:00:00,0.016493,-0.0261,,22.0,0.0089,-0.0261,0.0349,0.0079,0.2,0,0,16.9,-,-2.61%
MUSDT,2026-05-26 00:00:00,2.9762,-0.0379,,22.0,0.0124,-0.0379,0.0239,0.0693,0.31,0,1,16.9,-,-3.79%
SPYUSDT,2026-05-26 00:00:00,749.82,-0.0005,,22.0,-0.0016,-0.0005,-0.0021,0.0083,0.43,1,0,16.9,-,-0.05%
AWEUSDT,2026-05-26 00:00:00,0.054304,0.0149,,21.0,0.0363,0.0149,0.0876,0.1082,0.7,0,1,16.2,-,1.49%
MCDUSDT,2026-05-26 00:00:00,283.17,0.0001,,21.0,0.0014,0.0001,0.0013,0.0024,0.31,1,0,16.2,-,0.01%
VIRTUALUSDT,2026-05-26 00:00:00,0.7564,-0.0245,,20.0,-0.0049,-0.0245,0.0205,0.0579,0.21,1,1,15.4,-,-2.45%
EWJUSDT,2026-05-26 00:00:00,92.9,-0.0109,,19.0,-0.0165,-0.0109,-0.0261,0.0192,0.74,1,1,14.6,-,-1.09%
YGGUSDT,2026-05-26 00:00:00,0.03794,-0.0153,,19.0,0.002,-0.0153,0.0232,0.0115,0.25,1,0,14.6,-,-1.53%
LUNCUSDT,2026-05-26 00:00:00,8.132e-05,0.0006,,19.0,-0.0018,0.0006,-0.0088,-0.0173,0.24,1,0,14.6,-,0.06%
ASMLUSDT,2026-05-26 00:00:00,1642.55,-0.0063,,18.0,-0.0056,-0.0063,-0.0063,0.0099,0.45,1,0,13.8,-,-0.63%
AMZNUSDT,2026-05-26 00:00:00,268.83,-0.0026,,18.0,-0.0025,-0.0026,-0.004,0.0111,0.31,1,0,13.8,-,-0.26%
ZAMAUSDT,2026-05-26 00:00:00,0.03145,-0.0452,,18.0,-0.0333,-0.0452,-0.0202,0.0129,0.41,1,1,13.8,-,-4.52%
MSFTUSDT,2026-05-26 00:00:00,420.17,-0.004,,18.0,-0.0036,-0.004,-0.0047,0.0045,0.25,1,0,13.8,-,-0.4%
AAPLUSDT,2026-05-26 00:00:00,310.35,-0.0018,,18.0,-0.003,-0.0018,-0.0047,0.0079,0.3,1,0,13.8,-,-0.18%
VELVETUSDT,2026-05-26 00:00:00,0.09602,-0.0043,,18.0,0.0037,-0.0043,0.0051,0.0068,0.28,0,0,13.8,-,-0.43%
CAKEUSDT,2026-05-26 00:00:00,1.4331,-0.0124,,17.0,0.0051,-0.0124,0.0233,0.0076,0.39,0,0,13.1,-,-1.24%
FILUSDT,2026-05-26 00:00:00,0.9732,-0.0102,,17.0,0.0027,-0.0102,0.0202,0.0058,0.31,0,0,13.1,-,-1.02%
INUSDT,2026-05-26 00:00:00,0.09387,0.0391,,17.0,0.0994,0.0391,0.2568,0.0368,0.22,0,0,13.1,-,3.91%
KAITOUSDT,2026-05-26 00:00:00,0.5056,-0.0123,,17.0,-0.0029,-0.0123,0.0064,0.0503,0.26,1,1,13.1,-,-1.23%
SUPERUSDT,2026-05-26 00:00:00,0.12,-0.0132,,17.0,-0.0192,-0.0132,-0.0204,0.0762,0.15,1,1,13.1,-,-1.32%
MORPHOUSDT,2026-05-26 00:00:00,2.1451,-0.0419,,17.0,-0.0499,-0.0419,-0.04,0.0776,0.45,1,1,13.1,-,-4.19%
OPUSDT,2026-05-26 00:00:00,0.1283,-0.0093,,17.0,0.0043,-0.0093,0.0272,0.0047,0.13,0,0,13.1,-,-0.93%
SSVUSDT,2026-05-26 00:00:00,2.635,-0.0026,,16.0,0.0081,-0.0026,0.0193,0.0065,0.08,1,0,12.3,-,-0.26%
WMTUSDT,2026-05-26 00:00:00,120.49,0.0009,,15.0,0.0011,0.0009,-0.0007,0.0009,0.14,0,0,11.5,-,0.09%
ETNUSDT,2026-05-26 00:00:00,393.4,-0.0036,,14.0,-0.0046,-0.0036,-0.0067,0.0015,0.24,1,0,10.8,-,-0.36%
AXTIUSDT,2026-05-26 00:00:00,141.45,-0.0268,,14.0,-0.0193,-0.0268,-0.0195,0.0104,0.02,1,0,10.8,-,-2.68%
LITEUSDT,2026-05-26 00:00:00,960.43,-0.0469,,14.0,-0.0387,-0.0469,-0.0494,0.0196,0.36,1,1,10.8,-,-4.69%
AVGOUSDT,2026-05-26 00:00:00,418.44,-0.013,,14.0,-0.0109,-0.013,-0.0123,0.0121,0.26,1,0,10.8,-,-1.3%
RKLBUSDT,2026-05-26 00:00:00,139.14,-0.0158,,14.0,-0.0133,-0.0158,-0.0138,0.0384,0.05,1,1,10.8,-,-1.58%
COHRUSDT,2026-05-26 00:00:00,382.69,-0.0382,,14.0,-0.0165,-0.0382,-0.0029,0.0277,0.31,1,1,10.8,-,-3.82%
COPPERUSDT,2026-05-26 00:00:00,6.402,-0.0101,,14.0,-0.0054,-0.0101,-0.0054,0.0079,0.18,1,0,10.8,-,-1.01%
SOONUSDT,2026-05-26 00:00:00,0.1689,-0.0243,,14.0,-0.0055,-0.0243,0.0138,0.0855,1.16,1,1,10.8,-,-2.43%
IONQUSDT,2026-05-26 00:00:00,63.59,-0.0257,,14.0,-0.0186,-0.0257,-0.0214,0.0127,0.09,1,1,10.8,-,-2.57%
AIXBTUSDT,2026-05-26 00:00:00,0.02925,-0.0125,,14.0,0.0036,-0.0125,0.0128,0.0076,0.3,0,0,10.8,-,-1.25%
EDGEUSDT,2026-05-26 00:00:00,1.341,-0.0157,,13.0,-0.004,-0.0157,0.0164,0.0832,0.23,0,1,10.0,-,-1.57%
HOMEUSDT,2026-05-26 00:00:00,0.02297,-0.0013,,12.0,-0.0071,-0.0013,-0.0095,0.0191,0.22,1,0,9.2,-,-0.13%
SENTUSDT,2026-05-26 00:00:00,0.01675,0.0,,12.0,0.0253,0.0,0.0482,0.0352,0.49,1,0,9.2,-,0.0%
FUTUUSDT,2026-05-26 00:00:00,94.04,0.0291,,11.0,0.029,0.0291,0.0318,0.0512,0.03,0,0,8.5,-,2.91%
CRCLUSDT,2026-05-26 00:00:00,113.81,-0.0109,,10.0,-0.0103,-0.0109,-0.0107,0.0078,0.1,1,0,7.7,-,-1.09%
USDCUSDT,2026-05-26 00:00:00,1.0,-0.0002,,10.0,-0.0002,-0.0002,-0.0002,-0.0001,0.07,1,0,7.7,-,-0.02%
GOOGLUSDT,2026-05-26 00:00:00,385.92,-0.0037,,10.0,-0.0024,-0.0037,-0.0012,0.01,0.22,0,0,7.7,-,-0.37%
WOOUSDT,2026-05-26 00:00:00,0.01742,0.0069,,10.0,0.0283,0.0069,0.0469,0.0526,0.34,0,1,7.7,-,0.69%
NIGHTUSDT,2026-05-26 00:00:00,0.0331,0.0141,,10.0,0.0015,0.0141,-0.0018,0.0254,0.13,0,0,7.7,-,1.41%
TSLAUSDT,2026-05-26 00:00:00,428.98,-0.0094,,10.0,-0.0077,-0.0094,-0.0094,0.0107,0.15,1,0,7.7,-,-0.94%
NIOUSDT,2026-05-26 00:00:00,5.316,-0.0099,,10.0,-0.0032,-0.0099,-0.0019,0.0233,0.04,0,0,7.7,-,-0.99%
TAOUSDT,2026-05-26 00:00:00,276.15,-0.012,,9.0,-0.0022,-0.012,0.0186,0.039,0.31,1,0,6.9,-,-1.2%
CATIUSDT,2026-05-26 00:00:00,0.05559,0.0007,,9.0,-0.0242,0.0007,-0.0406,0.1043,0.22,1,1,6.9,-,0.07%
RAYUSDT,2026-05-26 00:00:00,0.7598,-0.0153,,9.0,-0.0002,-0.0153,0.0144,0.0032,0.17,1,0,6.9,-,-1.53%
BNBUSDT,2026-05-26 00:00:00,657.53,-0.008,,9.0,-0.0033,-0.008,0.0014,0.0085,0.32,1,0,6.9,-,-0.8%
PNUTUSDT,2026-05-26 00:00:00,0.05592,-0.012,,9.0,0.0201,-0.012,0.0462,0.0099,0.53,0,0,6.9,-,-1.2%
TOWNSUSDT,2026-05-26 00:00:00,0.003246,-0.0223,,9.0,-0.0113,-0.0223,0.0259,0.0,0.91,0,1,6.9,-,-2.23%
XPTUSDT,2026-05-26 00:00:00,1955.92,-0.0068,,8.0,-0.0035,-0.0068,-0.0054,0.0102,0.44,0,0,6.2,-,-0.68%
ELSAUSDT,2026-05-26 00:00:00,0.06723,-0.0276,,8.0,-0.0073,-0.0276,0.0172,0.0084,0.45,1,1,6.2,-,-2.76%
LITUSDT,2026-05-26 00:00:00,1.248,-0.095,,7.0,-0.0534,-0.095,-0.0273,0.0712,0.19,1,1,5.4,-,-9.5%
COSTUSDT,2026-05-26 00:00:00,1033.17,-0.002,,7.0,0.0014,-0.002,0.0049,0.003,0.06,0,0,5.4,-,-0.2%
XMRUSDT,2026-05-26 00:00:00,380.58,-0.0137,,6.0,-0.0222,-0.0137,-0.0373,0.0077,0.35,0,1,4.6,-,-1.37%
NATGASUSDT,2026-05-26 00:00:00,3.063,0.0079,,6.0,0.0112,0.0079,0.0237,0.0062,0.29,0,0,4.6,-,0.79%
NFLXUSDT,2026-05-26 00:00:00,88.5,-0.0057,,6.0,-0.0033,-0.0057,-0.0037,0.0023,0.13,0,0,4.6,-,-0.57%
ONDOUSDT,2026-05-26 00:00:00,0.41,-0.0412,,6.0,-0.0556,-0.0412,-0.0641,0.0719,0.18,1,1,4.6,-,-4.12%
NVDAUSDT,2026-05-26 00:00:00,217.34,-0.0125,,6.0,-0.0117,-0.0125,-0.0131,0.0139,0.18,0,0,4.6,-,-1.25%
CBRSUSDT,2026-05-26 00:00:00,257.46,-0.0251,,6.0,-0.0202,-0.0251,-0.0119,0.0222,0.08,0,1,4.6,-,-2.51%
PLTRUSDT,2026-05-26 00:00:00,137.06,-0.0178,,5.0,-0.0155,-0.0178,-0.0175,0.007,0.26,1,0,3.8,-,-1.78%
GPSUSDT,2026-05-26 00:00:00,0.006852,0.0065,,5.0,0.0111,0.0065,0.0233,0.0184,0.2,0,1,3.8,-,0.65%
STBLUSDT,2026-05-26 00:00:00,0.03197,-0.0081,,5.0,0.0003,-0.0081,0.0136,-0.03,0.4,0,0,3.8,-,-0.81%
STXUSDT,2026-05-26 00:00:00,0.2427,-0.0198,,5.0,-0.0129,-0.0198,-0.019,0.0029,0.15,1,0,3.8,-,-1.98%
ORCLUSDT,2026-05-26 00:00:00,193.23,-0.0093,,5.0,-0.0066,-0.0093,-0.0067,0.0099,0.14,1,0,3.8,-,-0.93%
SNXUSDT,2026-05-26 00:00:00,0.316,-0.0085,,5.0,0.0212,-0.0085,0.045,0.0371,0.31,0,1,3.8,-,-0.85%
ENSUSDT,2026-05-26 00:00:00,6.219,-0.0154,,4.0,-0.0118,-0.0154,-0.0048,0.004,1.36,0,0,3.1,-,-1.54%
ARCUSDT,2026-05-26 00:00:00,0.06503,-0.0023,,4.0,0.0098,-0.0023,0.015,0.011,0.26,0,0,3.1,-,-0.23%
ASTERUSDT,2026-05-26 00:00:00,0.685,-0.009,,4.0,-0.0225,-0.009,-0.0232,0.0184,0.25,1,1,3.1,-,-0.9%
BGBUSDT,2026-05-26 00:00:00,1.9927,-0.0058,,4.0,0.0055,-0.0058,0.017,0.0109,0.57,0,0,3.1,-,-0.58%
AVNTUSDT,2026-05-26 00:00:00,0.15196,-0.0102,,4.0,-0.0094,-0.0102,0.0086,0.0434,0.21,1,1,3.1,-,-1.02%
XAGUSDT,2026-05-26 00:00:00,76.47,-0.016,,4.0,-0.0132,-0.016,-0.0157,0.0106,0.45,1,0,3.1,-,-1.6%
REDUSDT,2026-05-26 00:00:00,0.1342,-0.0168,,4.0,-0.009,-0.0168,0.0198,0.0105,0.38,1,1,3.1,-,-1.68%
XAUUSDT,2026-05-26 00:00:00,4540.97,-0.0049,,4.0,-0.0036,-0.0049,-0.005,0.0058,0.34,1,0,3.1,-,-0.49%
EWHUSDT,2026-05-26 00:00:00,23.672,0.0117,,3.0,0.0101,0.0117,0.0107,0.0116,0.44,0,0,2.3,-,1.17%
LAUSDT,2026-05-26 00:00:00,0.1161,-0.0194,,3.0,-0.0051,-0.0194,0.0078,0.0104,1.34,1,1,2.3,-,-1.94%
JDUSDT,2026-05-26 00:00:00,30.35,-0.0117,,2.0,-0.0083,-0.0117,-0.0095,-0.0062,0.15,0,0,1.5,-,-1.17%
BLESSUSDT,2026-05-26 00:00:00,0.005217,-0.026,,2.0,-0.0017,-0.026,-0.0023,0.0134,0.37,0,1,1.5,-,-2.6%
JTOUSDT,2026-05-26 00:00:00,0.499,-0.0196,,1.0,-0.0229,-0.0196,-0.0002,-0.004,0.3,1,1,0.8,-,-1.96%
XLMUSDT,2026-05-26 00:00:00,0.14832,-0.0088,,1.0,-0.0054,-0.0088,0.0063,0.0273,0.35,1,1,0.8,-,-0.88%
MSTRUSDT,2026-05-26 00:00:00,161.62,-0.0159,,1.0,-0.0099,-0.0159,-0.0088,0.0174,0.13,0,1,0.8,-,-1.59%
ARUSDT,2026-05-26 00:00:00,2.076,-0.0198,,1.0,-0.0074,-0.0198,0.0097,0.0048,0.24,0,0,0.8,-,-1.98%
APTUSDT,2026-05-26 00:00:00,0.9548,-0.0137,,1.0,-0.0034,-0.0137,0.0155,0.0099,0.1,1,0,0.8,-,-1.37%
