symbol,tf,start_d,w1_d,w2_d,w3_d,w4_d,w5_d,start,w1,w2,w3,w4,w5,retr2,retr4,ext3,trunc,gain,thr,d618
FLOKIUSDT,1d,2023-09-21,2023-10-01,2023-10-11,2023-12-05,2023-12-19,2023-12-22,1.544e-05,1.938e-05,1.678e-05,4.251e-05,3.412e-05,3.794e-05,0.66,0.326,6.53,True,2.46,0.1,0.04200000000000004
PNUTUSDT,1d,2026-03-29,2026-04-07,2026-04-12,2026-04-16,2026-04-25,2026-05-14,0.03766,0.04448,0.03998,0.07124,0.05202,0.06448,0.66,0.615,4.58,True,1.71,0.1,0.04200000000000004
STEEMUSDT,1d,2024-12-19,2024-12-23,2024-12-26,2024-12-28,2024-12-30,2025-01-05,0.1893,0.23826,0.20596,0.33704,0.24663,0.31372,0.66,0.69,2.68,True,1.66,0.1,0.04200000000000004
DOGEUSDT,1d,2024-09-06,2024-09-28,2024-10-02,2024-12-08,2024-12-27,2025-01-04,0.09253,0.12809,0.10458,0.46668,0.31166,0.39455,0.661,0.428,10.18,True,4.26,0.1,0.04300000000000004
ESPORTSUSDT,1d,2025-07-28,2025-10-09,2025-10-10,2026-01-25,2026-03-22,2026-04-12,0.12729,0.19072,0.14881,0.53151,0.27167,0.4579,0.661,0.679,6.03,True,3.6,0.2,0.04300000000000004
ETHUSDT,1w,2022-11-14,2023-04-10,2023-10-09,2024-03-04,2024-09-02,2024-12-02,1141.66,2119.18,1556.78,3880.46,2295.52,4007.04,0.575,0.682,2.38,False,3.51,0.25,0.04300000000000004
MYXUSDT,1d,2025-11-28,2025-12-16,2025-12-18,2026-01-24,2026-01-31,2026-02-06,2.5258,3.6278,2.8998,6.899,4.8325,6.8554,0.661,0.517,3.63,True,2.71,0.1,0.04300000000000004
CELRUSDT,1d,2023-09-11,2023-11-12,2023-11-21,2023-12-27,2024-01-07,2024-01-11,0.01108,0.0163,0.0133,0.02416,0.01826,0.02064,0.575,0.543,2.08,True,1.86,0.13,0.04300000000000004
SOLUSDT,1d,2021-09-21,2021-10-03,2021-10-11,2021-11-06,2021-11-18,2021-11-21,124.1423,172.9784,144.8941,258.2674,195.1381,230.3411,0.575,0.557,2.32,True,1.86,0.13,0.04300000000000004
COTIUSDT,1d,2023-10-19,2023-11-10,2023-11-21,2023-12-26,2024-01-09,2024-01-11,0.03641,0.05442,0.04407,0.07735,0.05754,0.06529,0.575,0.595,1.85,True,1.79,0.1,0.04300000000000004
MUSDT,1w,2025-06-30,2025-07-07,2025-07-21,2025-09-08,2025-12-01,2026-04-20,0.09338,0.62839,0.3212,2.49097,1.23746,4.34874,0.574,0.578,4.06,False,46.57,0.25,0.04400000000000004
ETHFIUSDT,1d,2025-04-16,2025-04-26,2025-05-06,2025-05-15,2025-05-23,2025-05-28,0.4225,0.6133,0.5037,1.4372,1.2257,1.3844,0.574,0.227,4.89,True,3.28,0.1,0.04400000000000004
USELESSUSDT,1d,2026-03-30,2026-04-16,2026-04-30,2026-05-12,2026-05-17,2026-06-03,0.03039,0.04786,0.03783,0.07917,0.05566,0.09886,0.574,0.569,2.37,False,3.25,0.13,0.04400000000000004
OPUSDT,1w,2022-11-14,2022-11-28,2022-12-26,2023-02-20,2023-03-06,2023-03-13,0.8474,1.0697,0.9226,2.9973,2.339,2.6864,0.662,0.317,9.33,True,3.17,0.1,0.04400000000000004
BOMEUSDT,1d,2025-04-08,2025-04-12,2025-04-16,2025-05-13,2025-05-17,2025-05-22,0.000985,0.001201,0.001077,0.003028,0.00209,0.002613,0.574,0.481,9.03,True,2.65,0.1,0.04400000000000004
FARTCOINUSDT,1d,2025-12-18,2025-12-27,2025-12-31,2026-01-06,2026-01-12,2026-01-13,0.2441,0.3159,0.2684,0.464,0.3657,0.4182,0.662,0.503,2.72,True,1.71,0.1,0.04400000000000004
CHZUSDT,1d,2024-01-22,2024-01-27,2024-02-05,2024-03-13,2024-03-19,2024-03-29,0.09279,0.11179,0.09921,0.16654,0.12067,0.15162,0.662,0.681,3.54,True,1.63,0.1,0.04400000000000004
SHIBUSDT,1d,2023-10-18,2023-12-16,2024-01-23,2024-03-04,2024-03-16,2024-03-28,6.76e-06,1.1596e-05,8.825e-06,3.592e-05,2.5411e-05,3.2026e-05,0.573,0.388,5.6,True,4.74,0.16,0.04500000000000004
ICNTUSDT,1w,2025-11-17,2025-11-24,2025-12-01,2025-12-22,2026-01-05,2026-01-12,0.188,0.2871,0.2303,0.5036,0.3636,0.448,0.573,0.512,2.76,True,2.38,0.1,0.04500000000000004
FARTCOINUSDT,1d,2025-03-10,2025-03-12,2025-03-13,2025-07-22,2025-08-02,2025-08-09,0.2182,0.2909,0.2426,1.6681,0.8979,1.0915,0.664,0.54,19.61,True,5.0,0.1,0.04600000000000004
WOOUSDT,1d,2023-09-12,2023-11-11,2023-11-21,2024-03-07,2024-03-19,2024-04-01,0.15406,0.27309,0.205,0.61106,0.41489,0.50366,0.572,0.483,3.41,True,3.27,0.1,0.04600000000000004
IDUSDT,1d,2023-10-19,2023-11-15,2023-11-21,2023-12-26,2023-12-31,2024-01-04,0.1717,0.2945,0.2243,0.3618,0.3005,0.3397,0.572,0.446,1.12,True,1.98,0.1,0.04600000000000004
LINKUSDT,1d,2020-12-30,2021-01-09,2021-01-12,2021-05-09,2021-05-12,2021-05-14,11.245,17.609,13.973,52.241,41.58,46.607,0.571,0.279,6.01,True,4.14,0.1,0.04700000000000004
PENDLEUSDT,1d,2024-08-05,2024-08-24,2024-09-06,2024-12-06,2024-12-09,2024-12-16,2.1971,3.4568,2.6191,6.8507,5.7016,6.2983,0.665,0.272,3.36,True,2.87,0.1,0.04700000000000004
DYDXUSDT,1w,2023-06-05,2023-08-21,2023-10-09,2023-11-20,2024-01-01,2024-03-04,1.557,2.216,1.84,3.434,2.491,4.038,0.571,0.592,2.42,False,2.59,0.1,0.04700000000000004
LPTUSDT,1d,2025-05-06,2025-05-13,2025-05-19,2025-05-30,2025-06-03,2025-06-04,4.587,6.257,5.303,11.637,7.864,10.404,0.571,0.596,3.79,True,2.27,0.13,0.04700000000000004
PYTHUSDT,1d,2024-02-23,2024-02-27,2024-03-05,2024-03-17,2024-03-19,2024-03-20,0.532,0.7331,0.5993,1.0989,0.9038,1.0355,0.665,0.391,2.48,True,1.95,0.1,0.04700000000000004
MANTAUSDT,1d,2025-04-08,2025-04-26,2025-05-06,2025-05-13,2025-05-17,2025-05-22,0.1681,0.2521,0.2041,0.3413,0.2642,0.3259,0.571,0.562,1.63,True,1.94,0.13,0.04700000000000004
ZENUSDT,1d,2025-10-23,2025-10-27,2025-10-30,2025-11-01,2025-11-02,2025-11-07,10.677,13.625,11.664,20.063,17.455,19.999,0.665,0.311,2.85,True,1.87,0.1,0.04700000000000004
ORDIUSDT,1d,2025-06-22,2025-06-29,2025-07-01,2025-07-27,2025-08-02,2025-08-13,6.581,7.843,7.004,11.672,8.49,10.599,0.665,0.682,3.7,True,1.61,0.1,0.04700000000000004
RUNEUSDT,1d,2023-06-14,2023-07-03,2023-07-30,2024-03-13,2024-03-19,2024-03-20,0.797,1.097,0.926,10.598,7.4,9.369,0.57,0.331,32.24,True,11.76,0.1,0.04800000000000004
AAVEUSDT,1d,2024-07-07,2024-08-01,2024-08-11,2024-12-23,2025-01-09,2025-01-21,78.227,116.759,91.087,383.52,280.9,370.66,0.666,0.351,7.59,True,4.74,0.16,0.04800000000000004
ETHUSDT,1d,2022-11-09,2023-04-16,2023-10-12,2024-03-11,2024-05-14,2024-05-27,1101.16,2119.18,1538.6,4069.32,2880.14,3894.76,0.57,0.47,2.49,True,3.54,0.25,0.04800000000000004
LQTYUSDT,1w,2024-08-26,2024-09-23,2024-10-28,2024-12-02,2024-12-16,2024-12-30,0.6863,0.9802,0.8126,2.6477,1.6142,1.9712,0.57,0.563,6.24,True,2.87,0.1,0.04800000000000004
LDOUSDT,1d,2024-11-04,2024-11-06,2024-11-20,2024-12-15,2024-12-19,2025-01-05,0.9372,1.3453,1.1128,2.381,1.6056,2.0895,0.57,0.611,3.11,True,2.23,0.13,0.04800000000000004
AINUSDT,1w,2025-08-18,2025-08-25,2025-09-01,2025-09-22,2025-10-13,2025-10-20,0.09036,0.117,0.10181,0.15265,0.12932,0.14452,0.57,0.459,1.91,True,1.6,0.1,0.04800000000000004
FETUSDT,1w,2023-02-27,2023-12-18,2024-01-29,2024-03-25,2024-08-12,2024-09-23,0.4314,0.7099,0.5242,3.0521,0.8155,1.6196,0.667,0.885,9.08,True,3.75,0.1,0.049000000000000044
AVAXUSDT,1d,2023-11-13,2023-11-19,2023-11-21,2023-12-25,2024-01-07,2024-01-11,16.112,22.848,19.012,48.161,33.649,39.308,0.569,0.498,4.33,True,2.44,0.1,0.049000000000000044
ZKUSDT,1w,2024-08-26,2024-10-14,2024-10-28,2024-12-02,2024-12-16,2024-12-30,0.0986,0.1489,0.1203,0.2557,0.1742,0.2135,0.569,0.602,2.69,True,2.17,0.1,0.049000000000000044
CFXUSDT,1d,2025-04-16,2025-04-28,2025-05-05,2025-05-10,2025-05-17,2025-05-22,0.06442,0.08157,0.07182,0.1047,0.08662,0.09921,0.569,0.55,1.92,True,1.54,0.1,0.049000000000000044
MEWUSDT,1d,2024-10-03,2024-10-07,2024-10-09,2024-10-24,2024-11-04,2024-11-17,0.004797,0.007161,0.005819,0.011249,0.007804,0.012122,0.568,0.634,2.3,False,2.53,0.1,0.050000000000000044
TOSHIUSDT,1d,2025-04-16,2025-04-25,2025-05-05,2025-05-12,2025-05-17,2025-05-21,0.0003048,0.0004252,0.0003568,0.0008492,0.000654,0.0007587,0.568,0.396,4.09,True,2.49,0.13,0.050000000000000044
TRXUSDT,1d,2022-11-17,2023-02-20,2023-03-10,2024-12-03,2025-03-16,2025-08-22,0.05003,0.07198,0.0573,0.434,0.21183,0.36673,0.669,0.59,17.16,True,7.33,0.13,0.051000000000000045
ANKRUSDT,1w,2023-08-28,2023-12-18,2024-01-29,2024-04-01,2024-04-08,2024-04-22,0.01821,0.03088,0.02369,0.06367,0.04366,0.05221,0.567,0.501,3.16,True,2.87,0.1,0.051000000000000045
BBUSDT,1d,2025-08-19,2025-08-22,2025-09-04,2025-09-24,2025-09-30,2025-10-03,0.1087,0.16605,0.12771,0.23523,0.18265,0.21036,0.669,0.489,1.87,True,1.94,0.1,0.051000000000000045
C98USDT,1d,2025-06-22,2025-06-29,2025-07-01,2025-07-21,2025-07-24,2025-07-27,0.0366,0.04516,0.04031,0.06215,0.05483,0.06032,0.567,0.335,2.55,True,1.65,0.1,0.051000000000000045
WUSDT,1d,2025-04-16,2025-04-26,2025-05-06,2025-05-13,2025-05-17,2025-05-22,0.0662,0.09116,0.07702,0.11004,0.09342,0.10915,0.567,0.503,1.32,True,1.65,0.1,0.051000000000000045
XRPUSDT,1d,2020-07-02,2020-08-17,2020-09-23,2020-11-24,2020-11-26,2020-11-30,0.1749,0.3159,0.2215,0.6957,0.5373,0.6648,0.67,0.334,3.36,True,3.8,0.13,0.052000000000000046
ONEUSDT,1d,2024-11-04,2024-11-11,2024-11-14,2024-12-07,2024-12-19,2024-12-24,0.01067,0.01624,0.01309,0.04563,0.02505,0.03241,0.566,0.632,5.84,True,3.04,0.13,0.052000000000000046
ZORAUSDT,1d,2025-08-02,2025-08-04,2025-08-06,2025-08-13,2025-08-21,2025-08-24,0.05562,0.06991,0.06034,0.12246,0.08366,0.11562,0.67,0.625,4.35,True,2.08,0.13,0.052000000000000046
AIXBTUSDT,1d,2025-01-09,2025-01-10,2025-01-13,2025-01-15,2025-01-21,2025-01-22,0.39373,0.50587,0.4306,0.87298,0.6612,0.74797,0.671,0.479,3.94,True,1.9,0.1,0.05300000000000005
OGNUSDT,1w,2024-08-05,2024-09-23,2024-10-21,2024-12-02,2024-12-16,2024-12-30,0.0737,0.0953,0.0808,0.1626,0.1046,0.1278,0.671,0.709,3.79,True,1.73,0.13,0.05300000000000005
ZETAUSDT,1d,2024-04-13,2024-04-20,2024-04-26,2024-05-05,2024-05-08,2024-05-20,1.0833,1.3476,1.1703,1.7218,1.5224,1.6931,0.671,0.362,2.09,True,1.56,0.1,0.05300000000000005
FILUSDT,1d,2024-11-14,2024-11-16,2024-11-20,2024-12-04,2024-12-22,2025-01-06,3.86,4.748,4.246,8.095,4.83,5.987,0.565,0.848,4.33,True,1.55,0.1,0.05300000000000005
CGPTUSDT,1d,2025-04-08,2025-04-12,2025-04-16,2025-05-22,2025-05-23,2025-05-27,0.05813,0.07179,0.06408,0.1478,0.12971,0.14418,0.564,0.216,6.13,True,2.48,0.1,0.05400000000000005
PENGUUSDT,1w,2025-03-31,2025-05-05,2025-06-16,2025-07-21,2025-07-28,2025-08-04,0.004038,0.014119,0.008447,0.043163,0.035296,0.040301,0.563,0.227,3.44,True,9.98,0.1,0.05500000000000005
SUIUSDT,1w,2024-07-29,2024-08-19,2024-08-26,2024-12-30,2025-03-31,2025-05-05,0.57622,0.9993,0.7613,5.2436,1.9211,4.0193,0.563,0.741,10.59,True,6.98,0.1,0.05500000000000005
BCHUSDT,1w,2020-03-09,2020-08-10,2020-09-28,2021-05-03,2021-07-12,2021-08-30,178.1,308.83,220.9,1428.08,437.64,764.87,0.673,0.82,9.23,True,4.29,0.1,0.05500000000000005
JOEUSDT,1d,2024-01-25,2024-03-02,2024-03-05,2024-03-18,2024-03-22,2024-03-26,0.4232,0.6126,0.5059,1.1314,0.8268,0.9882,0.563,0.487,3.3,True,2.34,0.1,0.05500000000000005
MASKUSDT,1d,2024-11-08,2024-11-12,2024-11-14,2024-12-07,2024-12-09,2024-12-13,2.661,3.218,2.843,4.405,3.408,4.569,0.673,0.638,2.8,False,1.72,0.1,0.05500000000000005
ETCUSDT,1d,2020-03-16,2020-04-09,2020-04-15,2020-05-02,2020-05-11,2020-05-30,4.497,5.879,5.101,7.473,6.019,7.491,0.563,0.613,1.72,False,1.67,0.1,0.05500000000000005
BCHUSDT,1w,2023-06-05,2023-06-26,2023-08-14,2024-04-01,2024-05-06,2024-05-13,102.71,298.79,188.67,684.34,432.37,484.13,0.562,0.508,2.53,True,4.71,0.1,0.05599999999999994
APRUSDT,1d,2026-03-02,2026-03-07,2026-03-09,2026-03-18,2026-03-21,2026-04-14,0.08768,0.11602,0.10008,0.17915,0.11945,0.3233,0.562,0.755,2.79,False,3.69,0.1,0.05599999999999994
ZAMAUSDT,1d,2026-03-09,2026-03-25,2026-04-06,2026-04-24,2026-04-27,2026-05-09,0.01905,0.02476,0.02155,0.03347,0.02552,0.02988,0.562,0.667,2.09,True,1.57,0.1,0.05599999999999994
INUSDT,1d,2025-09-23,2025-09-24,2025-09-26,2025-10-10,2025-10-11,2025-10-13,0.05992,0.10824,0.07565,0.1898,0.16439,0.18848,0.674,0.223,2.36,True,3.15,0.1,0.05600000000000005
AIXBTUSDT,1d,2025-04-08,2025-04-12,2025-04-16,2025-05-27,2025-05-30,2025-06-01,0.06862,0.08978,0.07552,0.23609,0.17932,0.19766,0.674,0.354,7.59,True,2.88,0.1,0.05600000000000005
XPLUSDT,1d,2025-09-02,2025-09-22,2025-09-23,2025-09-27,2025-10-04,2025-10-06,0.59,0.8046,0.6843,1.6288,0.8666,1.0409,0.561,0.807,4.4,True,1.76,0.13,0.05699999999999994
1000RATSUSDT,1d,2024-02-04,2024-02-17,2024-02-23,2024-03-04,2024-03-05,2024-03-08,0.21662,0.27286,0.23491,0.52486,0.39217,0.43397,0.675,0.458,5.16,True,2.0,0.1,0.05700000000000005
THETAUSDT,1d,2023-10-19,2023-12-25,2024-01-25,2024-03-11,2024-03-16,2024-03-17,0.5644,1.4126,0.9375,3.4676,2.7497,3.1371,0.56,0.284,2.98,True,5.56,0.13,0.05799999999999994
MAVUSDT,1d,2025-08-02,2025-08-13,2025-08-15,2025-09-03,2025-09-10,2025-09-18,0.04346,0.06293,0.05203,0.08124,0.06364,0.07632,0.56,0.603,1.5,True,1.76,0.1,0.05799999999999994
PENGUUSDT,1d,2026-04-02,2026-04-16,2026-04-19,2026-05-05,2026-05-17,2026-05-21,0.006218,0.007882,0.00695,0.011036,0.008358,0.009478,0.56,0.655,2.46,True,1.52,0.1,0.05799999999999994
AGLDUSDT,1d,2024-10-02,2024-10-20,2024-10-26,2024-11-13,2024-11-25,2024-12-07,0.8487,1.2744,0.9867,1.9832,1.3148,1.6706,0.676,0.671,2.34,True,1.97,0.1,0.05800000000000005
GWEIUSDT,1d,2026-02-15,2026-02-24,2026-02-25,2026-03-11,2026-03-27,2026-05-15,0.02522,0.03414,0.02915,0.05573,0.03816,0.15651,0.559,0.661,2.98,False,6.21,0.13,0.05899999999999994
SEIUSDT,1d,2023-08-17,2023-12-05,2023-12-15,2024-03-15,2024-03-22,2024-03-27,0.1715,0.30929,0.23232,1.05377,0.79493,0.89306,0.559,0.315,5.96,True,5.21,0.1,0.05899999999999994
BIOUSDT,1d,2025-06-22,2025-07-29,2025-08-02,2025-08-22,2025-09-01,2025-09-20,0.0444,0.07288,0.05695,0.25219,0.141,0.18285,0.559,0.57,6.86,True,4.12,0.16,0.05899999999999994
WUSDT,1d,2025-06-22,2025-06-29,2025-07-07,2025-07-21,2025-07-24,2025-07-27,0.05411,0.07806,0.06468,0.09841,0.08057,0.089,0.559,0.529,1.41,True,1.64,0.1,0.05899999999999994
ICNTUSDT,1d,2025-12-08,2025-12-12,2025-12-13,2025-12-19,2025-12-21,2025-12-29,0.2291,0.3505,0.2683,0.5216,0.3624,0.546,0.677,0.629,2.09,False,2.38,0.2,0.05900000000000005
VIRTUALUSDT,1d,2024-11-01,2025-10-09,2025-10-11,2025-11-01,2025-11-06,2025-11-07,0.4296,1.0518,0.7047,1.8318,1.192,1.5031,0.558,0.568,1.81,True,3.5,0.25,0.05999999999999994
AXSUSDT,1d,2024-11-04,2024-11-11,2024-11-14,2024-12-04,2024-12-22,2025-01-06,4.329,5.831,4.993,9.574,6.007,7.286,0.558,0.779,3.05,True,1.68,0.13,0.05999999999999994
TUTUSDT,1d,2025-03-19,2025-07-27,2025-08-02,2025-09-19,2025-09-20,2025-10-05,0.04939,0.07828,0.0587,0.11961,0.07833,0.10373,0.678,0.678,2.11,True,2.1,0.13,0.06000000000000005
IMXUSDT,1d,2024-11-04,2024-11-11,2024-11-14,2024-12-06,2024-12-09,2024-12-12,1.0457,1.4093,1.1628,2.1291,1.7331,1.96,0.678,0.41,2.66,True,1.87,0.1,0.06000000000000005
BANANAS31USDT,1d,2025-05-03,2025-05-27,2025-06-20,2025-06-25,2025-06-26,2025-07-10,0.004577,0.006692,0.005513,0.015532,0.008097,0.03727,0.557,0.742,4.74,False,8.14,0.13,0.06099999999999994
BTCUSDT,1d,2023-03-10,2023-07-13,2023-09-11,2025-10-06,2025-11-22,2026-01-14,20139.5,31450.0,25146.0,124625.4,84704.9,96899.9,0.557,0.401,8.8,True,4.81,0.1,0.06099999999999994
DOGEUSDT,1w,2023-10-09,2023-12-04,2024-01-01,2024-03-25,2024-05-06,2024-05-20,0.059249,0.101904,0.078154,0.220434,0.141189,0.166367,0.557,0.557,3.34,True,2.81,0.1,0.06099999999999994
ETCUSDT,1w,2020-12-21,2021-02-08,2021-02-22,2021-05-03,2021-05-17,2021-05-24,5.816,16.101,10.38,118.202,51.404,66.17,0.556,0.62,10.48,True,11.38,0.1,0.061999999999999944
C98USDT,1w,2025-06-16,2025-06-23,2025-06-30,2025-07-21,2025-07-28,2025-08-04,0.0366,0.04516,0.0404,0.06032,0.04802,0.05545,0.556,0.617,2.33,True,1.52,0.1,0.061999999999999944
FETUSDT,1d,2023-11-21,2023-12-02,2023-12-11,2023-12-26,2024-01-03,2024-01-04,0.4606,0.5587,0.492,0.7677,0.6578,0.7259,0.68,0.399,2.81,True,1.58,0.1,0.062000000000000055
HUSDT,1d,2025-09-27,2025-09-29,2025-10-03,2025-10-13,2025-10-18,2025-10-24,0.05518,0.07433,0.06371,0.18125,0.11278,0.37934,0.555,0.583,6.14,False,6.87,0.1,0.06299999999999994
SIRENUSDT,1d,2026-03-07,2026-03-15,2026-03-16,2026-03-23,2026-03-24,2026-03-25,0.40908,0.59873,0.4696,2.37216,1.01404,2.05232,0.681,0.714,10.03,True,5.02,0.1,0.06300000000000006
XVGUSDT,1d,2024-02-04,2024-03-12,2024-03-19,2024-04-02,2024-04-06,2024-04-09,0.003065,0.007562,0.00507,0.012467,0.008487,0.009942,0.554,0.538,1.64,True,3.24,0.1,0.06399999999999995
1000CATUSDT,1d,2025-04-08,2025-04-26,2025-05-06,2025-05-13,2025-05-17,2025-05-22,0.00436,0.007523,0.005771,0.012059,0.008622,0.01031,0.554,0.547,1.99,True,2.36,0.1,0.06399999999999995
1000000MOGUSDT,1d,2024-09-06,2024-09-13,2024-09-16,2024-12-07,2024-12-21,2024-12-25,0.7535,1.0785,0.8988,3.8383,2.0075,2.4812,0.553,0.623,9.04,True,3.29,0.1,0.06499999999999995
IOTAUSDT,1d,2023-10-12,2023-11-12,2023-11-21,2023-12-04,2023-12-19,2023-12-30,0.1389,0.2008,0.1666,0.331,0.2656,0.3219,0.553,0.398,2.66,True,2.32,0.1,0.06499999999999995
JASMYUSDT,1w,2025-06-16,2025-06-23,2025-06-30,2025-07-14,2025-07-28,2025-08-04,0.010985,0.01379,0.012239,0.019134,0.014944,0.016509,0.553,0.608,2.46,True,1.5,0.1,0.06499999999999995
DYMUSDT,1d,2024-11-04,2024-11-11,2024-11-20,2024-12-06,2024-12-10,2024-12-14,1.256,1.855,1.446,2.706,1.901,2.177,0.683,0.639,2.1,True,1.73,0.13,0.06500000000000006
CKBUSDT,1w,2023-10-09,2023-12-25,2024-01-01,2024-04-01,2024-08-26,2024-09-23,0.002576,0.00391,0.003173,0.027305,0.007648,0.017932,0.552,0.815,18.09,True,6.96,0.1,0.06599999999999995
MAVUSDT,1d,2023-10-19,2023-11-15,2023-11-21,2024-04-01,2024-05-14,2024-05-25,0.2002,0.3103,0.2495,0.7961,0.3334,0.4724,0.552,0.847,4.96,True,2.36,0.13,0.06599999999999995
BANUSDT,1d,2025-04-16,2025-04-22,2025-05-03,2025-05-10,2025-05-17,2025-05-21,0.03262,0.05388,0.04214,0.07028,0.05841,0.06833,0.552,0.422,1.32,True,2.09,0.1,0.06599999999999995
ZKUSDT,1d,2025-06-22,2025-06-29,2025-07-01,2025-07-21,2025-07-24,2025-07-27,0.03875,0.05017,0.04387,0.06305,0.05464,0.06096,0.552,0.438,1.68,True,1.57,0.1,0.06599999999999995
NEARUSDT,1w,2023-12-11,2023-12-18,2024-01-29,2024-03-11,2024-04-08,2024-05-20,2.2655,3.794,2.749,8.246,5.71,7.8085,0.684,0.461,3.6,True,3.45,0.1,0.06600000000000006
PEPEUSDT,1w,2025-03-03,2025-03-17,2025-03-31,2025-05-12,2025-06-16,2025-07-14,5.8587e-06,7.3462e-06,6.3292e-06,1.38586e-05,8.87e-06,1.40356e-05,0.684,0.663,5.06,False,2.4,0.1,0.06600000000000006
METISUSDT,1d,2025-04-08,2025-04-26,2025-05-04,2025-05-13,2025-05-17,2025-05-22,12.68,16.89,14.57,24.58,19.29,21.95,0.551,0.528,2.38,True,1.73,0.13,0.06699999999999995
MUSDT,1d,2025-07-28,2025-08-04,2025-08-18,2025-09-17,2025-09-19,2025-09-20,0.32115,0.57568,0.40122,2.81304,2.25259,2.62307,0.685,0.232,9.48,True,8.17,0.13,0.06700000000000006
IOUSDT,1d,2025-04-08,2025-04-12,2025-04-16,2025-04-26,2025-05-06,2025-05-13,0.5375,0.6316,0.5671,0.8841,0.7048,1.173,0.685,0.566,3.37,False,2.18,0.1,0.06700000000000006
LTCUSDT,1w,2025-03-31,2025-05-12,2025-06-16,2025-08-04,2025-09-22,2025-09-29,70.56,100.93,80.14,123.74,106.82,118.75,0.685,0.388,1.44,True,1.68,0.1,0.06700000000000006
LINKUSDT,1w,2023-06-12,2023-07-17,2023-09-04,2024-03-04,2024-05-06,2024-05-27,5.152,7.889,6.012,21.69,13.541,18.142,0.686,0.52,5.73,True,3.52,0.1,0.06800000000000006
LQTYUSDT,1d,2024-09-06,2024-09-24,2024-10-03,2024-12-07,2024-12-21,2024-12-25,0.682,1.0207,0.7882,2.7371,1.6071,2.3099,0.686,0.58,5.75,True,3.39,0.2,0.06800000000000006
SUIUSDT,1d,2025-04-06,2025-04-12,2025-04-16,2025-05-10,2025-06-05,2025-06-10,1.9211,2.345,2.0539,4.1253,2.9202,3.4923,0.687,0.582,4.89,True,1.82,0.1,0.06900000000000006
AAVEUSDT,1w,2022-06-13,2022-06-20,2022-06-27,2022-08-08,2022-08-22,2022-09-05,54.044,65.328,57.575,107.386,78.55,91.49,0.687,0.579,4.41,True,1.69,0.1,0.06900000000000006
SNXUSDT,1d,2025-08-02,2025-08-26,2025-09-22,2025-10-13,2025-10-18,2025-10-20,0.5573,0.7712,0.6239,2.2879,1.3706,1.6199,0.689,0.551,7.78,True,2.91,0.13,0.07099999999999995
ADAUSDT,1d,2021-01-11,2021-01-17,2021-01-21,2021-05-16,2021-05-19,2021-05-20,0.27515,0.381,0.30791,2.30078,1.46544,1.80112,0.691,0.419,18.83,True,6.55,0.13,0.07299999999999995
APTUSDT,1d,2024-08-05,2024-08-25,2024-09-06,2024-12-06,2024-12-10,2024-12-13,4.978,7.328,5.705,14.681,11.621,14.229,0.691,0.341,3.82,True,2.86,0.16,0.07299999999999995
AAVEUSDT,1d,2022-06-18,2022-06-24,2022-07-01,2022-08-12,2022-08-20,2022-08-25,49.6,71.031,56.231,114.659,82.731,93.265,0.691,0.546,2.73,True,1.88,0.1,0.07299999999999995
DRIFTUSDT,1d,2025-04-08,2025-04-12,2025-04-16,2025-05-10,2025-05-17,2025-05-29,0.4289,0.5212,0.4574,0.7266,0.6036,0.6953,0.691,0.457,2.92,True,1.62,0.1,0.07299999999999995
CKBUSDT,1d,2024-02-26,2024-02-28,2024-03-03,2024-03-11,2024-03-16,2024-03-24,0.014439,0.016915,0.015203,0.024139,0.017261,0.022675,0.691,0.77,3.61,True,1.57,0.1,0.07299999999999995
OPUSDT,1d,2022-06-13,2022-11-07,2022-11-09,2023-02-03,2023-02-13,2023-02-24,0.5446,1.3098,0.7806,3.0947,2.2096,3.056,0.692,0.382,3.02,True,5.61,0.25,0.07399999999999995
ORDERUSDT,1d,2024-08-28,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-10-06,0.1602,0.2288,0.1813,0.3336,0.2486,0.435,0.692,0.558,2.22,False,2.72,0.2,0.07399999999999995
USELESSUSDT,1d,2025-12-23,2025-12-27,2025-12-29,2026-01-06,2026-01-10,2026-01-13,0.0565,0.06912,0.06039,0.13039,0.09887,0.11724,0.692,0.45,5.55,True,2.08,0.1,0.07399999999999995
IOTXUSDT,1d,2023-12-11,2023-12-20,2024-01-22,2024-03-12,2024-03-19,2024-04-07,0.03051,0.06063,0.03975,0.08606,0.06283,0.08297,0.693,0.502,1.54,True,2.72,0.16,0.07499999999999996
ONTUSDT,1d,2023-09-11,2023-09-22,2023-10-12,2024-01-01,2024-01-23,2024-03-13,0.1499,0.1779,0.1585,0.339,0.2171,0.4014,0.693,0.675,6.45,False,2.68,0.1,0.07499999999999996
TONUSDT,1d,2023-08-03,2023-08-15,2023-08-18,2024-06-14,2024-06-19,2024-07-02,1.178,1.495,1.275,8.176,6.941,8.089,0.694,0.179,21.77,True,6.87,0.1,0.07599999999999996
SUSHIUSDT,1d,2020-12-11,2020-12-19,2020-12-23,2021-03-13,2021-04-07,2021-04-15,1.9316,2.8694,2.2178,22.819,13.8766,17.5822,0.695,0.434,21.97,True,9.1,0.16,0.07699999999999996
