symbol,tf,start_d,w1_d,w2_d,w3_d,w4_d,w5_d,start,w1,w2,w3,w4,w5,retr2,retr4,ext3,trunc,gain,thr,d618
HBARUSDT,1d,2024-11-20,2024-11-23,2024-11-25,2025-01-17,2025-02-26,2025-03-02,0.12174,0.15443,0.13494,0.37423,0.19596,0.26409,0.596,0.745,7.32,True,2.17,0.1,0.02200000000000002
BROCCOLIUSDT,1d,2025-03-10,2025-03-14,2025-03-15,2025-03-19,2025-03-22,2025-03-25,0.02863,0.03936,0.03297,0.06654,0.04776,0.05912,0.596,0.559,3.13,True,2.06,0.1,0.02200000000000002
BCHUSDT,1d,2023-06-14,2023-06-30,2023-08-17,2024-04-06,2024-05-01,2024-05-20,101.7,304.1,183.58,692.96,424.1,517.81,0.595,0.528,2.52,True,5.09,0.2,0.02300000000000002
CUSDT,1d,2025-07-14,2025-07-15,2025-07-17,2025-07-23,2025-07-25,2025-07-28,0.1033,0.20334,0.14379,0.41559,0.32978,0.38086,0.595,0.316,2.72,True,3.69,0.1,0.02300000000000002
TURBOUSDT,1d,2025-06-22,2025-06-29,2025-07-01,2025-07-15,2025-08-02,2025-08-10,0.003119,0.003812,0.003368,0.00621,0.004175,0.005061,0.641,0.716,4.1,True,1.62,0.1,0.02300000000000002
SKYAIUSDT,1d,2026-03-04,2026-03-16,2026-03-19,2026-05-05,2026-05-11,2026-05-12,0.03969,0.05125,0.04438,0.73396,0.44278,0.54364,0.594,0.422,59.65,True,13.7,0.1,0.02400000000000002
XRPUSDT,1w,2020-03-16,2020-04-27,2020-06-22,2020-11-30,2020-12-28,2021-04-26,0.1477,0.2194,0.1768,0.6216,0.2258,1.5615,0.594,0.89,6.2,False,10.57,0.1,0.02400000000000002
COMPUSDT,1d,2024-01-07,2024-01-13,2024-01-23,2024-03-01,2024-03-05,2024-03-11,48.06,58.72,51.88,95.01,82.16,92.78,0.642,0.298,4.05,True,1.93,0.1,0.02400000000000002
PYTHUSDT,1d,2025-06-22,2025-06-29,2025-07-07,2025-07-21,2025-07-24,2025-07-27,0.0852,0.1118,0.096,0.1489,0.124,0.139,0.594,0.471,1.99,True,1.63,0.1,0.02400000000000002
ETCUSDT,1d,2021-01-27,2021-02-13,2021-02-28,2021-05-06,2021-05-12,2021-05-14,6.876,16.69,10.38,133.83,84.782,103.358,0.643,0.397,12.58,True,15.03,0.2,0.025000000000000022
BNBUSDT,1d,2023-10-12,2023-11-06,2023-11-21,2025-10-08,2025-10-10,2025-10-12,205.21,255.04,225.51,1306.1,1102.17,1302.32,0.593,0.189,21.69,True,6.35,0.1,0.025000000000000022
1MCHEEMSUSDT,1d,2025-01-14,2025-02-12,2025-03-03,2025-03-25,2025-04-17,2025-05-16,0.5728,1.132,0.7723,2.0537,1.2533,1.749,0.643,0.625,2.29,True,3.05,0.25,0.025000000000000022
GPSUSDT,1d,2025-12-18,2026-01-09,2026-01-13,2026-02-09,2026-02-11,2026-02-18,0.004515,0.007628,0.005783,0.014535,0.010601,0.013534,0.593,0.449,2.81,True,3.0,0.2,0.025000000000000022
BOMEUSDT,1d,2025-06-22,2025-06-29,2025-07-01,2025-07-21,2025-07-24,2025-07-27,0.001299,0.001631,0.001434,0.002457,0.001987,0.002206,0.593,0.459,3.08,True,1.7,0.1,0.025000000000000022
PRLUSDT,1d,2026-04-18,2026-04-22,2026-04-23,2026-04-28,2026-05-01,2026-05-09,0.18,0.2343,0.2021,0.3518,0.2527,0.2898,0.593,0.662,2.76,True,1.61,0.1,0.025000000000000022
CLOUSDT,1d,2025-12-19,2026-01-01,2026-01-04,2026-01-16,2026-01-20,2026-01-21,0.1857,0.4166,0.2799,0.769,0.6086,0.6779,0.592,0.328,2.12,True,3.65,0.1,0.026000000000000023
SPELLUSDT,1d,2023-05-04,2024-02-22,2024-02-23,2024-03-02,2024-03-05,2024-03-12,0.0006616,0.0009805,0.0007752,0.0016022,0.0012546,0.0014886,0.644,0.42,2.59,True,2.25,0.16,0.026000000000000023
ARBUSDT,1d,2023-11-21,2023-12-12,2023-12-19,2024-01-11,2024-01-22,2024-02-14,0.9499,1.253,1.0735,2.2578,1.6875,2.1101,0.592,0.482,3.91,True,2.22,0.1,0.026000000000000023
OPUSDT,1d,2024-11-04,2024-11-11,2024-11-14,2024-12-07,2024-12-10,2024-12-13,1.3416,1.8226,1.5126,2.6772,2.2032,2.5679,0.644,0.407,2.42,True,1.91,0.13,0.026000000000000023
MORPHOUSDT,1d,2024-11-21,2024-11-27,2024-11-28,2024-12-05,2024-12-09,2024-12-13,0.967,1.663,1.2514,2.4358,1.7459,2.9661,0.591,0.582,1.7,False,3.07,0.1,0.027000000000000024
ETHFIUSDT,1d,2024-11-04,2024-11-11,2024-11-14,2024-12-06,2024-12-10,2024-12-16,1.2244,1.8731,1.4546,2.9668,2.3806,2.8161,0.645,0.388,2.33,True,2.3,0.13,0.027000000000000024
PIPPINUSDT,1d,2025-06-21,2025-07-02,2025-07-05,2025-07-10,2025-07-12,2025-07-22,0.01386,0.01711,0.01519,0.02002,0.01726,0.02166,0.591,0.571,1.49,False,1.56,0.1,0.027000000000000024
FILUSDT,1d,2023-09-11,2024-01-01,2024-01-23,2024-03-08,2024-03-19,2024-03-31,3.023,7.579,4.892,11.464,7.998,9.964,0.59,0.527,1.44,True,3.3,0.2,0.028000000000000025
ARUSDT,1d,2022-06-18,2022-06-24,2022-06-29,2022-07-18,2022-07-26,2022-08-10,7.914,10.718,9.064,16.471,12.283,15.561,0.59,0.565,2.64,True,1.97,0.1,0.028000000000000025
UNIUSDT,1d,2020-12-11,2020-12-19,2020-12-23,2021-05-04,2021-05-10,2021-05-14,2.967,3.962,3.318,43.128,36.355,40.424,0.647,0.17,40.01,True,13.62,0.1,0.029000000000000026
MORPHOUSDT,1w,2025-03-31,2025-05-12,2025-06-16,2025-08-18,2025-09-22,2025-10-20,0.9071,1.629,1.1616,2.5588,1.7492,2.0905,0.647,0.579,1.94,True,2.3,0.1,0.029000000000000026
HOTUSDT,1d,2023-10-22,2023-11-11,2023-11-21,2023-12-29,2024-01-07,2024-01-11,0.001236,0.001709,0.001403,0.002674,0.001928,0.002188,0.647,0.587,2.69,True,1.77,0.1,0.029000000000000026
BRETTUSDT,1d,2025-06-22,2025-06-29,2025-07-01,2025-07-22,2025-08-02,2025-08-13,0.03586,0.04504,0.0391,0.06636,0.04766,0.06266,0.647,0.686,2.97,True,1.75,0.13,0.029000000000000026
CAKEUSDT,1d,2025-04-06,2025-04-12,2025-04-16,2025-05-27,2025-06-05,2025-06-10,1.6218,2.0211,1.7858,2.7743,2.254,2.6319,0.589,0.526,2.48,True,1.62,0.1,0.029000000000000026
