Symbol,entry_date,entry_close,exit_date,exit_close,bars_held,ret_pct,exit_reason,Name,entry_month
084010,2025-09-05,10536,2025-09-19,11136,10,5.6947608200455635,TIMEOUT,대한제강,2025-09
084010,2026-02-05,12450,2026-02-24,12840,10,3.1325301204819356,TIMEOUT,대한제강,2026-02
084010,2026-04-14,12140,2026-04-28,12940,10,6.58978583196046,TIMEOUT,대한제강,2026-04
084670,2026-02-10,57400,2026-02-11,56000,1,-2.4390243902439046,STOP,동양고속,2026-02
084680,2025-09-16,1530,2025-09-22,1495,4,-2.287581699346408,STOP,이월드,2025-09
084680,2026-02-03,1630,2026-02-06,1580,3,-3.0674846625766916,STOP,이월드,2026-02
084680,2026-02-10,1592,2026-02-27,1658,10,4.145728643216073,TIMEOUT,이월드,2026-02
084680,2026-04-07,1665,2026-04-21,1907,10,14.534534534534526,TIMEOUT,이월드,2026-04
084680,2026-05-06,1894,2026-05-07,1889,1,-0.2639915522703262,STOP,이월드,2026-05
084690,2025-12-29,9730,2026-01-02,9460,2,-2.7749229188078095,STOP,대상홀딩스,2025-12
084690,2026-01-23,9720,2026-02-06,9930,10,2.1604938271605034,TIMEOUT,대상홀딩스,2026-01
084690,2026-04-16,10070,2026-04-30,9540,10,-5.263157894736848,TIMEOUT,대상홀딩스,2026-04
084695,2025-12-03,13500,2025-12-05,14350,2,6.296296296296289,T_star,대상홀딩스우,2025-12
084695,2026-01-22,13610,2026-01-26,13530,2,-0.5878030859661987,STOP,대상홀딩스우,2026-01
084695,2026-01-27,13590,2026-01-28,13470,1,-0.8830022075055233,STOP,대상홀딩스우,2026-01
084695,2026-01-29,13800,2026-02-12,14440,10,4.637681159420293,TIMEOUT,대상홀딩스우,2026-01
084695,2026-03-24,14310,2026-03-31,14190,5,-0.8385744234800874,STOP,대상홀딩스우,2026-03
084695,2026-04-16,15140,2026-04-28,14490,8,-4.29326287978864,STOP,대상홀딩스우,2026-04
084695,2026-06-02,14500,2026-06-04,12990,1,-10.413793103448278,STOP,대상홀딩스우,2026-06
084870,2025-09-02,1453,2025-09-03,1438,1,-1.0323468685478288,STOP,TBH글로벌,2025-09
084870,2025-10-28,1345,2025-10-30,1330,2,-1.115241635687736,STOP,TBH글로벌,2025-10
084870,2026-03-18,1970,2026-03-24,2110,4,7.106598984771573,STOP,TBH글로벌,2026-03
