symbol,last_date,close,ma20,px_vs_ma20_pct,category,a_pct,b_pct,vertex_x,vertex_pos,r2,y_mean
HOTUSDT,2026-06-15,0.0003224,0.00033339000000000003,-3.2964396052671208,case2_downtrend,0.00815664109586651,-1.314872072379966,80.60131964408092,5.757237117434351,0.9990587521596151,0.00036182499999999997
KSMUSDT,2026-06-15,3.754,3.96175,-5.243894743484567,case2_downtrend,0.008014676595508455,-1.6238685271559707,101.30592967818635,7.2361378341561675,0.9989753050628926,4.398443333333333
MEWUSDT,2026-06-15,0.0003864,0.00041522499999999997,-6.942019387079279,case2_downtrend,0.008011171415033875,-2.081502430989134,129.91248864572776,9.27946347469484,0.9989085745792317,0.0004774663333333333
TONUSDT,2026-06-14,1.7551,1.76786,-0.7217766112701196,case2_downtrend,0.00796908710849612,-0.8345486249581073,52.36162019539015,3.7401157282421535,0.9867687503163032,1.8483976666666666
POPCATUSDT,2026-06-15,0.04406,0.045684999999999996,-3.556966181459986,case2_downtrend,0.007815973521092718,-1.577532579976347,100.9172162443431,7.20837258888165,0.9991525786638361,0.05063243333333333
BSVUSDT,2026-06-15,12.96,12.8375,0.9542356377799432,case2_downtrend,0.007815841698670516,-1.2072514630008513,77.23105901736766,5.516504215526261,0.9979949193947223,13.80353333333333
LDOUSDT,2026-06-15,0.2735,0.286705,-4.6057794597234025,case2_downtrend,0.007787740994118841,-1.5008831996154846,96.36191038896413,6.882993599211724,0.9995890222100441,0.31608899999999995
ETHWUSDT,2026-06-15,0.2462,0.25033500000000003,-1.6517866059480357,case2_downtrend,0.007773445877306237,-0.9438800368480876,60.71181633898339,4.336558309927385,0.9949886446717395,0.264079
RAREUSDT,2026-06-15,0.01343,0.014003499999999999,-4.095404720248508,case2_downtrend,0.007582629898212835,-1.1176456635232555,73.69775912356445,5.264125651683175,0.9980572794084782,0.014979333333333332
GOOGLUSDT,2026-06-15,369.31,369.2915,0.0050095926930504575,case2_downtrend,0.007535245726347995,-0.47597670543872916,31.583356583476295,2.2559540416768784,0.9992768794303002,378.1904
RAVEUSDT,2026-06-15,0.29578,0.379406,-22.041296131321076,case2_downtrend,0.007238519500282443,-2.756751101565774,190.42230261714482,13.601593044081772,0.9998577633648291,0.463754
SEIUSDT,2026-06-15,0.05399,0.05659499999999999,-4.602880113084174,case2_downtrend,0.007066944754030803,-1.0609935922107643,75.067347286506,5.361953377607572,0.9936720488445453,0.0603924
COTIUSDT,2026-06-15,0.01034,0.010798499999999999,-4.2459600870491165,case2_downtrend,0.0070248070851263176,-1.2864975401486127,91.56817579179682,6.540583985128344,0.9988550980586383,0.01171223333333333
NOMUSDT,2026-05-26,0.002103,0.00235145,-10.565821089115236,case2_downtrend,0.00667563898067936,-0.9842223772095475,73.71746585293818,5.26553327520987,0.9943422105176342,0.0024989799999999996
ZKCUSDT,2026-06-15,0.05383,0.05475300000000001,-1.6857523788651019,case2_downtrend,0.006653823830434855,-1.669126667459446,125.42612413517729,8.959008866798378,0.9981037006856179,0.06099440000000001
SOPHUSDT,2026-06-15,0.005559,0.00622,-10.627009646302255,case2_downtrend,0.0065314497274669625,-1.7893688633426534,136.9809872238433,9.784356230274522,0.9991991527070522,0.007025019999999999
1000XECUSDT,2026-06-15,0.0057,0.005987,-4.793719726073153,case2_downtrend,0.006529622952420837,-1.467974053008569,112.40879172543357,8.02919940895954,0.9985365831752339,0.0065802
LISTAUSDT,2026-06-15,0.05243,0.058217,-9.940395417146197,case2_downtrend,0.006364176950354977,-2.0132070814536536,158.16712020722198,11.297651443372999,0.9995395302942929,0.06690510000000001
ZBTUSDT,2026-06-15,0.11477,0.121171,-5.282617127860634,case2_downtrend,0.006354087824979669,-1.4312226687291671,112.62219756411272,8.044442683150908,0.9963638308893158,0.13265246666666666
USUALUSDT,2026-06-15,0.01024,0.010990000000000022,-6.824385805277711,case2_downtrend,0.006293742506941508,-1.7680294671802237,140.45931059542278,10.032807899673056,0.9979429450529436,0.012365300000000023
1000CATUSDT,2026-06-15,0.001553,0.0016311,-4.7881797559928945,case2_downtrend,0.0061345099002738605,-1.0414487286045995,84.88442805823058,6.063173432730756,0.9990723837080756,0.00174162
CTSIUSDT,2026-06-15,0.02453,0.0250685,-2.148114167181925,case2_downtrend,0.0058658209417674035,-1.306656372418946,111.37881512159177,7.955629651542269,0.9990384944133678,0.027273766666666664
APEUSDT,2026-06-15,0.1282,0.13188,-2.790415529269019,case2_downtrend,0.0058188564514172775,-0.6359600372848466,54.64647930350199,3.9033199502501423,0.9719728172903297,0.13636900000000002
VTHOUSDT,2026-06-15,0.0004127,0.00043770500000000004,-5.712751739185073,case2_downtrend,0.005724252406284652,-1.3506021846918226,117.97192793324395,8.426566280945996,0.9992689082691701,0.0004779206666666667
MAVUSDT,2026-06-15,0.01094,0.011534,-5.14999132998093,case2_downtrend,0.005700405942185433,-1.3714475916571036,120.29385324190748,8.592418088707678,0.999258774095338,0.012614066666666666
BNBUSDT,2026-06-15,617.61,625.4159999999999,-1.2481292451744008,case2_downtrend,0.0055754448431585895,-0.5068158993700435,45.45071412480544,3.2464795803432454,0.9967595924885075,643.3174333333333
MAGICUSDT,2026-06-15,0.04823,0.05089850000000003,-5.242787115533898,case2_downtrend,0.0054725275231721,-1.4883997230144055,135.9883268482557,9.71345191773255,0.999012094234526,0.05615993333333336
LQTYUSDT,2026-06-15,0.2059,0.226825,-9.225173591976187,case2_downtrend,0.005298218549585611,-1.292140944757628,121.94107629428481,8.710076878163202,0.9961740628867141,0.24626833333333334
NVDAUSDT,2026-06-15,212.05,211.08249999999998,0.4583515923868742,case2_downtrend,0.005065758734949632,-0.4038756069385141,39.86328880529777,2.8473777718069835,0.9959359273819635,215.4055666666667
ARPAUSDT,2026-06-15,0.00865,0.0090505,-4.425169880117119,case2_downtrend,0.005050534604837885,-1.527314952301038,151.2032954727238,10.800235390908842,0.9965050521559061,0.010000733333333333
BIGTIMEUSDT,2026-06-15,0.00906,0.009784999999999999,-7.40929994890136,case2_downtrend,0.004644116491571124,-1.6553011829322002,178.2148645427502,12.729633181625015,0.9992680997351331,0.010949866666666667
ANKRUSDT,2026-06-15,0.004038,0.004133050000000001,-2.299754418649691,case2_downtrend,0.00463129393854103,-0.9612142816844073,103.77383669014247,7.412416906438748,0.9992745873184117,0.004396173333333334
SPELLUSDT,2026-06-15,0.000131,0.00013463,-2.6962786897422486,case2_downtrend,0.0046051438093334136,-1.2285785507058187,133.39198530736581,9.527998950526129,0.9983358167533398,0.00014569266666666667
MASKUSDT,2026-06-15,0.3764,0.38950500000000005,-3.3645267711582716,case2_downtrend,0.004425948097778923,-1.244621453886451,140.6050665744409,10.043219041031493,0.9985246531197832,0.42230533333333325
NEOUSDT,2026-06-15,2.28,2.37945,-4.179537288028746,case2_downtrend,0.003905093376417598,-1.374273290493124,175.95908189957757,12.568505849969826,0.9992900695491862,2.609796666666667
EGLDUSDT,2026-06-15,3.053,3.1696,-3.6786976274608807,case2_downtrend,0.0039009439774797335,-1.533190630769237,196.51533572647958,14.036809694748541,0.9994297118203525,3.519816666666667
IOTXUSDT,2026-06-15,0.00341,0.003714,-8.18524501884761,case2_downtrend,0.0029987453034942737,-1.2206391155550147,203.52497328343802,14.537498091674143,0.9993915803970839,0.004034223333333333
VELODROMEUSDT,2026-06-15,0.016256,0.01447715,12.287294115209146,case2_downtrend,0.0027165534573927942,-0.7992425307077046,147.10598249643425,10.507570178316731,0.9934154571137588,0.015208923333333334
EWHUSDT,2026-06-15,21.879,22.48355,-2.688854740465807,case2_downtrend,0.002546221886282875,-0.419357559168074,82.34898172607353,5.8820701232909665,0.9966523668492373,23.06166
CELRUSDT,2026-06-15,0.002235,0.00232165,-3.732259384489489,case2_downtrend,0.002132997412602197,-0.8472093605884378,198.59596537317555,14.185426098083967,0.9967136624601155,0.0024505666666666667
MINAUSDT,2026-06-15,0.04383,0.0477225,-8.156529938708157,case2_downtrend,0.0020510503860549207,-1.4084430083202486,343.34675976178943,24.52476855441353,0.9992058246689474,0.05261426666666667
ZETAUSDT,2026-06-15,0.03921,0.041865,-6.341812970261551,case2_downtrend,0.0016544779438245993,-1.452665903821581,439.01035648245136,31.357882605889383,0.997593354373324,0.04623746666666668
LWLGUSDT,2026-06-15,10.048,10.51995,-4.486238052462221,case2_downtrend,0.0016332105812207167,-1.281827950507352,392.4258038878461,28.030414563417576,0.9963599565396009,11.51632333333333
QTUMUSDT,2026-06-15,0.749,0.7708999999999999,-2.840835387209739,case2_downtrend,0.0014391077966448952,-1.157715285495235,402.2336923593588,28.730978025668488,0.9986336810911084,0.8340633333333333
DEEPUSDT,2026-06-15,0.01788,0.0211355,-15.402994961084438,case2_downtrend,0.0012782739405448119,-3.043294796399887,1190.3922546926083,85.02801819232916,0.9992837225260307,0.0266057
CVCUSDT,2026-06-15,0.02347,0.0248735,-5.642551309626709,case2_downtrend,0.0012452598057491248,-1.3336287826208593,535.4821445547956,38.24872461105683,0.9982924860859337,0.027291600000000003
MTLUSDT,2026-06-15,0.2569,0.262215,-2.0269626070209434,case2_downtrend,0.001080549840622661,-0.8732410329740429,404.0725379547706,28.862324139626473,0.9987346184502107,0.278287
ARKUSDT,2026-06-15,0.125,0.133305,-6.230073890701782,case2_downtrend,0.0009832000482031952,-1.3768145922835668,700.1701204143068,50.01215145816477,0.9986249424576124,0.14673633333333333
