ma,K_days,X_dist_low,Y_dist_now,H_hold,count_dedup,count_raw,win_rate,mean_short,mean_capped,median_short,std,max_loss,sharpe_like
ma100,40,0.3,0.03,40,484,1542,0.7582644628099173,0.12228232244754222,0.12714549459401056,0.17029674977980264,0.2997608223981019,-2.3591476091476093,0.4079329695898129
ma100,40,0.3,0.03,60,464,1477,0.6853448275862069,0.0603539173287576,0.07156553502916,0.13117390734471102,0.39081207325243755,-3.1960244648318046,0.1544320696811563
ma100,40,0.3,0.05,10,728,3115,0.6236263736263736,0.026881954809787542,0.026881954809787542,0.04418238951312886,0.1647400639426672,-0.7525087260034906,0.16317800398051927
ma100,40,0.3,0.05,20,687,2911,0.6681222707423581,0.04913897720259385,0.0509624315446364,0.08105136917849287,0.23997085891770698,-1.6061068702290076,0.2047706018314709
ma100,40,0.3,0.05,40,610,2639,0.7426229508196721,0.10738548249580664,0.11088425810333569,0.15183590188402007,0.2908678319848533,-2.3591476091476093,0.3691899573872392
ma100,40,0.3,0.05,60,578,2535,0.6695501730103807,0.05336575427484588,0.06373457822413728,0.12420301847153958,0.3824595926300034,-3.1960244648318046,0.13953305212682332
ma100,40,0.4,0.03,10,263,705,0.6197718631178707,0.021459731961165813,0.021459731961165813,0.041734860883797076,0.1799343535932714,-0.9164531009738597,0.11926422905141275
ma100,40,0.4,0.03,20,253,683,0.6956521739130435,0.07965672743097524,0.07965672743097524,0.12580849714648068,0.2327576751505559,-0.9838492597577388,0.34223029328442317
ma100,40,0.4,0.03,40,235,642,0.8170212765957446,0.18974127658973566,0.19067541360376952,0.21872713972201896,0.23813645298052127,-1.2195221982979594,0.7967754378421679
ma100,40,0.4,0.03,60,228,630,0.7280701754385965,0.12041630303538128,0.12519186913771654,0.1730060645668069,0.31370704318208753,-2.088829071332436,0.38384953622315415
ma100,40,0.4,0.05,10,319,1182,0.6394984326018809,0.025236452444351982,0.025236452444351982,0.05145797598627788,0.18532156054103407,-0.7525087260034906,0.13617655911527954
ma100,40,0.4,0.05,20,304,1141,0.7105263157894737,0.07333102421140314,0.07451829287695118,0.12753493039142216,0.25353054088622073,-1.1917320028510336,0.2892394105856958
ma100,40,0.4,0.05,40,282,1068,0.8191489361702128,0.18774302670705326,0.18774302670705326,0.2218309636150606,0.23409893234139514,-0.8925610820244327,0.8019815589473114
ma100,40,0.4,0.05,60,274,1049,0.7481751824817519,0.13428672181222823,0.1372183958579384,0.1803040121847725,0.2981659650616943,-1.80327868852459,0.45037575561128385
ma100,40,0.5,0.03,10,79,193,0.6455696202531646,0.03156487518259034,0.03156487518259034,0.04023792862141362,0.1481155074546823,-0.6383676817389519,0.21310986084457081
ma100,40,0.5,0.03,20,77,188,0.7402597402597403,0.10092330428211642,0.10092330428211642,0.1770449121284442,0.21280954254668613,-0.4299539170506912,0.4742423815885788
ma100,40,0.5,0.03,40,73,179,0.8493150684931506,0.20517744335125718,0.2081845967525991,0.27110002169668035,0.26418268212769436,-1.2195221982979594,0.7766498609930963
ma100,40,0.5,0.03,60,73,179,0.821917808219178,0.15169490151375434,0.15169490151375434,0.1582625118035883,0.19401995617895415,-0.42230252968508,0.7818520553310437
ma100,40,0.5,0.05,10,100,336,0.61,0.00839095481991221,0.00839095481991221,0.039258974798383806,0.18253749871705882,-0.7525087260034906,0.04596838939334082
ma100,40,0.5,0.05,20,97,328,0.6907216494845361,0.06974451770370471,0.07081504020667431,0.16251937532292204,0.2753744282321325,-1.1038406827880514,0.2532715842623998
ma100,40,0.5,0.05,40,94,312,0.8191489361702128,0.20114205519308417,0.20114205519308417,0.26225764375483024,0.2527015015809944,-0.8925610820244327,0.795966996375822
ma100,40,0.5,0.05,60,93,310,0.8064516129032258,0.14196306122931482,0.1517827280948221,0.16043539990534783,0.30275774366759167,-1.9132290184921765,0.46889985210479385
ma100,60,0.2,0.03,10,1212,5067,0.5973597359735974,0.010268725432578642,0.011171276200200251,0.03132324077504006,0.16522228198833827,-1.7787787787787788,0.06215097206624606
ma100,60,0.2,0.03,20,1157,4743,0.6127917026793431,0.004279399370751028,0.006810713361402345,0.05325232308792005,0.25154664465862975,-2.2234002271866715,0.017012349246631923
ma100,60,0.2,0.03,40,988,3805,0.5657894736842105,-0.04493454332104133,-0.023124165151367324,0.059996657868685965,0.4380132172705557,-4.119273002650511,-0.10258718584121124
ma100,60,0.2,0.03,60,942,3656,0.5573248407643312,-0.07637591397879151,-0.04216630352687379,0.04452626152850381,0.5276687099013797,-4.0823551684967825,-0.14474216974712414
ma100,60,0.2,0.05,10,1479,8532,0.5821501014198783,0.008393974547839881,0.00860006568005848,0.029627303182579556,0.1640036135761955,-1.3048087845513066,0.051181643896767375
ma100,60,0.2,0.05,20,1418,8029,0.609308885754584,0.002612970081757451,0.005827276419885131,0.051424035303853866,0.25367672540382996,-2.2234002271866715,0.010300393453904152
ma100,60,0.2,0.05,40,1230,6464,0.5853658536585366,-0.0316616014684427,-0.016214864763814847,0.05908824832426224,0.40477486161882587,-4.119273002650511,-0.0782202761846862
ma100,60,0.2,0.05,60,1162,6203,0.5671256454388984,-0.058569285734137895,-0.030667770666605136,0.05818952643916803,0.49984504737972973,-4.0823551684967825,-0.11717488457906658
ma100,60,0.3,0.03,10,776,2762,0.6069587628865979,0.01733493940995786,0.01931605248112551,0.0338063715441958,0.17827028181367027,-1.7787787787787788,0.09723964776179855
ma100,60,0.3,0.03,20,739,2631,0.638700947225981,0.029100828086085294,0.02987442919916109,0.06581336769960766,0.2353138300346548,-1.348194205582749,0.12366815873847958
ma100,60,0.3,0.03,40,628,2132,0.5843949044585988,0.0007252826167286456,0.012873348624381104,0.08358887487184236,0.38330939924622953,-2.322158102042686,0.0018921597491605993
ma100,60,0.3,0.03,60,598,2055,0.596989966555184,-0.051207348423612686,-0.020596549947537606,0.07388479633016248,0.5167405068795177,-3.8320228734810575,-0.09909683437213507
ma100,60,0.3,0.05,10,944,4686,0.5858050847457628,0.01657723089983968,0.01657723089983968,0.03357743170669042,0.1610082895258521,-0.8210970464135021,0.10295886596061239
ma100,60,0.3,0.05,20,911,4482,0.6344676180021954,0.02483732905169204,0.02592931639344503,0.06180243211727465,0.23997760955536393,-1.348194205582749,0.10349852679052525
ma100,60,0.3,0.05,40,781,3622,0.5992317541613317,0.002682608850013126,0.012495516613550958,0.07633463541666663,0.3693658442973957,-2.322158102042686,0.007262742052167708
ma100,60,0.3,0.05,60,735,3484,0.601360544217687,-0.04632854459176578,-0.017472931748142413,0.07479964381122006,0.5167511539509436,-4.469152360515022,-0.08965349034549781
ma100,60,0.4,0.03,10,384,1076,0.6510416666666666,0.03561719984467406,0.03561719984467406,0.048528528528528514,0.13670070017728464,-0.5407385033602659,0.26054877406247934
ma100,60,0.4,0.03,20,370,1038,0.7297297297297297,0.07738893082464765,0.0779929768164862,0.10461996353728914,0.21139760284732256,-1.2234970169802661,0.36608234806021034
ma100,60,0.4,0.03,40,331,908,0.649546827794562,0.07673409821289578,0.0800169523550448,0.13290851160673645,0.30455437378525996,-1.7064220183486238,0.2519553315198838
ma100,60,0.4,0.03,60,318,875,0.6855345911949685,0.025727131965956888,0.04492414598830277,0.1498628794281356,0.4408626074850973,-3.1960244648318046,0.058356348506663845
