symbol,score,verdict,s_1m,s_1w,s_1d,m_1w,m_1d,v_1w,acc_w,acc_d,ret_30d,ret_90d,last_close,dist_ma10,dist_ma20,risk_flags,cut,Name,Marcap
017800,24.0,watch,A1,A4,B2,breaking,breaking,normal,0.0,0.0,-0.049,-0.022,84300.0,-0.046,-0.097,accumulation_suspect,False,현대엘리베이터,3311125009500
042660,24.0,skip,A2,A4,B2,breaking,breaking,normal,0.0,0.0,-0.043,-0.058,122200.0,0.027,-0.026,,False,한화오션,41151318814200
001430,24.0,skip,A3,A4,B2,breaking,breaking,normal,0.0,0.0,-0.086,0.085,62900.0,-0.093,-0.111,drawdown_deep,False,세아베스틸지주,2388417125400
030610,24.0,watch,A2,A2,A5,pullback_ma20,breaking,normal,0.0,0.0,0.021,0.373,12800.0,-0.031,-0.074,drawdown_deep,False,교보증권,1455307011970
000070,23.8,skip,B3,A4,B2,pullback_ma50,breaking,normal,0.0,0.6,-0.112,0.059,59500.0,-0.023,-0.078,,False,삼양홀딩스,457251949900
036460,23.4,watch,B3,B3,B4,pullback_ma20,bounce_ma50,normal,0.0,0.3,0.042,-0.012,37650.0,0.005,-0.008,"drawdown_deep,accumulation_suspect",False,한국가스공사,3450198375000
086790,23.4,watch,A2,A2,A3,pullback_ma10,pullback_ma50,normal,0.0,0.3,0.043,0.329,122100.0,0.015,-0.008,accumulation_suspect,False,하나금융지주,33363118156800
047040,23.0,skip,A3,A3,A4,pullback_ma10,breaking,normal,0.0,0.0,0.266,6.833,28550.0,-0.023,-0.095,"parabolic,drawdown_deep,distribution_suspect",False,대우건설,12327229140000
057050,23.0,watch,B4,A2,A3,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.107,0.608,84900.0,0.007,-0.004,,False,현대홈쇼핑,992400000000
090350,23.0,skip,B3,B3,B2,riding,riding,normal,0.0,0.0,-0.039,0.016,8210.0,0.005,-0.031,drawdown_deep,False,노루페인트,162600000000
096760,23.0,watch,B4,A2,A3,pullback_ma10,pullback_ma10,normal,0.0,0.0,-0.003,0.134,3930.0,0.001,-0.038,,False,JW홀딩스,283502152570
377740,23.0,watch,B3,B3,B3,pullback_ma10,riding,normal,0.0,0.0,0.041,-0.057,5120.0,0.02,0.012,drawdown_deep,False,바이오노트,522675426240
004380,23.0,pass,B3,B4,A1,bounce_ma50,riding,accumulation_suspect,0.0,0.0,0.031,0.031,13400.0,0.043,0.09,"drawdown_deep,accumulation_suspect",False,삼익THK,275724000000
130660,23.0,skip,A3,A4,B2,breaking,riding,distribution_suspect,0.0,0.0,-0.195,0.526,15600.0,-0.028,-0.143,"drawdown_deep,parabolic",False,한전산업,497802000000
