asset,symbol,entry_dt,ret_1w,ret_2w,ret_4w,ret_8w,ret_13w,ret_26w,ret_52w,peak_8w,trough_8w,peak_13w,trough_13w,peak_26w,trough_26w,peak_52w,trough_52w
crypto,ETCUSDT,2025-08-04,-4.035564763261245,0.2891795071000125,-11.610341404462865,-16.215632957831595,-30.277526004575083,-63.041132547800935,,0.2891795071000125,-20.000863222409258,0.2891795071000125,-32.012603047175105,0.2891795071000125,-63.041132547800935,0.2891795071000125,-65.79049592127411
crypto,GALAUSDT,2023-11-20,-1.7653549098933352,27.142331739610135,13.79183523354175,-11.585141596175063,12.136815005516732,61.41963957337258,45.23721956601692,27.142331739610135,-11.585141596175063,27.142331739610135,-22.28760573740346,204.52372195660172,-22.28760573740346,204.52372195660172,-42.442074292019115
crypto,ICPUSDT,2023-11-13,1.5270506108202575,2.8359511343804655,129.60296684118674,175.02181500872604,198.0148342059337,174.84729493891803,96.2260034904014,190.29232111692846,1.5270506108202575,198.0148342059337,1.5270506108202575,310.12216404886567,1.5270506108202575,310.12216404886567,1.5270506108202575
crypto,KAVAUSDT,2024-11-25,16.835732984293195,-6.871727748691092,-23.445680628272246,-28.174083769633505,-25.58900523560209,-32.231675392670155,-79.82657068062828,16.835732984293195,-30.20287958115183,16.835732984293195,-30.20287958115183,16.835732984293195,-33.7859947643979,16.835732984293195,-81.282722513089
crypto,KNCUSDT,2025-08-18,-4.583956153462876,-7.947184853014444,-8.744394618834072,-26.930742401594408,-32.71051320378674,-65.99402092675635,,-3.712007972097653,-28.79920279023418,-3.712007972097653,-32.71051320378674,-3.712007972097653,-65.99402092675635,-3.712007972097653,-69.08320876930742
crypto,LDOUSDT,2025-08-04,-5.194895269801636,-0.4577611319184327,-16.77070328755722,-19.260646414204473,-41.684006103481764,-75.56526564017202,,-0.4577611319184327,-22.485781661811632,-0.4577611319184327,-41.684006103481764,-0.4577611319184327,-75.56526564017202,-0.4577611319184327,-80.60757386600083
crypto,LINKUSDT,2023-08-07,-15.55495177285694,-18.176878141556852,-18.32631435946204,4.157043879907629,117.67422904496674,173.69922564868904,35.742426300774376,9.38731150658878,-18.32631435946204,117.67422904496674,-18.32631435946204,173.69922564868904,-18.32631435946204,194.66105148756964,-18.32631435946204
crypto,LTCUSDT,2023-07-17,0.9236387069058161,-11.384384061862306,-30.018257974438846,-31.81183546343035,-29.964558049618738,-22.962087853076994,-20.47041134142412,0.9236387069058161,-34.42165180968746,0.9236387069058161,-34.42165180968746,0.9236387069058161,-34.42165180968746,12.812802062077111,-34.42165180968746
crypto,LUNAUSDT,2024-11-25,23.986837547627292,-4.468306200207839,-26.272947696570835,-42.34499480429512,-57.0142015933495,-70.1939729823346,-87.55975060616557,23.986837547627292,-42.34499480429512,23.986837547627292,-57.0142015933495,23.986837547627292,-73.83096640110843,23.986837547627292,-87.55975060616557
crypto,LUNCUSDT,2026-04-27,17.780401416765045,18.51239669421487,,,,,,18.51239669421487,17.780401416765045,18.51239669421487,17.780401416765045,18.51239669421487,17.780401416765045,18.51239669421487,17.780401416765045
crypto,MAGICUSDT,2025-07-28,47.17083786724703,32.752992383025024,6.909684439608288,-4.298150163220882,-27.203482045701843,-63.275299238302495,,47.17083786724703,-4.298150163220882,47.17083786724703,-31.99129488574537,47.17083786724703,-63.275299238302495,47.17083786724703,-69.80957562568008
crypto,MANAUSDT,2023-11-20,0.022202486678501998,18.472468916518636,20.093250444049747,5.750444049733572,14.742451154529302,-0.7104795737122638,61.61190053285968,20.093250444049747,-5.350799289520425,20.093250444049747,-5.350799289520425,71.09236234458258,-9.835701598579039,71.09236234458258,-43.783303730017764
crypto,MASKUSDT,2024-11-04,-2.2048846675712275,12.550881953867021,45.31886024423337,8.548168249660804,-24.118046132971504,-52.00135685210312,-71.84531886024423,45.31886024423337,-2.2048846675712275,45.31886024423337,-24.118046132971504,45.31886024423337,-63.63636363636363,45.31886024423337,-71.84531886024423
crypto,MEMEUSDT,2025-09-29,-24.907063197026027,-29.657166460140438,-36.18339529120198,-47.37711689384552,-48.492358529533256,-79.28128872366791,,-24.907063197026027,-48.16191656340355,-24.907063197026027,-60.92523750516315,-24.907063197026027,-79.57868649318463,-24.907063197026027,-79.76869062370922
crypto,NEARUSDT,2023-11-13,-7.9637096774193505,-0.2268145161290258,14.188508064516125,66.53225806451613,77.39415322580645,291.45665322580646,187.5,91.22983870967742,-7.9637096774193505,91.22983870967742,-7.9637096774193505,315.625,-7.9637096774193505,315.625,-7.9637096774193505
crypto,OPUSDT,2025-09-08,-0.9034228273317235,-13.156890189591552,-38.07100139966917,-45.5274207914493,-61.7763074182466,-83.68749204733426,,-0.9034228273317235,-46.5326377401705,-0.9034228273317235,-61.7763074182466,-0.9034228273317235,-85.34164651991347,-0.9034228273317235,-87.04669805318743
crypto,ORDIUSDT,2025-08-04,-10.911016949152552,-8.339753466872102,-11.508089368258867,-20.916795069337446,-49.845916795069336,-73.02580893682588,,-4.372110939907559,-21.3886748844376,-4.372110939907559,-53.15870570107859,-4.372110939907559,-73.02580893682588,-4.372110939907559,-79.31432973805855
crypto,ORDIUSDT,2026-05-04,-4.192401272693247,,,,,,,-4.192401272693247,-4.192401272693247,-4.192401272693247,-4.192401272693247,-4.192401272693247,-4.192401272693247,-4.192401272693247,-4.192401272693247
crypto,SANDUSDT,2023-11-20,0.8003766478342778,31.285310734463255,32.532956685499045,14.312617702448204,22.2457627118644,3.9077212806026385,81.66195856873824,39.877589453860615,0.8003766478342778,39.877589453860615,0.47080979284368496,84.1337099811676,-2.0480225988700584,84.1337099811676,-45.291902071563094
crypto,SANDUSDT,2023-12-04,-10.525372063833593,0.9503317195624916,-15.886677425138963,-23.471400394477314,40.254617177694115,-24.314147391070474,64.35359512282591,6.544737313968074,-23.471400394477314,40.254617177694115,-23.471400394477314,40.254617177694115,-25.389994620763844,64.35359512282591,-58.32885063654294
crypto,SHIBUSDT,2023-11-27,14.530955809059698,14.121165134566404,14.619559198139331,-0.2879610145087974,150.22704618451655,172.57725107985382,242.03123269465058,18.030789677705172,-0.2879610145087974,150.22704618451655,-1.5616347325285052,264.1710045409237,-1.5616347325285052,264.1710045409237,-1.5616347325285052
crypto,SNXUSDT,2024-11-25,33.57001972386588,17.159763313609467,-20.67061143984221,-38.816568047337284,-60.23668639053255,-72.71400394477318,-78.63510848126232,33.57001972386588,-38.816568047337284,33.57001972386588,-61.89349112426036,33.57001972386588,-75.85798816568048,33.57001972386588,-80.00788954635108
crypto,SOLUSDT,2023-07-24,-4.350553414165093,-0.07923603258582768,-14.287247125630376,-20.17877629852176,35.416030439842515,296.1574651072575,662.4924684500276,-0.07923603258582768,-24.837607401966043,35.416030439842515,-24.837607401966043,364.1997573396502,-24.837607401966043,736.9260546233398,-24.837607401966043
crypto,SOLUSDT,2023-10-16,13.09358865658885,41.83089659546015,110.28634254951024,144.33932350366376,214.12342921741768,412.68206602284397,476.97954794548883,158.09224448718214,13.09358865658885,287.6794810816773,13.09358865658885,598.9643002391933,13.09358865658885,598.9643002391933,13.09358865658885
crypto,SUSHIUSDT,2023-11-13,8.708379070618367,20.27991218441274,6.604463959019391,-2.2594218807171607,15.413465056714237,-4.10720819612147,-32.35455543358946,23.271130625686066,-6.677643615075002,23.271130625686066,-6.677643615075002,83.63519941456275,-8.159531650201234,83.63519941456275,-51.28979143798025
crypto,SUSHIUSDT,2025-08-18,-9.740723120837291,-10.323501427212179,-10.049952426260711,-36.42959086584205,-52.10513796384395,-76.1417697431018,,-3.1636536631779233,-36.42959086584205,-3.1636536631779233,-52.10513796384395,-3.1636536631779233,-76.1417697431018,-3.1636536631779233,-77.80685061845861
crypto,THETAUSDT,2023-11-20,10.899071333809562,16.511888968262056,29.37034391264415,3.296254719869385,42.91254209613227,132.75844473925912,100.11225635268906,29.37034391264415,3.296254719869385,42.91254209613227,-2.806408817226247,229.66629247882437,-2.806408817226247,229.66629247882437,-2.806408817226247
crypto,UNIUSDT,2023-12-04,-8.264025404506292,3.5173143807651464,-9.230303946771512,-9.621956751852412,115.39392106456975,48.41675487675789,181.35490700136097,9.272644790564044,-10.176924240133067,115.39392106456975,-10.176924240133067,115.39392106456975,-10.176924240133067,181.35490700136097,-15.121729925903526
crypto,XLMUSDT,2023-07-10,18.859582253392304,19.21024546424761,5.06174721756365,1.890532093306918,-19.00442140570209,-10.05488641561213,-20.407074249123337,19.21024546424761,-9.643238298521117,19.21024546424761,-19.00442140570209,19.21024546424761,-19.00442140570209,19.21024546424761,-36.04970269858209
crypto,XTZUSDT,2023-12-04,-5.595854922279786,1.6580310880829119,-9.533678756476682,-0.7253886010362698,47.46113989637306,-11.917098445595853,81.84455958549222,15.440414507772026,-9.533678756476682,47.46113989637306,-9.533678756476682,47.46113989637306,-11.917098445595853,81.84455958549222,-37.979274611398964
crypto,XTZUSDT,2025-08-04,-2.7705234472578777,-5.768138980356541,-19.416373339389125,-19.064380606335874,-28.863404110366766,-53.184966503917344,,-2.7705234472578777,-23.62893153173613,-2.7705234472578777,-34.17735891904168,-2.7705234472578777,-53.184966503917344,-2.7705234472578777,-61.394345407062566
crypto,ZILUSDT,2024-11-25,29.772981019724586,2.791216970599164,-22.255303312244145,-28.768142910308892,-44.6594715295869,-57.68515072571642,-79.34871604019352,29.772981019724586,-28.768142910308892,29.772981019724586,-46.9296613323409,29.772981019724586,-62.44882768887234,29.772981019724586,-79.34871604019352
kr,000120,2025-12-05,-2.2564102564102573,-2.051282051282055,-2.564102564102566,6.461538461538452,22.461538461538467,,,6.461538461538452,-4.102564102564099,43.99999999999999,-4.102564102564099,43.99999999999999,-4.102564102564099,43.99999999999999,-4.102564102564099
kr,000155,2023-06-02,2.7874564459930307,-2.4390243902439046,-8.188153310104529,-11.324041811846685,-0.6968641114982632,-8.362369337979093,50.17421602787457,2.7874564459930307,-12.543554006968638,2.7874564459930307,-12.543554006968638,33.10104529616724,-21.34146341463414,50.17421602787457,-21.34146341463414
kr,000155,2023-08-25,1.4234875444839812,3.0249110320284656,27.402135231316716,-14.946619217081846,-7.117437722419928,-4.270462633451954,44.66192170818506,35.943060498220646,-14.946619217081846,35.943060498220646,-19.661921708185048,35.943060498220646,-19.661921708185048,113.52313167259784,-19.661921708185048
kr,000720,2023-05-19,-1.7610062893081757,-3.899371069182389,-2.8930817610062887,-5.660377358490565,-12.704402515723267,-7.672955974842766,-13.83647798742138,-1.132075471698113,-12.83018867924528,-1.132075471698113,-12.83018867924528,-1.132075471698113,-15.723270440251568,-1.132075471698113,-17.73584905660377
kr,001440,2024-04-05,4.222048475371376,-0.31274433150899617,2.2673964034401806,30.64894448788116,12.822517591868653,3.8311180609851503,-12.353401094605164,49.96090695856137,-0.31274433150899617,49.96090695856137,-0.31274433150899617,49.96090695856137,-16.4972634870993,49.96090695856137,-17.51368256450352
kr,002380,2023-09-29,-0.40567951318458695,-5.273833671399597,-8.924949290060857,-7.7079107505070965,-7.302231237322521,5.273833671399597,25.152129817444212,-0.40567951318458695,-8.924949290060857,-0.40567951318458695,-14.807302231237319,18.25557809330629,-18.052738336713993,33.671399594320484,-18.052738336713993
kr,002790,2024-04-26,5.564387917329094,11.446740858505567,10.65182829888711,8.58505564387917,-0.7949125596184436,-29.09379968203497,-30.52464228934817,21.62162162162162,5.564387917329094,21.62162162162162,-4.133545310015895,21.62162162162162,-29.09379968203497,21.62162162162162,-35.29411764705882
kr,002790,2025-05-23,5.2208835341365445,12.449799196787147,28.11244979919678,31.124497991967882,7.63052208835342,22.289156626506035,,32.1285140562249,5.2208835341365445,32.1285140562249,5.2208835341365445,32.1285140562249,1.2048192771084265,38.353413654618485,1.2048192771084265
kr,003540,2023-05-19,0.3016591251885359,1.8099547511312153,3.619909502262453,1.8099547511312153,6.561085972850678,7.843137254901955,19.683257918552034,3.619909502262453,-0.5279034690799378,6.561085972850678,-0.5279034690799378,11.31221719457014,-0.5279034690799378,35.143288084464565,-0.5279034690799378
kr,003540,2023-08-04,0.21489971346704273,1.2177650429799458,2.936962750716332,4.297994269340966,0.7879656160458381,13.753581661891111,20.128939828080238,4.584527220630363,0.21489971346704273,5.730659025787976,0.21489971346704273,13.753581661891111,-0.07163323782235498,28.36676217765044,-0.07163323782235498
kr,005070,2026-02-13,3.0360531309297834,10.815939278937382,-8.918406072106267,4.36432637571158,14.800759013282727,,,10.815939278937382,-8.918406072106267,19.924098671726753,-8.918406072106267,19.924098671726753,-8.918406072106267,19.924098671726753,-8.918406072106267
kr,005440,2023-11-24,-0.7863695937090465,-3.669724770642202,-0.2621231979030192,-9.305373525557014,15.858453473132371,19.003931847968538,25.557011795543904,-0.2621231979030192,-9.305373525557014,30.144167758846653,-9.305373525557014,30.144167758846653,-9.305373525557014,32.89646133682831,-9.305373525557014
kr,005930,2025-06-20,2.184873949579824,6.386554621848739,12.773109243697478,20.336134453781508,33.949579831932766,78.65546218487395,,20.67226890756302,2.184873949579824,33.949579831932766,2.184873949579824,83.0252100840336,2.184873949579824,344.11764705882354,2.184873949579824
kr,005940,2023-05-19,2.5423728813559254,3.495762711864403,2.9661016949152463,3.072033898305082,8.792372881355925,10.169491525423723,36.970338983050844,3.919491525423724,-1.2711864406779627,10.169491525423723,-1.2711864406779627,11.758474576271194,-1.2711864406779627,36.970338983050844,-1.2711864406779627
kr,006360,2024-03-01,-3.1347962382445194,-3.510971786833861,-6.269592476489027,-5.0156739811912265,-6.018808777429463,28.526645768025084,10.15673981191223,-3.1347962382445194,-9.6551724137931,0.8150470219435713,-9.6551724137931,28.526645768025084,-9.6551724137931,28.526645768025084,-9.6551724137931
kr,006360,2024-05-17,-2.633269107257552,-3.7251123956326238,-6.486833654463709,3.0828516377649384,23.956326268465,13.615928066795124,23.314065510597292,3.0828516377649384,-6.486833654463709,23.956326268465,-6.486833654463709,31.663455362877336,-6.486833654463709,31.663455362877336,-6.486833654463709
kr,006400,2024-03-29,-10.721844883371933,-14.861946027532724,-13.269532707037591,-14.861946027532724,-24.840823726372953,-18.47138730580061,-57.66453275040987,-7.006358376488753,-14.861946027532724,-7.006358376488753,-24.840823726372953,-7.006358376488753,-34.182562607888556,-7.006358376488753,-59.363208160928515
kr,006400,2025-08-08,2.752293577981657,-0.917431192660545,-8.486238532110091,-5.275229357798161,40.36697247706422,69.72477064220183,,2.752293577981657,-8.486238532110091,47.706422018348626,-8.486238532110091,78.89908256880733,-8.486238532110091,218.8073394495413,-8.486238532110091
kr,007810,2023-12-29,2.051025512756377,-6.303151575787891,-6.953476738369179,0.30015007503751967,-9.104552276138067,-24.612306153076535,-54.077038519259624,2.051025512756377,-14.957478739369689,2.051025512756377,-14.957478739369689,2.051025512756377,-26.263131565782892,2.051025512756377,-60.030015007503756
kr,007810,2025-02-14,-1.6845329249617125,-6.125574272588052,-8.652373660030632,-24.808575803981626,-21.74578866768759,-6.278713629402755,347.166921898928,-1.6845329249617125,-24.808575803981626,-1.6845329249617125,-24.808575803981626,-1.6845329249617125,-24.808575803981626,441.34762633996934,-24.808575803981626
kr,008770,2025-05-23,2.797927461139893,0.10362694300518616,7.150259067357512,7.9792746113989566,0.0,0.4145077720207224,,7.9792746113989566,0.10362694300518616,7.9792746113989566,-5.077720207253888,13.367875647668392,-10.05181347150259,35.75129533678756,-12.849740932642483
kr,009420,2025-08-29,7.035175879396993,13.90284757118927,2.8475711892797406,9.715242881072017,56.78391959798994,106.7001675041876,,17.0854271356784,2.8475711892797406,56.78391959798994,2.8475711892797406,106.7001675041876,2.8475711892797406,112.0603015075377,2.8475711892797406
kr,010950,2024-03-15,-1.8915510718789386,-1.0088272383354302,-0.8827238335435084,-11.223203026481709,-14.501891551071877,-24.716267339218156,-25.598991172761664,5.296343001261028,-11.349306431273643,5.296343001261028,-15.13240857503153,5.296343001261028,-25.598991172761664,5.296343001261028,-31.525851197982348
kr,011170,2025-10-10,11.773700305810397,16.81957186544343,5.198776758409784,11.46788990825689,2.2935779816513735,41.13149847094802,,30.27522935779816,5.198776758409784,30.27522935779816,2.2935779816513735,46.6360856269113,2.2935779816513735,74.15902140672783,2.2935779816513735
kr,011210,2025-03-21,0.5452562704471031,-6.652126499454747,-6.543075245365326,-7.851690294438384,2.9443838604144013,10.359869138495092,85.1690294438386,0.5452562704471031,-12.75899672846238,2.9443838604144013,-12.75899672846238,14.940021810250826,-12.75899672846238,120.93784078516903,-12.75899672846238
kr,011790,2025-10-31,-13.155987303068429,-9.55352456489682,-12.921044081013754,-17.305817760707832,-8.300494047271911,-1.6904248140032774,,-9.55352456489682,-18.55884827833274,-8.300494047271911,-19.968507610660758,-1.6904248140032774,-25.684626215331296,33.21780569695656,-25.684626215331296
kr,012510,2023-09-15,-2.400000000000002,-7.199999999999996,-13.280000000000003,-8.320000000000006,-5.279999999999996,44.63999999999999,81.76,-2.400000000000002,-13.280000000000003,-2.400000000000002,-13.280000000000003,64.48,-13.280000000000003,140.0,-13.280000000000003
kr,014680,2025-03-14,-2.6181818181818195,-11.781818181818181,-20.872727272727275,-18.472727272727273,8.218181818181813,35.563636363636355,100.0,-2.6181818181818195,-20.872727272727275,8.218181818181813,-20.872727272727275,35.563636363636355,-20.872727272727275,145.8181818181818,-20.872727272727275
kr,018260,2023-06-09,-1.8167456556082096,-4.028436018957349,-9.004739336492895,6.319115323854652,16.271721958925745,30.805687203791464,27.96208530805686,6.319115323854652,-9.004739336492895,16.271721958925745,-9.004739336492895,33.09636650868879,-9.004739336492895,35.62401263823065,-9.004739336492895
kr,018880,2025-12-05,-4.7556142668428,-18.62615587846763,-22.45706737120211,-13.474240422721273,9.379128137384418,,,-4.7556142668428,-25.627476882430646,30.64729194187583,-25.627476882430646,51.387054161162496,-25.627476882430646,51.387054161162496,-25.627476882430646
kr,020150,2024-04-26,-1.538461538461533,0.879120879120876,0.439560439560438,22.637362637362646,-19.12087912087912,-18.351648351648354,-49.34065934065934,22.857142857142865,-1.538461538461533,22.857142857142865,-19.12087912087912,22.857142857142865,-26.26373626373626,22.857142857142865,-51.42857142857142
kr,022100,2025-03-14,0.0,-8.333333333333337,-8.333333333333337,-13.586956521739136,-15.217391304347828,-17.028985507246375,11.594202898550732,0.0,-13.586956521739136,0.0,-26.630434782608692,0.0,-26.630434782608692,52.17391304347827,-26.630434782608692
kr,022100,2025-04-11,-3.9525691699604737,0.5928853754940677,-5.7312252964426875,-10.869565217391308,-4.545454545454541,-17.193675889328063,27.07509881422925,0.5928853754940677,-19.96047430830039,0.5928853754940677,-19.96047430830039,1.976284584980248,-19.96047430830039,66.00790513833992,-19.96047430830039
kr,022100,2025-11-14,-5.973025048169555,-2.1194605009633882,6.743737957610785,4.2389210019267765,48.747591522158,31.984585741811177,,11.753371868978801,-5.973025048169555,61.84971098265897,-5.973025048169555,61.84971098265897,-5.973025048169555,61.84971098265897,-5.973025048169555
kr,023530,2024-11-01,-2.9185867895545337,-4.608294930875578,-12.13517665130568,-15.514592933947768,-17.050691244239637,2.611367127496167,0.0,-2.9185867895545337,-15.514592933947768,-2.9185867895545337,-18.279569892473113,3.840245775729656,-18.279569892473113,23.809523809523814,-18.279569892473113
kr,026960,2024-04-26,-0.31746031746031633,0.31746031746031633,-0.15873015873015817,5.820105820105814,-1.2698412698412653,9.259259259259256,38.35978835978835,5.820105820105814,-1.4285714285714235,5.820105820105814,-1.4285714285714235,9.259259259259256,-5.502645502645498,58.20105820105821,-5.502645502645498
kr,028050,2025-04-04,0.6770833333333393,0.5208333333333259,-0.7291666666666696,13.28125,24.479166666666675,41.40625,111.19791666666666,13.28125,-1.3541666666666674,24.479166666666675,-1.3541666666666674,51.5625,-1.3541666666666674,111.19791666666666,-1.3541666666666674
kr,028670,2024-03-01,-5.858170606372049,-8.530318602261044,-15.00513874614594,-16.341212744090438,-11.51079136690647,-23.843782117163414,-22.302158273381288,-5.858170606372049,-17.47173689619733,-1.0277492291880796,-17.47173689619733,-1.0277492291880796,-24.76875642343268,-1.0277492291880796,-32.47687564234327
kr,028670,2025-03-07,-8.491761723700886,-9.125475285171103,-15.08238276299113,-15.969581749049432,-6.590621039290245,0.7604562737642651,33.07984790874525,-8.491761723700886,-16.60329531051965,-6.083650190114065,-16.60329531051965,8.871989860583017,-16.60329531051965,35.6147021546261,-16.60329531051965
