symbol,pass_gate,bar_dt,close,ma20w,slope_4w,n_weeks,reason
FOGOUSDT,False,,,,,19,insufficient (<24w)
FOLKSUSDT,False,2026-05-18,1.346,1.5203200000000001,-0.5168226333662269,29,below MA20 + slope<0
FORMUSDT,False,2026-05-18,0.2232,0.25888500000000003,-0.04641140394496934,62,below MA20 + slope<0
FRAXUSDT,False,,,,,19,insufficient (<24w)
FUSDT,False,2026-05-18,0.005285,0.00566795,-0.05608892959740219,49,below MA20 + slope<0
FUTUUSDT,False,2026-05-18,90.32,148.675,-0.048699179708994955,30,below MA20 + slope<0
GALAUSDT,False,2026-05-18,0.003172,0.00392895,-0.14128819338199938,233,below MA20 + slope<0
GASUSDT,False,2026-05-18,1.536,1.6790500000000002,-0.044174992172601124,97,below MA20 + slope<0
GENIUSUSDT,False,,,,,6,insufficient (<24w)
GIGGLEUSDT,False,2026-05-18,30.17,33.839000000000006,-0.18078268553375376,32,below MA20 + slope<0
GLMUSDT,False,2026-05-18,0.139,0.16121000000000002,-0.08257455042112438,108,below MA20 + slope<0
GMEUSDT,False,2026-05-18,22.19,23.665,0.022003411716438936,37,below MA20
GMTUSDT,False,2026-05-18,0.01179,0.012225499999999999,-0.07023347783101386,217,below MA20 + slope<0
GMXUSDT,False,2026-05-18,6.711,6.6247,-0.03482086921048411,170,slope<0
GOATUSDT,False,2026-05-18,0.01691,0.021155,-0.14127986036410867,83,below MA20 + slope<0
GPSUSDT,False,2026-05-18,0.006739,0.00815365,0.05626121370322634,66,below MA20
GRASSUSDT,True,2026-05-18,0.5189,0.30362,0.049625775672826,82,pass
GRIFFAINUSDT,False,2026-05-18,0.01136,0.0127945,-0.06312012594735117,73,below MA20 + slope<0
GRTUSDT,False,2026-05-18,0.02582,0.0276495,-0.08548323079976183,197,below MA20 + slope<0
GUNUSDT,False,2026-05-18,0.01137,0.0202935,-0.0041466287172441385,60,below MA20 + slope<0
GUSDT,False,2026-05-18,0.003501,0.0038088500000000003,-0.05088399097942953,93,below MA20 + slope<0
GWEIUSDT,False,,,,,17,insufficient (<24w)
HAEDALUSDT,False,2026-05-18,0.02826,0.0313065,-0.05978016037480849,56,below MA20 + slope<0
HBARUSDT,False,2026-05-18,0.08839,0.0945095,-0.05375531270493661,167,below MA20 + slope<0
HFTUSDT,False,2026-05-18,0.0116,0.016906499999999998,-0.14950826269587758,47,below MA20 + slope<0
HIVEUSDT,False,2026-05-18,0.05994,0.06877150000000001,-0.09259259259259234,74,below MA20 + slope<0
HOLOUSDT,True,2026-05-18,0.07141,0.063478,0.003374720419824895,37,pass
HOMEUSDT,False,2026-05-18,0.023,0.0226535,-0.025886349465717884,50,slope<0
HOTUSDT,False,2026-05-18,0.0003884,0.00041766,-0.03781604561423724,164,below MA20 + slope<0
HUMAUSDT,False,2026-05-18,0.0254,0.019072,-0.06740666487371971,52,slope<0
HUSDT,True,2026-05-18,0.22656,0.150569,0.12718221290612375,48,pass
HYPERUSDT,False,2026-05-18,0.1001,0.10350999999999999,-0.03814523997583974,57,below MA20 + slope<0
HYPEUSDT,True,2026-05-18,62.804,36.1579,0.1370533952417714,75,pass
ICNTUSDT,False,2026-05-18,0.2969,0.36469999999999997,-0.050606549695423664,47,below MA20 + slope<0
ICPUSDT,False,2026-05-18,2.555,2.6114,-0.030012629076591635,261,below MA20 + slope<0
ICXUSDT,False,2026-05-18,0.03672,0.039912500000000004,-0.0896494309239787,164,below MA20 + slope<0
IDOLUSDT,False,2026-05-18,0.02585,0.024890000000000002,-0.023327905197276677,50,slope<0
IDUSDT,False,2026-05-18,0.0308,0.043539999999999995,-0.13601682723313058,166,below MA20 + slope<0
ILVUSDT,False,2026-05-18,4.248,4.3476,-0.059876743431722224,42,below MA20 + slope<0
IMXUSDT,False,2026-05-18,0.1643,0.17519,-0.07990861584517206,203,below MA20 + slope<0
INDAUSDT,False,,,,,7,insufficient (<24w)
INFQUSDT,False,,,,,2,insufficient (<24w)
INITUSDT,False,2026-05-18,0.08123,0.0856715,0.002416193763528973,57,below MA20
INJUSDT,False,2026-05-18,5.13,3.63305,-0.02613555641929477,167,slope<0
INUSDT,False,2026-05-18,0.07511,0.063775,-0.019125325868791343,42,slope<0
INXUSDT,False,,,,,17,insufficient (<24w)
IONQUSDT,False,,,,,5,insufficient (<24w)
IOSTUSDT,False,2026-05-18,0.001047,0.0011994,-0.08543978039574518,216,below MA20 + slope<0
IOTAUSDT,False,2026-05-18,0.05622,0.06532049999999999,-0.09698490378234914,219,below MA20 + slope<0
IOTXUSDT,False,2026-05-18,0.00422,0.005384999999999999,-0.10122673787866165,159,below MA20 + slope<0
IOUSDT,False,2026-05-18,0.1433,0.12189000000000001,-0.03682338996444079,102,slope<0
IPUSDT,False,2026-05-18,0.4907,0.9892800000000002,-0.20075619864756755,67,below MA20 + slope<0
IRYSUSDT,False,2026-05-18,0.03273,0.032762,0.030478407196552704,26,below MA20
JASMYUSDT,False,2026-05-18,0.005463,0.005965099999999999,-0.009456912513180926,192,below MA20 + slope<0
JCTUSDT,True,2026-05-18,0.003673,0.00249185,0.09143270115194246,28,pass
JOBYUSDT,False,,,,,0,insufficient (<24w)
JOEUSDT,False,2026-05-18,0.0417,0.04379,-0.08129654883037862,165,below MA20 + slope<0
JSTUSDT,True,2026-05-18,0.0929,0.060482999999999995,0.1890186364708657,56,pass
