symbol,last_close,1d_MA10,1d_MA20,4h_MA10,4h_MA20,1h_MA10,1h_MA20
SAHARAUSDT,0.033,-7.5104311543810915,-10.712037930600449,-2.0073642950469095,-3.6875975892713853,0.47803184849131153,1.3918333486957257
SKYAIUSDT,0.2039,-25.534993270524897,-43.07811808763466,-10.665778728027886,-23.37351933136913,-6.909854589449182,-6.931099801446939
SPKUSDT,0.02562,-7.558222603229037,-18.109040280985976,-1.1879049676025932,-3.6171773601941237,-0.13642564802183177,-0.6283453572259678
STABLEUSDT,0.03789,5.648505648505631,4.1296687808315635,2.2203037742466236,2.455248499269902,0.8866522885214501,2.0441140825725013
TACUSDT,0.017977,-5.929332438669144,-11.036820355666999,1.6844653604235482,1.9907977374461705,1.5116351295646924,2.5727343790118873
TAGUSDT,0.0014121,8.458532148280607,7.71992818671452,-1.146673387096775,-5.350470030329935,0.2983166418069505,0.46636713872554303
TAOUSDT,274.87,2.6197328610434445,-3.172348484848475,-1.603018457264782,-1.1618081200714836,-0.3920971763205161,-0.845734981395263
TONUSDT,1.8884,0.47514676698119374,-8.204590480563711,-1.5622637968692232,0.3389974601757606,-0.1781400487374185,-1.2918721561432478
TRXUSDT,0.37039,3.4947533220690996,5.2255463682642,-0.8546962790062729,-0.14194569397694146,-0.5482880096232323,-0.8003942380185092
UAIUSDT,0.26038,-0.6209237217886243,-2.0536515998751503,0.981973876082054,-2.609983617471723,-0.06486303919799319,1.3867770429310866
UBUSDT,0.21212,43.73388633561262,34.865880233892014,2.437304718625821,9.955446583849326,-1.2076585954273855,0.2720467797555859
VIRTUALUSDT,0.7847,7.524120969703518,0.8536500351726595,-2.197350217491545,0.4049722661173094,-1.924759405074361,-1.9364030017683387
VVVUSDT,17.761,-0.8927723430525059,5.931692584908421,2.0934884576473634,-1.3978948303428829,1.8114072800229142,2.7410533257361536
ZBTUSDT,0.13811,-11.938409618224,-15.33828249511262,0.049985149339693,-2.330531697847682,0.6339259691052535,1.8660569405517302
ZECUSDT,557.23,-6.858047956704983,-2.939600110606244,-4.5428771612456735,-10.166864287850375,-2.2497829156835847,-2.42881731952842
