symbol,ts,i,close,body_pct,wick,p168_cum_ret_pct,breakout_pct,burst_count,fwd_t+24h_pct,fwd_t+72h_pct,fwd_t+168h_pct,close_now,change_now_pct,ts_kst
APRUSDT,2026-05-29 14:00:00+00:00,5235,0.18919,6.874929386509991,0.9143501126972199,5.286882965106578,2.7648017381857595,1,-1.7337068555420505,-7.775252391775464,,0.2299,21.51805063692584,2026-05-29 23:00
NBISUSDT,2026-05-27 21:00:00+00:00,856,234.95,12.276593711172703,0.962172284644194,20.796915167095108,4.804175216344001,1,-2.6431155565013746,-0.2468610342626023,5.371355607576082,243.62,3.690146839753146,2026-05-28 06:00
RIVERUSDT,2026-05-27 19:00:00+00:00,5332,7.305,5.350447072396879,0.9298245614035076,17.708669029970984,3.6023259112182604,1,-8.008213552361395,-8.624229979466119,-28.555783709787807,5.054,-30.81451060917179,2026-05-28 04:00
ARUSDT,2026-05-27 15:00:00+00:00,38646,2.366,5.766651765757711,0.9214285714285736,6.720793865584124,4.275011018069633,1,-12.510566356720213,-0.8453085376162307,8.072696534234987,2.349,-0.7185122569737914,2026-05-28 00:00
XLMUSDT,2026-05-27 14:00:00+00:00,45484,0.16006,5.761860710981899,0.9336188436830853,11.175939431826091,4.382418155732362,1,21.885542921404475,56.14769461451956,42.10296138947895,0.20127,25.74659502686492,2026-05-27 23:00
WLDUSDT,2026-05-26 06:00:00+00:00,24862,0.3615,5.5166374781085725,0.9356435643564345,45.59001208215868,5.5166374781085725,1,1.7427385892116258,-16.56984785615491,26.639004149377595,0.509,40.80221300138313,2026-05-26 15:00
DRIFTUSDT,2026-05-25 08:00:00+00:00,13505,0.0326,6.535947712418295,0.952380952380951,16.8458781362007,6.535947712418295,1,34.294478527607374,-9.785276073619627,-35.30674846625766,0.01764,-45.889570552147234,2026-05-25 17:00
NEARUSDT,2026-05-23 16:00:00+00:00,38696,2.4004,6.254703200389525,0.9127906976744181,61.025021801838065,3.742760826346261,1,1.0706548908515272,14.076820529911696,-2.249625062489578,2.6969,12.352107982003,2026-05-24 01:00
BANUSDT,2026-05-23 06:00:00+00:00,13219,0.087,5.492906511458703,0.9207317073170728,15.87639850825786,5.492906511458703,1,11.172413793103457,14.20689655172415,-21.31034482758621,0.07311,-15.965517241379313,2026-05-23 15:00
OPGUSDT,2026-05-22 01:00:00+00:00,694,0.3028,23.54141166870665,0.9914089347079038,6.394940267041458,3.0983997276132094,1,-28.20343461030383,-25.69352708058124,-40.35667107001321,0.1718,-43.26287978863937,2026-05-22 10:00
