Symbol,entry_date,entry_close,exit_date,exit_close,bars_held,ret_pct,exit_reason,close_ma_atr,gap_in_atr,Name,entry_month,cma_bucket
004090,2025-09-11,14010,2025-09-25,14420,10,2.9264810849393363,TIMEOUT,0.8422330097087378,0.055825242718446605,한국석유,2025-09,0.5~1.0
004090,2025-09-18,14080,2025-09-30,14030,8,-0.35511363636363535,STOP,0.6953781512605042,0.3382352941176471,한국석유,2025-09,0.5~1.0
004090,2025-09-24,14220,2025-09-30,14030,4,-1.336146272855132,STOP,0.9442379182156134,0.4795539033457249,한국석유,2025-09,0.5~1.0
004090,2025-10-02,14350,2025-10-10,14050,1,-2.0905923344947785,STOP,0.8069073783359497,0.3076923076923077,한국석유,2025-10,0.5~1.0
004090,2025-11-24,13990,2025-11-25,13940,1,-0.3573981415296634,STOP,0.016786570743405275,0.11750599520383694,한국석유,2025-11,≤0.5
004090,2025-11-26,13990,2025-12-08,14050,8,0.42887776983560055,STOP,0.1016949152542373,0.1694915254237288,한국석유,2025-11,≤0.5
004090,2025-12-04,14180,2025-12-08,14050,2,-0.9167842031029605,STOP,0.6498800959232613,0.18465227817745802,한국석유,2025-12,0.5~1.0
004090,2026-02-02,14400,2026-02-03,14220,1,-1.2499999999999956,STOP,0.1436893203883495,0.1650485436893204,한국석유,2026-02,≤0.5
004090,2026-02-04,14630,2026-02-23,19030,10,30.075187969924812,TIMEOUT,0.5265748031496063,0.27460629921259844,한국석유,2026-02,0.5~1.0
004090,2026-02-13,15190,2026-03-05,28150,10,85.31928900592496,TIMEOUT,0.9210963455149501,0.44601328903654486,한국석유,2026-02,0.5~1.0
004100,2026-01-26,2290,2026-02-09,2330,10,1.7467248908296984,TIMEOUT,0.5249406175771971,0.0498812351543943,태양금속,2026-01,0.5~1.0
004100,2026-02-09,2330,2026-02-26,3025,10,29.828326180257502,TIMEOUT,0.24742268041237114,0.4948453608247423,태양금속,2026-02,≤0.5
004100,2026-03-17,2995,2026-03-31,3015,10,0.6677796327211993,TIMEOUT,0.6929936305732484,0.20382165605095542,태양금속,2026-03,0.5~1.0
004100,2026-06-08,2835,2026-06-09,3065,1,8.112874779541457,T_star,0.19083255378858746,0.009354536950420954,태양금속,2026-06,≤0.5
004105,2026-02-05,3425,2026-02-24,3970,10,15.912408759124098,TIMEOUT,0.9213893967093236,0.13528336380255943,태양금속우,2026-02,0.5~1.0
004105,2026-03-11,3810,2026-03-13,4030,2,5.774278215223094,STOP,0.5458937198067633,0.21739130434782608,태양금속우,2026-03,0.5~1.0
004105,2026-03-20,3850,2026-03-23,3790,1,-1.558441558441559,STOP,0.15531062124248496,0.021042084168336674,태양금속우,2026-03,≤0.5
004105,2026-03-25,3840,2026-04-01,3685,5,-4.0364583333333375,STOP,0.1839572192513369,0.23529411764705882,태양금속우,2026-03,≤0.5
004140,2025-09-15,3165,2025-09-22,3060,5,-3.3175355450236976,STOP,0.558961413631446,0.3317706455102777,동방,2025-09,0.5~1.0
004140,2026-03-30,2780,2026-04-02,2680,3,-3.597122302158273,STOP,0.2159383033419023,0.2982005141388175,동방,2026-03,≤0.5
004140,2026-04-03,2770,2026-04-06,2740,1,-1.0830324909747335,STOP,0.07374631268436578,0.20353982300884957,동방,2026-04,≤0.5
004140,2026-04-16,2890,2026-04-30,2915,10,0.865051903114189,TIMEOUT,0.4105483967635601,0.08091099790230746,동방,2026-04,≤0.5
004140,2026-04-27,2960,2026-05-06,2830,5,-4.3918918918918965,STOP,0.6667815299793246,0.47036526533425227,동방,2026-04,0.5~1.0
004150,2026-03-25,3435,2026-03-30,3250,3,-5.385735080058229,STOP,0.7667304015296367,0.16252390057361377,한솔홀딩스,2026-03,0.5~1.0
004150,2026-04-17,3430,2026-04-24,3275,5,-4.518950437317781,STOP,0.9523809523809523,0.14577259475218657,한솔홀딩스,2026-04,0.5~1.0
004150,2026-04-29,3355,2026-05-06,3400,3,1.3412816691505292,STOP,0.2204531537048377,0.47152480097979177,한솔홀딩스,2026-04,≤0.5
004150,2026-06-01,4035,2026-06-02,3790,1,-6.0718711276332105,STOP,0.8401332223147377,0.4338051623646961,한솔홀딩스,2026-06,0.5~1.0
004150,2026-06-04,3915,2026-06-05,3655,1,-6.641123882503197,STOP,0.2555640828856485,0.37989255564082886,한솔홀딩스,2026-06,≤0.5
004170,2026-04-15,345500,2026-04-29,406500,10,17.65557163531115,TIMEOUT,0.9663526244952894,0.126514131897712,신세계,2026-04,0.5~1.0
004250,2026-04-08,3925,2026-04-22,3975,10,1.273885350318471,TIMEOUT,0.4239316239316239,0.49230769230769234,NPC,2026-04,≤0.5
004250,2026-04-29,3965,2026-04-30,3925,1,-1.0088272383354302,STOP,0.16666666666666666,0.1111111111111111,NPC,2026-04,≤0.5
004255,2025-12-15,2525,2025-12-29,2520,9,-0.1980198019801982,STOP,0.5311004784688995,0.06220095693779904,NPC우,2025-12,0.5~1.0
004255,2025-12-23,2565,2025-12-29,2520,3,-1.7543859649122862,STOP,0.9320388349514563,0.3300970873786408,NPC우,2025-12,0.5~1.0
004310,2025-09-16,3995,2025-09-24,3945,6,-1.251564455569465,STOP,0.46830265848670755,0.12474437627811862,현대약품,2025-09,≤0.5
004310,2026-02-06,11880,2026-02-10,12580,2,5.892255892255882,T_star,0.29331103678929765,0.18896321070234115,현대약품,2026-02,≤0.5
004310,2026-02-20,13370,2026-02-27,11920,5,-10.845175766641734,STOP,0.6759704844401668,0.40391401989092074,현대약품,2026-02,0.5~1.0
004360,2025-09-01,13810,2025-09-15,14860,10,7.603186097031145,TIMEOUT,1.0,0.026717557251908396,세방,2025-09,0.5~1.0
