이격_측정시점_일전,과거_이격_이하_pct,현재_근접_이내_pct,보유기간_일,표본수_중복제거,표본수_원본,윈율,평균_숏수익_capped,평균_숏수익_raw,중위_숏수익,p25_숏수익,p75_숏수익,표준편차,최대손실,Sharpe_like
20,0.5,0.08,10,33,78,0.696969696969697,0.04041154335333135,0.04041154335333135,0.027411592383343897,-0.054281126340540276,0.1674924158116987,0.17961578859839541,-0.3283842794759826,0.2249888145617749
20,0.5,0.08,20,33,78,0.696969696969697,0.027347718393387697,0.02446092090306598,0.06026365348399254,-0.01748878923766828,0.22476862053768187,0.3153101735784997,-1.0952643171806167,0.07757732846186195
20,0.5,0.08,40,32,71,0.8125,0.1750124369338492,0.15328714783693292,0.2508589623711412,0.06340660708282284,0.35586790744305863,0.40935790729952753,-1.6952092511013213,0.37445752263134513
20,0.5,0.08,60,31,70,0.8387096774193549,0.18847628667380859,0.16114752441716515,0.1898517227598765,0.06520205115208261,0.36234654468833544,0.4207829747158855,-1.847191629955947,0.3829706383105749
30,0.2,0.03,10,745,2500,0.6630872483221476,0.03854717663250828,0.03785476430798283,0.06272727272727274,-0.04082170134316576,0.13998744507219085,0.1648005497068601,-1.5158471817714583,0.22970047354403375
30,0.2,0.03,20,657,2254,0.6940639269406392,0.04025318837794134,0.035033938769542715,0.07438151041666674,-0.045278592375366467,0.17745477360660888,0.2722741234166438,-4.3467534692479015,0.12867156940923286
30,0.2,0.03,40,569,1956,0.6502636203866432,0.049630375283221576,0.03511774015509999,0.09758833426808744,-0.09057388039688918,0.26184241847179246,0.3858908685211884,-3.8798759394011686,0.09100433054992528
30,0.2,0.03,60,549,1899,0.604735883424408,-0.006833898004960508,-0.04394682016309634,0.08173631955668448,-0.1764433779525283,0.223549621300851,0.5859383612937895,-8.679470356674221,-0.07500246282912582
30,0.2,0.05,10,930,4248,0.6602150537634408,0.03442030783037852,0.03409266088316782,0.05799687819749838,-0.03833201138627701,0.13684716158036384,0.16627411948839593,-1.3047116609059488,0.205038889925062
30,0.2,0.05,20,825,3810,0.68,0.02848483495486438,0.025456799048640646,0.0708604483007953,-0.053259871441689643,0.16559837116356235,0.2553311689097391,-2.7937056576314356,0.09970110252242552
30,0.2,0.05,40,715,3256,0.6307692307692307,0.037348328934560436,0.025470658206658434,0.08995257854179017,-0.1118637211506428,0.24445666266512323,0.3747196741373727,-3.8798759394011686,0.06797256713380055
30,0.2,0.05,60,687,3157,0.5895196506550219,-0.011296458498089731,-0.04966545595358824,0.0755919854280509,-0.18314037181400178,0.22942291622828415,0.5764059981844739,-8.679470356674221,-0.08616401652658241
30,0.2,0.08,10,1203,7058,0.6367414796342478,0.02645573598025345,0.025963927777873715,0.049733291496705245,-0.045874614957077786,0.13216645231424062,0.17219327148621616,-1.3048087845513066,0.15078363721054044
30,0.2,0.08,20,1079,6326,0.6617238183503243,0.024054128770039995,0.022010880959607727,0.06377799415774099,-0.05835913822828953,0.15835635965391248,0.24283126447406103,-2.2234002271866715,0.09064269795440161
30,0.2,0.08,40,943,5348,0.6065747613997879,0.021999734011901428,0.011734199392104936,0.07509254362771023,-0.12005716026723634,0.22064437584539676,0.37216068352737486,-4.291772501380453,0.031529927559480656
30,0.2,0.08,60,894,5149,0.5715883668903803,-0.026193673058420627,-0.06864327383326117,0.05270323964766671,-0.23235281464160268,0.21940296437697968,0.7392436337980742,-17.176918829376035,-0.09285609059706994
30,0.3,0.03,10,369,990,0.7046070460704607,0.051122101672489394,0.051122101672489394,0.08217391304347832,-0.024346431435444904,0.15372507869884577,0.1676251123145712,-0.9109042553191491,0.30497877654841987
30,0.3,0.03,20,335,914,0.7343283582089553,0.07063644497646913,0.07063644497646913,0.10721721027064535,-0.014102514146968614,0.21746618775937032,0.22089506957077476,-0.9518540669856461,0.3197737510109397
30,0.3,0.03,40,289,800,0.7231833910034602,0.1225159578780228,0.1157781001054888,0.179935572940635,-0.02600234859922823,0.3231801755291689,0.3178044525634613,-2.6759377392191888,0.36430609820474263
30,0.3,0.03,60,277,773,0.7220216606498195,0.06891532134527158,0.06115852150988642,0.13495897903372844,-0.04937479961526137,0.26343960902955554,0.35724231563280673,-2.0311303904057154,0.17119618486839197
30,0.3,0.05,10,460,1682,0.7065217391304348,0.05085939718043584,0.05085939718043584,0.08089807004965188,-0.024387144531490823,0.15756698131197552,0.1694445985809432,-0.8721117678667383,0.30015354638844066
30,0.3,0.05,20,416,1554,0.7235576923076923,0.06739631346419461,0.06739631346419461,0.10558650732524438,-0.04242417623603373,0.21761461968369958,0.21654989544804662,-0.9518540669856461,0.31122764259363933
30,0.3,0.05,40,358,1354,0.7374301675977654,0.11964071395708355,0.11449674863737384,0.16636101122371144,-0.011022077135676545,0.32301714004212034,0.30819538069351315,-2.6759377392191888,0.37150702382277384
30,0.3,0.05,60,344,1309,0.7122093023255814,0.07008379032950905,0.057108913179561994,0.13433613134062578,-0.056538129893422495,0.258971106430564,0.3780996671919425,-2.4669532509403544,0.15104195569304912
