asset,symbol,entry_dt,entry_close,+1w_%,+2w_%,+3w_%,+4w_%,+5w_%,+6w_%,+7w_%,+8w_%
kr,365550,2023-05-19,4181.0,-1.1,0.6,1.2,-3.8,-4.9,-4.6,-7.6,-4.6
kr,365550,2024-02-02,3828.0,0.1,0.8,1.3,3.5,9.1,7.9,14.3,13.2
kr,373220,2024-03-22,413500.0,-4.5,-9.1,-10.2,-11.2,-10.0,-5.4,-7.3,-8.9
kr,373220,2024-08-30,388000.0,1.8,3.0,1.4,6.8,4.0,5.9,0.1,4.9
kr,373220,2025-07-25,363500.0,2.6,4.1,8.4,1.1,-3.2,-5.6,-2.2,-3.9
kr,375500,2023-06-02,36750.0,1.2,2.9,-3.1,-5.4,-16.1,-13.7,-14.3,-17.4
kr,375500,2023-11-10,37100.0,-1.1,2.8,2.3,2.4,1.5,-1.1,-2.8,-0.4
kr,377300,2023-12-15,49650.0,-4.2,-0.7,-7.2,13.0,4.7,3.5,-1.7,-3.8
kr,377300,2023-12-29,49300.0,-6.5,13.8,5.5,4.3,-1.0,-3.1,0.2,-5.1
kr,377300,2024-12-06,30350.0,10.2,-12.0,-12.5,-10.7,-9.7,-15.3,-14.8,-11.0
kr,377300,2025-05-23,30800.0,22.9,23.7,96.1,158.4,173.4,156.8,158.4,91.2
kr,383220,2024-10-04,69800.0,-9.2,-11.9,-18.1,-11.9,-15.8,-26.4,-26.9,-23.4
kr,383220,2025-01-03,59400.0,-3.0,5.9,5.2,8.2,12.8,19.4,23.7,19.4
kr,383220,2025-01-17,62900.0,-0.6,2.2,6.5,12.7,16.9,12.7,15.9,6.8
kr,395400,2024-03-08,4175.0,-2.5,-1.2,-1.8,0.4,-1.9,-3.7,-2.2,0.1
kr,450080,2025-10-17,65800.0,3.0,-4.3,-8.1,-4.4,-15.2,-11.9,-8.8,-5.3
kr,450080,2026-01-30,67500.0,-6.7,-2.5,-0.7,6.5,4.9,-5.9,-7.4,8.7
kr,456040,2025-10-10,56800.0,3.3,10.2,4.0,2.1,6.2,2.5,4.9,7.0
