symbol,combo,tf,ma_len,window,last_date,close,ma,px_vs_ma_pct,ma_slope_last3_pct,verdict,a_pct,b_pct,vertex_pos,r2
RESOLVUSDT,1d_MA20,1d,20,10,2026-06-26,0.02143,0.018649,14.91232773875275,2.287187362878451,pass,0.19812866041385088,-1.900015587070205,0.5327670478537238,0.9785039160483634
RESOLVUSDT,1w_MA10,1w,10,10,2026-06-22,0.02143,0.024716999999999996,-13.298539466763748,-10.15593762495003,vertex_out,0.7101439448539013,-15.28979392165119,1.1961419960034203,0.9890283863471039
RESOLVUSDT,1w_MA20,1w,20,10,2026-06-22,0.02143,0.0399185,-46.31561807182134,-11.408375685212723,low_a,-0.11818073714648901,-4.262542424886436,-2.003777588560473,0.9977659001830883
REZUSDT,1d_MA20,1d,20,10,2026-06-26,0.002994,0.0031809499999999997,-5.877175057765749,-0.9867243552830307,low_a,0.05324257260942859,-1.4241279670701346,1.4859954452834687,0.9988241493535793
REZUSDT,1w_MA10,1w,10,10,2026-06-22,0.002994,0.0042453,-29.474948766871588,-2.193295703260001,low_a,-0.6386772771841787,7.687473040822487,0.6686974014234258,0.9598068886653671
REZUSDT,1w_MA20,1w,20,10,2026-06-22,0.002994,0.0037938499999999992,-21.08280506609379,-0.6416384040227041,low_r2,-0.17883269162310167,0.9739499060875231,0.30256396425553644,0.7547618928142151
REZUSDT,1M_MA10,1M,10,10,2026-06-01,0.002994,0.005324799999999999,-43.7725360576923,-25.161979452151073,vertex_out,1.1149903135177952,-22.20424096359955,1.1063494700059646,0.9936340955655557
RGTIUSDT,1d_MA20,1d,20,10,2026-06-26,18.214,20.74705,-12.209205646103916,-0.9209690590690545,low_a,0.042704445976768306,-1.2077440484065907,1.5711921801923243,0.9983406619272448
RIVERUSDT,1d_MA20,1d,20,10,2026-06-26,3.818,4.713,-18.990027583280288,-2.3647493862838376,low_a,0.09423293523682902,-2.1752916345825883,1.2824553851672515,0.9868834129589582
RIVERUSDT,1w_MA10,1w,10,10,2026-06-22,3.818,5.8164,-34.35802214428168,-8.973676797395846,vertex_out,0.27714319556635014,-13.260600675138823,2.6581927656648556,0.9545313357641424
RIVERUSDT,1w_MA20,1w,20,10,2026-06-22,3.818,9.967099999999999,-61.693973171734996,-8.9400812194799,low_a,-0.9373171390975541,3.1648675921673,0.18758429778837976,0.931075651484785
RKLBUSDT,1d_MA20,1d,20,10,2026-06-26,82.21,103.1185,-20.27618710512663,-2.2480803867665267,low_a,0.04668293756295841,-1.6606578373351566,1.9762845604224946,0.9939516269881711
ROBOUSDT,1d_MA20,1d,20,10,2026-06-26,0.01689,0.019513999999999997,-13.446756175053798,-1.806471091430606,low_a,-0.08662903536318492,0.5633489398551146,0.3612779848473832,0.9128424389638081
ROSEUSDT,1d_MA20,1d,20,10,2026-06-26,0.00594,0.006472500000000001,-8.22711471610662,-0.895728066146062,vertex_out,0.10318646506349688,-2.2522351947669206,1.212602616147909,0.9978069006550859
ROSEUSDT,1w_MA10,1w,10,10,2026-06-22,0.00594,0.008551,-30.53444041632557,-9.426967482258242,low_a,-0.233197824856352,-0.5282595286383126,-0.12584916522740017,0.9947512327425597
ROSEUSDT,1w_MA20,1w,20,10,2026-06-22,0.00594,0.0098785,-39.869413372475584,-9.041940978776298,low_a,-0.3770349189597738,1.182221197516501,0.17419860101761747,0.9911426954010051
ROSEUSDT,1M_MA10,1M,10,10,2026-06-01,0.00594,0.012823000000000001,-53.67698666458707,-20.99199014171288,vertex_out,1.0563966666010571,-20.2457334082104,1.0647165053461505,0.9755563761374252
ROSEUSDT,1M_MA20,1M,20,10,2026-06-01,0.00594,0.0288695,-79.42465231472661,-18.018145934203233,vertex_out,0.5026394531525381,-13.535475183115256,1.4960442098010147,0.9981326011892365
RPLUSDT,1d_MA20,1d,20,10,2026-06-26,1.326,1.3485,-1.6685205784204626,0.2266899550336321,low_a,0.06803980415086662,-1.3475013278270755,1.1002557372635893,0.9867023382064951
RPLUSDT,1w_MA10,1w,10,10,2026-06-22,1.326,1.6329,-18.79478228917876,-5.1080892608089234,low_a,-0.14835381512237,0.10252044105016136,0.0383918678036307,0.9789706912821655
RPLUSDT,1w_MA20,1w,20,10,2026-06-22,1.326,1.7277,-23.250564334085777,-1.8770410336504173,low_a,-0.08896470760877549,-0.23551050900819306,-0.14706862438820897,0.9672215963680116
RPLUSDT,1M_MA10,1M,10,10,2026-06-01,1.326,2.2563,-41.23121925275893,-33.428731596494856,vertex_out,0.23248809342504814,-11.824512686686422,2.8255957619367837,0.9781181655884912
