eval_date,next_date,bucket,Symbol,Name,today_ret_pct,next_ret_pct
2026-05-13,2026-05-14,B,000215,DL우,-1.1111111111111112,-0.18726591760299627
2026-05-13,2026-05-14,A,097230,HJ중공업,-3.346456692913386,0.6109979633401221
2026-05-13,2026-05-14,A,031440,신세계푸드,-0.7692307692307693,9.883720930232558
2026-05-13,2026-05-14,B,034830,한국토지신탁,-2.0931802835921673,4.482758620689655
2026-05-13,2026-05-14,B,336370,솔루스첨단소재,-2.9084687767322497,6.255506607929516
2026-05-13,2026-05-14,B,017960,한국카본,-0.5747126436781609,-5.317919075144509
2026-05-13,2026-05-14,A,034590,인천도시가스,-0.18867924528301888,0.5671077504725899
2026-05-13,2026-05-14,A,071055,한국금융지주우,-0.3462204270051933,1.6213086276780544
2026-05-13,2026-05-14,A,123700,SJM,-1.3458950201884252,2.046384720327422
2026-05-13,2026-05-14,B,002380,KCC,-1.549053356282272,0.8741258741258742
2026-05-13,2026-05-14,B,001515,SK증권우,-10.51051051051051,-4.138702460850112
2026-05-13,2026-05-14,A,002100,경농,-0.7077856420626896,-0.30549898167006106
2026-05-13,2026-05-14,B,023590,다우기술,-2.2598870056497176,2.5433526011560694
2026-05-13,2026-05-14,B,018260,삼성에스디에스,0.0,2.007808142777468
2026-05-13,2026-05-14,A,001390,KG케미칼,-3.5523978685612785,2.394106813996317
2026-05-13,2026-05-14,B,003000,부광약품,-3.9408866995073892,0.8547008547008548
2026-05-13,2026-05-14,B,451800,한화리츠,-4.021937842778794,2.4761904761904763
2026-05-13,2026-05-14,B,404990,신한서부티엔디리츠,-3.785103785103785,-0.6345177664974619
2026-05-13,2026-05-14,A,00104K,CJ4우(전환),-2.3783185840707963,5.099150141643059
2026-05-13,2026-05-14,B,133820,화인베스틸,-3.3093525179856114,0.0744047619047619
2026-05-13,2026-05-14,B,002220,한일철강,0.0,1.5940488841657812
2026-05-13,2026-05-14,B,034310,NICE,-1.2715033657442034,0.22727272727272727
2026-05-13,2026-05-14,A,004980,성신양회,-1.5414258188824663,0.3913894324853229
2026-05-13,2026-05-14,A,008775,호텔신라우,-1.342281879194631,8.843537414965986
2026-05-13,2026-05-14,B,025000,KPX케미칼,-1.5384615384615385,1.5625
2026-05-13,2026-05-14,B,010140,삼성중공업,-1.1146496815286624,-2.898550724637681
2026-05-13,2026-05-14,B,014440,영보화학,-0.10615711252653928,0.4250797024442083
2026-05-13,2026-05-14,B,088790,진도,-2.88659793814433,3.6093418259023355
2026-05-13,2026-05-14,A,271560,오리온,-0.9345794392523363,3.9187227866473147
2026-05-13,2026-05-14,B,089860,롯데렌탈,-2.0155038759689923,4.113924050632911
2026-05-13,2026-05-14,A,00088K,한화3우B,-3.8910505836575875,1.214574898785425
2026-05-13,2026-05-14,B,004100,태양금속,-4.856115107913669,2.6465028355387523
2026-05-13,2026-05-14,B,078930,GS,-5.6430446194225725,3.8942976356050067
2026-05-13,2026-05-14,B,214390,경보제약,-0.3139717425431711,0.7874015748031495
2026-05-13,2026-05-14,A,000680,LS네트웍스,-2.91005291005291,4.632152588555858
2026-05-13,2026-05-14,A,003620,KG모빌리티,-3.082614056720099,-0.5089058524173028
2026-05-13,2026-05-14,B,000670,영풍,-1.7133956386292832,1.5847860538827259
2026-05-13,2026-05-14,A,002310,아세아제지,-1.8072289156626504,4.049079754601228
2026-05-13,2026-05-14,A,013580,계룡건설,-1.1428571428571428,-1.9267822736030826
2026-05-13,2026-05-14,A,079550,LIG디펜스앤에어로스페이스,-0.6825938566552902,0.572737686139748
2026-05-13,2026-05-14,A,005305,롯데칠성우,-3.1210986267166043,2.5773195876288657
2026-05-13,2026-05-14,B,373220,LG에너지솔루션,-2.9345372460496613,2.7906976744186047
2026-05-13,2026-05-14,B,003480,한진중공업홀딩스,-1.0526315789473684,-0.3546099290780142
2026-05-13,2026-05-14,A,006220,제주은행,-0.6837606837606838,2.4096385542168677
2026-05-13,2026-05-14,A,120110,코오롱인더,-0.8101851851851851,2.2170361726954493
2026-05-13,2026-05-14,A,375500,DL이앤씨,-3.143189755529686,2.1634615384615383
2026-05-13,2026-05-14,B,138040,메리츠금융지주,-0.9302325581395349,3.3802816901408446
2026-05-13,2026-05-14,B,450080,에코프로머티,-5.439330543933055,1.7699115044247788
2026-05-13,2026-05-14,A,105560,KB금융,-1.0416666666666665,2.631578947368421
2026-05-13,2026-05-14,A,008420,문배철강,-0.998003992015968,1.411290322580645
2026-05-14,2026-05-15,B,001510,SK증권,0.0,-7.039106145251396
2026-05-14,2026-05-15,B,900140,엘브이엠씨홀딩스,-1.8669778296382729,-1.3674197384066586
2026-05-14,2026-05-15,A,055490,테이팩스,-5.325443786982249,0.45454545454545453
