asset,symbol,interval,entry_dt,entry_close,score,+1w,+2w,+4w,+8w
crypto,AGLDUSDT,1w,2024-10-14,1.2744,65.0,-19.84,-6.92,16.94,8.59
crypto,AGLDUSDT,1w,2024-10-28,1.1862,75.0,36.89,25.64,30.24,112.35
crypto,AGLDUSDT,1w,2024-12-16,1.627,85.0,54.82,69.4,-2.13,-30.18
crypto,AGLDUSDT,1w,2025-02-17,1.5063,60.0,-7.03,-31.37,-34.68,-44.43
crypto,AGLDUSDT,1w,2025-07-07,0.8049,65.0,5.14,-0.3,-6.76,-17.64
crypto,AGLDUSDT,1w,2026-02-16,0.3857,100.0,-42.99,-31.24,-39.67,-32.77
crypto,AGLDUSDT,1w,2026-03-02,0.2652,75.0,-7.5,-12.25,-11.88,-6.07
crypto,AIXBTUSDT,1w,2025-06-23,0.13935,65.0,-4.5,5.8,8.49,-17.5
crypto,AIXBTUSDT,1w,2025-07-07,0.14743,65.0,16.79,2.54,-4.04,-26.21
crypto,AIXBTUSDT,1w,2025-10-20,0.09451,85.0,-22.41,-30.58,-54.68,-69.17
crypto,ALCHUSDT,1w,2025-09-29,0.0736,80.0,-3.56,-7.17,-5.01,121.45
crypto,ALCHUSDT,1w,2025-11-10,0.16067,75.0,-12.75,1.44,12.1,-15.63
crypto,ALGOUSDT,1w,2022-09-19,0.3879,90.0,-8.77,-12.79,-18.66,-34.0
crypto,ALGOUSDT,1w,2022-10-31,0.4021,75.0,-34.89,-36.33,-40.54,-55.96
crypto,ALGOUSDT,1w,2023-07-10,0.1155,60.0,0.09,-5.28,1.13,-20.52
crypto,ALGOUSDT,1w,2023-11-06,0.146,65.0,-3.7,-6.78,38.01,21.99
crypto,ALGOUSDT,1w,2023-12-04,0.2015,95.0,-5.56,14.49,-11.61,-21.24
crypto,ALGOUSDT,1w,2023-12-18,0.2307,75.0,-3.42,-22.8,-26.4,-14.87
crypto,ALGOUSDT,1w,2024-02-26,0.2512,60.0,4.66,9.59,6.69,-23.33
crypto,ALGOUSDT,1w,2024-11-04,0.1456,65.0,26.24,95.4,241.48,178.5
crypto,ALGOUSDT,1w,2024-12-30,0.4055,60.0,-11.27,-1.75,-26.12,-28.29
crypto,ALGOUSDT,1w,2025-01-13,0.3984,65.0,-4.22,-24.8,-30.97,-53.21
crypto,ALGOUSDT,1w,2025-07-07,0.2643,95.0,10.48,8.21,0.95,-12.6
crypto,ALGOUSDT,1w,2025-08-04,0.2668,70.0,-0.64,1.87,-13.42,-18.03
crypto,ALGOUSDT,1w,2026-03-30,0.1212,95.0,-16.09,-16.34,-6.6,
crypto,ALGOUSDT,1w,2026-05-04,0.129,60.0,-9.53,,,
crypto,APEUSDT,1w,2022-09-19,5.718,65.0,-12.45,-7.97,-18.92,-46.89
crypto,APEUSDT,1w,2022-11-21,3.834,75.0,3.89,12.13,-6.47,44.29
crypto,APEUSDT,1w,2022-12-05,4.299,70.0,-19.21,-16.59,3.61,34.31
crypto,APEUSDT,1w,2023-08-07,2.003,70.0,-20.67,-28.91,-38.89,-45.83
crypto,APEUSDT,1w,2023-11-20,1.636,65.0,-2.93,9.29,3.85,-14.67
crypto,APEUSDT,1w,2024-02-26,2.235,65.0,2.51,-5.68,-10.07,-42.92
crypto,APEUSDT,1w,2024-09-02,0.7444,75.0,-2.34,4.49,-1.17,24.06
crypto,APEUSDT,1w,2024-10-14,1.4889,100.0,-24.14,-37.97,-27.54,8.07
crypto,APEUSDT,1w,2024-11-04,1.1166,65.0,-3.38,23.41,69.38,21.01
crypto,APEUSDT,1w,2024-11-18,1.378,60.0,10.54,37.25,-17.76,-28.47
crypto,APEUSDT,1w,2025-05-05,0.6618,65.0,2.9,-1.83,7.04,-7.48
crypto,APEUSDT,1w,2025-06-02,0.7084,85.0,-6.13,-20.86,-13.57,-21.37
crypto,APEUSDT,1w,2025-06-23,0.6265,85.0,-2.27,5.47,3.34,-1.61
crypto,APEUSDT,1w,2025-07-07,0.6608,60.0,6.13,-2.03,-3.68,-11.49
crypto,APEUSDT,1w,2025-08-04,0.6365,60.0,-1.52,-3.16,-8.11,-11.96
crypto,APEUSDT,1w,2026-04-20,0.145,90.0,14.34,8.21,,
crypto,API3USDT,1w,2023-01-02,1.189,65.0,20.35,33.98,41.13,21.61
crypto,API3USDT,1w,2023-01-16,1.593,75.0,3.26,5.34,16.07,17.83
crypto,API3USDT,1w,2023-03-13,1.877,75.0,-17.58,-17.9,-7.62,-30.1
crypto,API3USDT,1w,2023-07-31,1.406,90.0,-15.79,-32.08,-18.85,-16.86
crypto,API3USDT,1w,2023-08-28,1.141,80.0,-8.41,-7.98,2.45,8.94
crypto,API3USDT,1w,2023-10-23,1.243,60.0,7.16,27.76,17.46,50.28
crypto,API3USDT,1w,2023-11-06,1.588,65.0,-7.24,-8.06,3.09,-3.02
crypto,API3USDT,1w,2024-01-15,2.433,90.0,15.78,29.47,77.52,38.39
crypto,API3USDT,1w,2024-02-12,4.319,75.0,-9.93,-12.29,-22.04,-44.5
crypto,API3USDT,1w,2024-05-27,3.202,60.0,6.25,-11.4,-30.76,-36.16
crypto,API3USDT,1w,2024-10-14,1.829,85.0,-6.4,-24.55,-5.96,18.43
crypto,API3USDT,1w,2024-11-04,1.763,60.0,-2.44,18.15,52.47,0.74
crypto,API3USDT,1w,2024-12-02,2.688,60.0,-19.42,-42.19,-33.93,-64.21
crypto,API3USDT,1w,2025-03-17,1.3704,100.0,-20.91,-46.74,-47.78,-38.19
crypto,API3USDT,1w,2025-04-07,0.7822,60.0,-8.51,-1.74,19.6,-10.57
crypto,API3USDT,1w,2025-07-07,0.7301,60.0,10.22,9.46,5.3,40.17
crypto,API3USDT,1w,2025-08-18,1.3671,90.0,-19.98,-25.14,-33.22,-46.96
crypto,API3USDT,1w,2026-04-13,0.3225,85.0,7.01,18.42,12.65,
crypto,APTUSDT,1w,2023-08-07,7.052,60.0,-14.1,-19.31,-26.83,-26.39
crypto,APTUSDT,1w,2023-10-16,6.148,65.0,9.4,11.66,17.18,30.81
crypto,APTUSDT,1w,2024-02-26,11.61,65.0,9.8,20.84,46.99,-22.65
crypto,APTUSDT,1w,2024-03-18,16.337,60.0,4.46,-16.59,-38.85,-50.41
crypto,APTUSDT,1w,2024-09-16,7.964,75.0,1.44,9.24,25.54,47.99
crypto,APTUSDT,1w,2024-09-30,8.7,80.0,17.15,14.92,-5.89,54.8
crypto,APTUSDT,1w,2024-11-04,10.905,75.0,8.08,14.86,33.14,-7.5
crypto,APTUSDT,1w,2024-11-25,13.468,60.0,7.8,1.37,-34.1,-41.96
crypto,APTUSDT,1w,2025-06-23,4.9503,95.0,-9.84,-0.25,-1.02,-6.61
crypto,APTUSDT,1w,2025-07-07,4.9379,85.0,7.65,-0.77,-4.83,-13.44
crypto,APTUSDT,1w,2025-08-04,4.6992,85.0,1.82,-1.62,-9.04,16.09
crypto,APTUSDT,1w,2025-09-29,5.4555,75.0,-28.51,-41.51,-38.2,-63.67
crypto,ARBUSDT,1w,2023-10-30,1.0901,65.0,5.99,-4.1,0.62,43.27
crypto,ARBUSDT,1w,2024-01-01,1.7191,65.0,18.05,5.57,0.59,18.96
crypto,ARBUSDT,1w,2024-05-20,1.1922,75.0,-6.72,-17.96,-34.32,-32.76
crypto,ARBUSDT,1w,2024-11-04,0.6301,65.0,7.03,36.87,84.0,45.37
crypto,ARBUSDT,1w,2025-05-05,0.4515,65.0,-12.49,-12.8,-24.21,-25.96
crypto,ARBUSDT,1w,2025-06-23,0.3667,85.0,-8.84,11.86,25.58,57.89
crypto,ARBUSDT,1w,2025-07-07,0.4102,85.0,17.92,12.26,13.82,20.89
crypto,ARBUSDT,1w,2025-08-04,0.4669,75.0,14.82,24.01,6.21,-7.47
crypto,ARCUSDT,1w,2025-08-04,0.02812,75.0,-25.04,-28.31,-31.93,-24.72
crypto,ARCUSDT,1w,2025-11-24,0.05082,65.0,-22.83,-36.38,-20.9,-0.41
crypto,ARCUSDT,1w,2026-02-02,0.07586,65.0,1.63,19.44,-54.07,-29.44
crypto,ARKMUSDT,1w,2024-02-12,1.046,75.0,56.25,148.21,183.09,50.96
crypto,ARKMUSDT,1w,2024-09-23,1.6229,85.0,-8.11,10.24,-4.23,34.4
crypto,ARKMUSDT,1w,2024-10-07,1.7891,65.0,1.1,-13.13,23.53,34.77
crypto,ARKMUSDT,1w,2024-11-04,2.2101,85.0,-6.31,-1.31,9.09,-23.61
crypto,ARKMUSDT,1w,2025-09-08,0.6331,100.0,-5.32,-15.27,-40.55,-46.31
crypto,ARKMUSDT,1w,2026-04-13,0.1306,85.0,-7.58,-8.42,1.0,
crypto,ARUSDT,1w,2022-07-11,15.426,65.0,-13.7,0.26,-10.07,-26.89
crypto,ARUSDT,1w,2022-10-10,10.044,65.0,5.35,3.33,-13.69,-13.74
crypto,ARUSDT,1w,2022-10-31,14.206,80.0,-38.98,-33.48,-34.61,-55.22
crypto,ARUSDT,1w,2022-11-14,9.45,60.0,-2.9,-1.69,-18.41,-3.57
crypto,ARUSDT,1w,2023-10-23,5.231,65.0,26.97,39.95,47.47,106.73
crypto,ARUSDT,1w,2023-11-13,9.11,85.0,-15.32,-11.89,3.06,11.05
crypto,ARUSDT,1w,2024-02-12,11.968,60.0,31.23,152.82,214.82,138.36
crypto,ARUSDT,1w,2024-04-29,40.606,65.0,3.27,18.58,7.09,-31.42
crypto,ARUSDT,1w,2024-05-13,48.15,65.0,-20.1,-9.69,-40.75,-47.52
crypto,ARUSDT,1w,2024-05-27,43.483,65.0,-13.27,-34.39,-35.95,-29.4
crypto,ARUSDT,1w,2024-07-08,25.271,60.0,35.59,21.49,-20.74,-20.15
crypto,ARUSDT,1w,2024-08-19,26.253,60.0,-20.85,-23.14,-25.66,-25.53
crypto,ARUSDT,1w,2024-09-23,23.401,60.0,-16.08,-17.52,-30.81,-5.75
crypto,ARUSDT,1w,2024-11-04,18.723,75.0,-6.6,17.8,43.02,4.72
crypto,ARUSDT,1w,2024-11-18,22.055,60.0,14.2,21.41,-27.05,-29.9
crypto,ARUSDT,1w,2025-06-23,5.385,65.0,-4.38,27.02,46.8,32.76
crypto,ARUSDT,1w,2025-07-07,6.84,75.0,27.06,15.57,14.96,-3.89
crypto,ARUSDT,1w,2025-08-04,7.863,85.0,-6.94,-9.08,-16.39,-23.86
crypto,ARUSDT,1w,2025-10-27,4.22,60.0,36.45,3.36,-3.25,-12.68
crypto,ATHUSDT,1w,2025-05-12,0.05094,85.0,-3.77,-6.46,-24.48,-42.07
crypto,ATHUSDT,1w,2025-09-08,0.06086,100.0,-3.27,6.92,-24.91,-57.94
crypto,ATHUSDT,1w,2025-09-22,0.06507,65.0,-18.93,-29.77,-52.14,-75.46
crypto,ATHUSDT,1w,2026-02-23,0.006281,75.0,-8.14,1.61,9.35,-3.93
crypto,ATHUSDT,1w,2026-03-16,0.007365,75.0,-6.75,-7.94,-21.75,-12.08
crypto,ATOMUSDT,1w,2021-09-06,35.064,65.0,26.33,13.85,-7.55,1.89
crypto,ATOMUSDT,1w,2021-12-20,32.112,60.0,10.58,8.86,7.82,-18.85
crypto,ATOMUSDT,1w,2022-01-10,43.664,60.0,-20.7,-37.84,-40.12,-39.93
crypto,ATOMUSDT,1w,2022-01-31,31.278,60.0,-16.4,-16.68,-10.07,2.13
crypto,ATOMUSDT,1w,2023-10-30,8.352,75.0,14.02,12.01,14.06,26.99
crypto,ATOMUSDT,1w,2024-08-19,5.055,65.0,-15.07,-24.79,-9.22,-7.22
crypto,ATOMUSDT,1w,2024-11-04,5.272,65.0,7.74,65.91,92.17,39.23
crypto,ATOMUSDT,1w,2024-12-02,10.131,65.0,-10.11,-36.82,-27.55,-51.86
crypto,ATOMUSDT,1w,2025-07-07,4.675,65.0,10.76,4.28,-0.34,-4.11
crypto,AVAXUSDT,1w,2023-01-09,16.813,95.0,3.27,24.97,5.63,-3.85
crypto,AVAXUSDT,1w,2023-10-02,10.086,60.0,-9.1,-0.1,22.44,117.53
crypto,AVAXUSDT,1w,2023-10-23,11.374,65.0,8.57,66.62,85.22,319.25
crypto,AVAXUSDT,1w,2023-11-06,18.951,85.0,20.56,11.17,96.2,77.56
crypto,AVAXUSDT,1w,2023-12-04,37.181,75.0,9.24,28.25,-9.5,-6.31
crypto,AVAXUSDT,1w,2024-02-05,39.737,60.0,1.48,-5.75,5.99,24.07
crypto,AVAXUSDT,1w,2024-03-11,58.428,60.0,-4.71,-7.34,-36.22,-43.31
crypto,AVAXUSDT,1w,2024-08-19,26.882,65.0,-20.35,-13.62,1.49,7.77
crypto,AVAXUSDT,1w,2024-11-04,31.915,75.0,8.86,31.83,69.34,35.09
crypto,AVAXUSDT,1w,2025-05-05,24.804,60.0,-7.01,-5.45,-15.18,-26.29
crypto,AVAXUSDT,1w,2025-06-23,18.72,60.0,-2.34,13.2,39.21,37.94
crypto,AVAXUSDT,1w,2025-07-07,21.191,85.0,18.29,22.98,12.5,16.45
crypto,AVAXUSDT,1w,2025-08-04,23.839,75.0,5.15,8.32,3.51,26.16
crypto,AVAXUSDT,1w,2025-09-08,29.47,85.0,12.11,1.74,-23.72,-39.65
crypto,AXSUSDT,1w,2022-01-31,68.151,75.0,-14.87,-23.59,-28.39,-2.38
crypto,AXSUSDT,1w,2022-03-21,68.214,75.0,-2.47,-28.27,-35.03,-68.3
crypto,AXSUSDT,1w,2022-05-30,20.04,60.0,-28.14,-31.36,-29.38,-10.11
crypto,AXSUSDT,1w,2022-12-05,8.037,90.0,-14.97,-14.37,-10.3,35.62
crypto,AXSUSDT,1w,2023-01-16,12.482,60.0,-2.1,-12.67,-12.66,-27.11
crypto,AXSUSDT,1w,2023-06-19,5.861,65.0,7.13,-1.28,10.51,-15.73
crypto,AXSUSDT,1w,2023-10-23,5.6379,65.0,1.39,12.69,18.71,61.94
crypto,AXSUSDT,1w,2024-11-18,8.329,65.0,-0.74,13.64,-27.88,-30.33
crypto,AXSUSDT,1w,2024-12-02,9.465,65.0,-17.75,-36.53,-25.74,-54.25
crypto,AXSUSDT,1w,2025-07-07,2.51,75.0,12.39,5.82,0.72,-2.03
crypto,AXSUSDT,1w,2025-08-25,2.517,60.0,-2.3,0.95,-13.71,-35.0
crypto,AXSUSDT,1w,2026-01-12,1.854,100.0,9.82,-6.8,-25.19,-33.12
crypto,AXSUSDT,1w,2026-02-09,1.387,65.0,-6.13,-9.01,-10.6,-22.57
crypto,BANANAS31USDT,1w,2025-11-24,0.003919,65.0,-15.57,-15.44,-9.19,5.64
crypto,BANANAUSDT,1w,2025-03-10,17.452,80.0,38.9,7.59,-10.25,40.6
crypto,BANANAUSDT,1w,2025-07-14,27.137,75.0,7.23,-14.23,-10.85,-16.1
crypto,BANANAUSDT,1w,2025-11-24,8.884,65.0,-11.98,-17.21,-19.55,-29.76
crypto,BANANAUSDT,1w,2025-12-22,7.147,75.0,7.23,0.67,-12.69,-39.6
crypto,BANANAUSDT,1w,2026-03-02,4.664,75.0,-10.7,-26.87,-30.02,-17.73
crypto,BASUSDT,1w,2026-04-20,0.014334,65.0,18.93,64.42,,
crypto,BBUSDT,1w,2025-03-17,0.14816,65.0,-15.81,-36.47,-27.25,26.9
crypto,BBUSDT,1w,2025-05-05,0.1685,65.0,11.58,-6.37,-35.69,-52.98
crypto,BBUSDT,1w,2025-08-18,0.14756,75.0,-9.35,0.32,52.55,-15.19
crypto,BBUSDT,1w,2025-09-15,0.22511,60.0,-7.6,-12.68,-44.4,-65.79
crypto,BBUSDT,1w,2026-04-27,0.03377,75.0,-0.56,-0.59,,
crypto,BCHUSDT,1w,2020-12-14,349.54,75.0,-3.18,21.5,37.3,106.84
crypto,BCHUSDT,1w,2020-12-28,424.68,65.0,41.7,13.01,-5.81,8.51
crypto,BCHUSDT,1w,2021-04-05,690.36,60.0,41.12,9.98,106.86,-5.05
crypto,BCHUSDT,1w,2021-04-26,973.16,60.0,46.75,19.72,-32.07,-50.92
crypto,BCHUSDT,1w,2021-11-08,679.07,75.0,-15.36,-16.22,-32.56,-44.51
crypto,BCHUSDT,1w,2022-01-31,324.62,75.0,2.76,-6.77,-13.16,16.56
crypto,BCHUSDT,1w,2022-03-21,376.33,95.0,0.55,-15.06,-18.32,-47.42
crypto,BCHUSDT,1w,2022-07-25,139.2,60.0,1.21,0.08,-19.12,-18.56
crypto,BCHUSDT,1w,2022-09-05,130.22,65.0,-14.23,-12.94,-10.08,-10.49
crypto,BCHUSDT,1w,2023-01-09,124.93,75.0,2.84,9.34,-1.87,-3.83
crypto,BCHUSDT,1w,2023-06-19,193.94,100.0,54.06,36.77,28.58,-2.72
crypto,BCHUSDT,1w,2023-09-25,241.99,60.0,-5.95,-11.18,1.56,-6.33
crypto,BCHUSDT,1w,2023-10-16,243.15,60.0,1.08,-2.3,-5.38,-7.04
crypto,BCHUSDT,1w,2024-02-05,277.37,60.0,-2.4,-3.27,52.72,146.72
crypto,BCHUSDT,1w,2024-02-26,471.84,85.0,-10.23,-14.69,43.85,-0.39
crypto,BCHUSDT,1w,2024-03-25,678.76,60.0,0.82,-22.74,-30.76,-28.68
crypto,BCHUSDT,1w,2024-05-13,484.13,60.0,-0.0,-5.4,-11.51,-22.33
crypto,BCHUSDT,1w,2024-10-14,369.81,75.0,-4.82,-8.14,16.99,47.64
crypto,BCHUSDT,1w,2024-11-04,441.37,85.0,-1.98,16.74,41.06,6.67
crypto,BCHUSDT,1w,2024-11-18,515.27,65.0,3.35,20.83,-13.49,-17.08
crypto,BCHUSDT,1w,2024-12-02,622.6,75.0,-12.3,-28.41,-24.38,-42.11
crypto,BCHUSDT,1w,2025-05-05,408.03,65.0,-0.42,3.56,0.63,20.36
crypto,BCHUSDT,1w,2025-06-09,460.16,85.0,-1.28,9.55,10.32,23.98
crypto,BCHUSDT,1w,2025-06-23,504.12,95.0,-2.58,0.7,17.03,15.67
crypto,BCHUSDT,1w,2025-07-14,548.73,70.0,7.52,-0.84,6.02,9.57
crypto,BCHUSDT,1w,2025-09-01,602.8,60.0,-0.26,-1.53,-1.42,-11.03
crypto,BCHUSDT,1w,2025-10-20,558.74,60.0,-4.01,-9.97,-3.57,5.73
crypto,BERAUSDT,1w,2025-07-07,1.989,75.0,15.94,14.48,4.83,14.53
crypto,BERAUSDT,1w,2025-08-11,2.38,65.0,3.91,8.32,0.59,-10.84
crypto,BERAUSDT,1w,2026-01-12,0.8492,80.0,-23.87,-45.75,-22.69,-21.44
crypto,BERAUSDT,1w,2026-02-09,0.6565,80.0,-11.41,-9.06,1.61,-38.84
crypto,BGBUSDT,1w,2024-12-02,2.6634,90.0,16.74,55.89,125.95,131.73
crypto,BGBUSDT,1w,2025-01-06,7.162,65.0,-6.79,0.54,-10.85,-40.67
crypto,BGBUSDT,1w,2025-06-23,4.625,65.0,-3.68,-5.12,0.76,1.12
crypto,BGBUSDT,1w,2025-07-14,4.955,85.0,-5.95,-12.67,-5.99,-0.54
crypto,BGBUSDT,1w,2025-09-01,4.842,60.0,1.78,8.05,15.32,-6.79
crypto,BIGTIMEUSDT,1w,2024-09-02,0.0809,75.0,54.64,52.04,47.96,93.33
crypto,BIGTIMEUSDT,1w,2024-10-14,0.1506,65.0,17.66,3.85,1.06,17.13
crypto,BIGTIMEUSDT,1w,2025-03-31,0.0574,90.0,15.19,22.53,24.06,9.48
crypto,BIGTIMEUSDT,1w,2026-01-12,0.0245,65.0,-16.86,-29.84,-37.22,-44.69
crypto,BIOUSDT,1w,2025-08-04,0.11394,90.0,18.84,114.02,42.33,19.86
crypto,BIOUSDT,1w,2026-02-16,0.02656,85.0,-23.31,-22.89,-31.36,5.23
crypto,BIOUSDT,1w,2026-04-13,0.02795,90.0,7.26,116.24,58.43,
crypto,BLESSUSDT,1w,2026-03-09,0.005973,65.0,-3.13,-15.07,43.29,16.07
crypto,BLESSUSDT,1w,2026-04-06,0.008559,65.0,-37.68,-24.91,-19.0,
crypto,BLURUSDT,1w,2023-10-16,0.1845,80.0,35.34,51.92,88.46,146.23
crypto,BLURUSDT,1w,2023-11-20,0.5652,80.0,-4.6,-6.14,-7.8,6.1
crypto,BLURUSDT,1w,2024-07-15,0.2167,75.0,-13.47,-33.09,-24.23,-18.14
crypto,BLURUSDT,1w,2024-08-12,0.1642,65.0,16.38,-10.41,8.04,52.13
crypto,BLURUSDT,1w,2024-09-02,0.1729,65.0,2.6,20.82,30.48,11.1
crypto,BLURUSDT,1w,2024-09-23,0.2451,65.0,-7.96,1.92,-6.57,36.35
crypto,BLURUSDT,1w,2024-10-14,0.2848,65.0,-19.59,-32.55,-14.01,37.82
crypto,BLURUSDT,1w,2024-11-04,0.2419,65.0,1.24,38.16,71.06,12.2
crypto,BLURUSDT,1w,2025-07-07,0.0868,75.0,19.12,23.96,1.35,-11.69
crypto,BLURUSDT,1w,2026-01-12,0.03638,65.0,-21.66,-39.31,-41.37,-46.54
