symbol,name,price,d_MA10,d_MA20,w_MA10,w_MA20
WTFC,윈트러스트 파이낸셜,150.22999572753906,0.82,0.59,2.92,3.06
PRTC,퓨어 테크 헬스 ADR,17.434999465942383,0.82,0.59,3.38,0.76
FBNC,퍼스트 뱅코프(노스 캐롤라이나),58.83000183105469,0.33,0.59,1.6,1.72
NFBK,노스필드 뱅코프,14.180000305175781,0.14,0.61,1.99,5.44
COLB,컬럼비아 뱅킹 시스템,29.639999389648438,0.59,0.62,2.21,2.09
FRHC,프리덤 홀딩,142.82000732421875,-0.73,0.63,-1.81,5.3
NTRS,노던 트러스트,165.4499969482422,-0.72,0.63,5.07,9.72
OBT,오렌지 카운티 뱅코프,34.119998931884766,0.9,0.65,0.24,3.02
HAFC,한미 파이낸셜,30.1200008392334,0.34,0.65,4.39,8.03
MNY,머니히로,1.3600000143051147,0.85,0.68,1.23,1.67
VBNK,버사뱅크,18.040000915527344,1.72,0.69,6.64,11.51
AMZN,아마존닷컴,270.6400146484375,1.37,0.71,8.08,15.73
AACB,아티어스 II 애퀴지션,10.5,0.5,0.72,0.91,1.19
WAFD,WaFd,35.560001373291016,0.72,0.73,3.99,7.31
ADAMI,아다마스 트러스트 선순위채권 9.125% 만기 29년,25.540000915527344,0.86,0.73,1.16,1.57
RRBI,레드 리버 뱅크셰어스,90.91999816894531,0.56,0.73,-1.03,2.55
CVBF,CVB 파이낸셜,20.360000610351562,0.67,0.75,1.29,2.19
HFWA,헤리티지 파이낸셜,27.25,0.93,0.76,1.63,2.54
SYBT,스탁 야즈 뱅코프,71.73999786376953,0.89,0.77,2.28,4.7
QSEA,쿼츠씨 애퀴지션,10.529999732971191,0.62,0.79,0.98,1.54
SMBC,서던 미주리 뱅코프,69.05999755859375,0.64,0.79,2.86,6.33
NECB,노스이스트 커뮤니티 뱅코프,24.190000534057617,0.5,0.8,-0.67,0.72
FONR,포나,19.06999969482422,0.55,0.8,1.11,1.98
RGS,레지스,28.200000762939453,-1.22,0.82,3.5,12.77
SYRE,스파이어 테라퓨틱스,73.5,1.56,0.84,12.08,42.4
FMNB,파머스 내셔널 은행,14.180000305175781,0.71,0.86,2.18,5.04
LKFN,레이크랜드 파이낸셜,60.630001068115234,1.91,0.9,1.52,2.22
CHCO,시티 홀딩,124.30999755859375,0.33,0.9,0.46,1.13
PRCH,포치 그룹,10.420000076293945,4.45,0.9,18.11,24.72
LOOP,룹 인더스트리,1.399999976158142,2.41,0.9,0.86,4.48
FGMC,FG 머저 II,10.390000343322754,0.51,0.91,1.51,2.24
UBSI,유나이티드 뱅크셰어스(Nasdaq GS),43.40999984741211,0.99,0.92,1.1,2.32
SRCE,퍼스트 소스,73.81999969482422,0.76,0.93,1.52,5.06
TH,타겟 호스피탈리티,17.360000610351562,-3.93,0.93,14.99,52.38
ALM,알몬티 인더스트리스,19.65999984741211,4.84,0.96,3.72,16.92
AMAL,아말가메이티드 파이낸셜,41.47999954223633,1.12,0.96,1.34,4.25
JWEL,조웰 글로벌,2.390000104904175,4.04,0.97,-0.06,2.39
OZK,뱅크 오즈크,48.38999938964844,1.03,0.97,1.81,2.21
CPRX,캐털리스트 파마슈티컬스,31.229999542236328,-0.09,0.97,11.45,20.76
SWBI,스미스&웨슨 브랜드,15.220000267028809,-0.44,1.0,1.57,12.18
ALLO,알로진 테라퓨틱스,2.1700000762939453,5.96,1.0,-4.66,0.84
BSRR,시에라 뱅코프,37.97999954223633,-0.38,1.01,4.06,5.74
TCBK,트라이코 뱅크셰어스,50.79999923706055,1.01,1.04,2.35,2.96
UMBF,UMB 파이낸셜,131.25999450683594,1.09,1.07,6.05,7.2
EML,이스턴,21.6200008392334,2.51,1.09,0.44,6.29
COFS,초이스원 파이낸셜 서비스,31.399999618530273,0.43,1.1,3.75,6.59
CRUS,시러스 로직,169.9499969482422,1.09,1.11,4.31,14.02
TACH,타이탄 애퀴지션,10.479999542236328,0.99,1.13,1.23,1.47
MPLT,맵라이트 테라퓨틱스,29.309999465942383,2.39,1.16,8.1,30.76
CWBC,커뮤니티 웨스트 뱅크셰어스,24.010000228881836,1.18,1.17,1.31,1.47
HTO,H2O 아메리카,57.83000183105469,1.2,1.17,-0.38,2.52
ZION,자이언스 뱅코프,62.45000076293945,1.49,1.18,2.61,4.39
WABC,웨스트아메리카 뱅코프,55.4900016784668,0.55,1.2,2.64,5.75
SRBK,SR 뱅코프,18.610000610351562,0.75,1.21,1.9,6.02
IESC,IES 홀딩스,678.3499755859375,1.13,1.22,13.64,28.35
TBLA,타불라,4.880000114440918,-1.29,1.23,19.17,27.9
AGH,아우레우스 그린웨이 홀딩스,4.070000171661377,-9.13,1.24,-0.32,1.42
HYNE,호인 뱅코프,15.915599822998047,0.77,1.26,1.2,5.45
SOLS,Solstice Advanced Materials Inc,84.2300033569336,1.21,1.26,4.52,11.91
IMKTA,잉글스 마케츠,88.45999908447266,0.93,1.28,-1.4,2.88
TDAC,트랜스레이셔널 디벨롭먼트 애퀴지션,10.800000190734863,1.03,1.29,1.35,1.89
UEIC,유니버설 일렉트로닉스,4.190000057220459,3.05,1.29,0.92,2.12
FFBC,퍼스트 파이낸셜 뱅코프,30.760000228881836,0.91,1.3,3.49,6.08
AMTX,에메티스,2.624000072479248,8.28,1.3,-1.26,16.15
CNOB,커넥트원 뱅코프,30.06999969482422,1.39,1.31,4.93,8.13
BOLD,바운드리스 바이오,1.5099999904632568,4.21,1.31,6.41,17.24
TROO,트룹스,4.159999847412109,3.53,1.32,23.48,21.96
SCHL,스콜라스틱,40.5,0.33,1.32,1.51,8.64
COCO,비타 코코 컴퍼니,75.12999725341797,-3.0,1.32,22.59,29.25
ICHR,아이코아 홀딩스,71.5199966430664,3.26,1.32,11.73,37.97
SFNC,시몬스 퍼스트 내셔널,21.450000762939453,1.13,1.34,3.46,5.02
CATY,캐세이 제너럴 뱅코프,57.65999984741211,1.07,1.36,5.61,9.52
PRTA,프로테나,10.180000305175781,4.67,1.36,-0.6,5.12
ILLR,트릴러 그룹,0.23510000109672546,3.79,1.38,0.72,11.9
MCBS,메트로시티 뱅크셰어즈,32.65999984741211,0.71,1.4,3.84,9.23
FCBC,퍼스트 커뮤니티 뱅크셰어스,43.11000061035156,1.82,1.42,1.34,6.41
ARWR,애로우헤드 파마슈티컬스,77.91000366210938,1.7,1.42,10.6,17.07
GABC,저먼 아메리칸 뱅코프,43.720001220703125,1.44,1.45,1.4,3.22
STBA,S&T 뱅코프,45.09000015258789,0.91,1.45,3.26,5.35
INDB,인디펜던트 뱅크 (매사추세츠),79.08000183105469,0.8,1.46,1.98,0.81
EWTX,엣지와이즈 테라퓨틱스,34.15999984741211,3.83,1.47,3.87,10.49
MTSI,M/A-컴 테크놀로지 솔루션스 홀딩스,364.6400146484375,-4.02,1.48,19.29,36.78
OMSE,OMS 에너지 테크놀로지스,4.710000038146973,0.06,1.48,1.68,1.93
LLYVA,리버티 라이브 홀딩스 Series A,96.31999969482422,0.65,1.5,2.88,5.97
SNAL,스네일,0.8300999999046326,-16.49,1.51,11.24,20.05
RSVR,레저보아르 미디어,10.319999694824219,0.9,1.51,3.19,12.49
BIIB,바이오젠,196.0,1.61,1.53,5.43,5.82
JANX,재넉스 테라퓨틱스,14.59000015258789,1.86,1.57,0.42,3.49
SRRK,스칼러 락 홀딩,49.29999923706055,0.66,1.57,2.59,6.03
EFSC,엔터프라이즈 파이낸셜 서비스,60.61000061035156,0.65,1.58,4.16,5.37
CTBI,커뮤니티 트러스트 뱅코프,66.86000061035156,0.95,1.58,3.15,6.1
ESQ,에스콰이어 파이낸셜 홀딩스,109.88999938964844,-0.02,1.59,0.86,1.81
PGC,피팩 글래드스턴 파이낸셜,43.25,1.0,1.59,7.75,18.52
CZFS,시티즌스 파이낸셜 서비시스,65.05000305175781,0.31,1.6,0.63,2.55
MXL,맥스리니어,92.93000030517578,-3.01,1.6,53.93,137.65
ORRF,오스타운 파이낸셜 서비스,37.130001068115234,1.63,1.62,0.71,1.32
HBNC,호라이즌 뱅코프,18.549999237060547,1.52,1.62,4.32,5.99
OSBC,올드 세컨드 뱅코프,21.31999969482422,1.28,1.67,2.28,4.22
NDSN,노드슨,287.3299865722656,1.6,1.69,3.29,3.09
FITB,피프스 서드 뱅코프,49.93000030517578,1.92,1.69,2.42,1.53
NTGR,넷기어,25.989999771118164,2.7,1.69,3.69,12.56
HWC,핸콕 휘트니,68.12000274658203,1.88,1.69,2.43,1.83
ALGM,알레그로 마이크로시스템즈,47.869998931884766,4.11,1.7,14.19,23.57
FSEA,퍼스트 시코스트 뱅코프,16.729999542236328,0.07,1.71,17.78,23.03
HOPE,호프 뱅코프,12.539999961853027,1.56,1.71,3.18,5.46
RMR,RMR 그룹,19.950000762939453,0.36,1.72,11.26,16.2
LYTS,LSI 인더스트리,24.229999542236328,2.85,1.72,11.19,12.9
SENEA,세네카 푸즈 Class A,143.7899932861328,0.83,1.74,-0.93,4.75
FULT,풀턴 파이낸셜,21.690000534057617,1.68,1.74,2.28,3.29
SABR,세이버,1.7599999904632568,9.22,1.75,3.56,18.5
TRS,트리마스,40.93000030517578,3.15,1.75,6.21,9.96
PFG,프린시펄 파이낸셜 그룹,103.62000274658203,0.52,1.76,6.38,9.62
LLYVK,리버티 라이브 Series C,99.0999984741211,0.83,1.78,3.12,6.35
ACNB,ACNB,54.290000915527344,0.46,1.8,5.81,7.56
GP,그린파워 모터 컴퍼니,1.090000033378601,0.65,1.8,4.7,3.82
MSBI,미드랜드 스테이츠 뱅코프,27.799999237060547,1.47,1.81,9.26,16.24
FMBH,퍼스트미드 뱅크셰어스,44.04999923706055,1.58,1.83,2.71,4.13
IBCP,인디펜던트 뱅크,34.31999969482422,1.57,1.83,1.54,0.04
PLXS,플렉서스,268.3599853515625,2.22,1.84,9.96,22.91
KRNY,커니 파이낸셜,8.239999771118164,1.13,1.85,3.5,4.99
RAAQ,리얼 에셋 애퀴지션,11.5,0.74,1.87,4.03,6.99
UVSP,유니베스트 파이낸셜,39.439998626708984,1.04,1.89,5.34,10.66
KSPI,카스피.kz 우선주,90.4000015258789,-0.63,1.89,8.55,14.92
ASRT,어셋티오 홀딩스,23.43000030517578,0.06,1.9,12.71,39.54
QCRH,QCR 홀딩스,92.1500015258789,1.77,1.91,2.94,4.02
PFIS,피플스 파이낸셜 서비스,59.40999984741211,0.88,1.92,4.0,7.68
FFIN,퍼스트 파이낸셜 뱅크셰어스,32.68000030517578,1.65,1.94,3.61,3.15
CYTK,사이토키네틱스,76.76000213623047,-0.09,1.94,10.27,15.76
PEBO,피플스 뱅코프,34.779998779296875,1.36,1.96,2.41,4.79
AIRG,에어게인,7.130000114440918,2.3,1.96,6.0,25.02
WKEY,와이즈키 인터내셔널 홀딩 AG ADR,9.039999961853027,-5.03,1.97,12.03,20.05
XELB,엑셀 브랜즈,2.2200000286102295,3.59,1.97,9.03,21.37
TXN,텍사스 인스트루먼트,305.67999267578125,-0.82,1.98,17.87,31.63
MCRI,모나크 카지노 & 리조트,120.26000213623047,1.47,1.99,9.8,17.52
RVSB,리버뷰 뱅코프,5.579999923706055,0.18,1.99,1.34,3.09
KLIC,쿨리크 & 소파 인더스트리스,101.88999938964844,-0.75,2.02,16.7,34.21
GSAT,글로벌스타,84.20999908447266,1.44,2.07,6.61,21.12
VYNE,바인 테라퓨틱스,0.6872000098228455,1.07,2.1,6.08,11.22
SFST,서던 퍼스트 뱅크셰어스,57.77000045776367,1.66,2.11,2.35,3.22
FSBC,파이브 스타 뱅코프,42.22999954223633,1.25,2.13,4.25,6.53
SVAC,스프링 밸리 애퀴지션 III,10.739999771118164,1.53,2.14,2.82,2.43
SBLK,스타 벌크 캐리어스,27.25,1.59,2.16,8.26,13.0
VIR,버 바이오테크놀로지,9.539999961853027,5.11,2.17,0.72,9.03
MYRG,MYR 그룹,465.05999755859375,1.76,2.18,22.49,44.94
ALLR,얼라러티 테라퓨틱스,1.5800000429153442,-2.14,2.18,11.35,28.41
TSEM,타워 세미컨덕터,255.22999572753906,-5.38,2.2,13.84,43.58
BWB,브릿지워터 뱅크셰어스,18.860000610351562,1.13,2.2,2.31,2.36
NHPAP,내셔널 헬스케어 우선주 Series A 7.375%,22.329999923706055,-0.09,2.22,5.28,10.15
NWBI,노스웨스트 뱅크셰어스,14.149999618530273,1.96,2.23,4.82,8.36
RILYZ,BRC 그룹 홀딩스 선순위 채권 5.250% 만기 2028년,19.8700008392334,0.08,2.23,8.46,15.93
RBKB,라인벡 뱅코프,16.280000686645508,3.1,2.24,2.22,6.68
DWSN,도슨 지오피지컬,3.9000000953674316,-4.67,2.24,15.35,23.61
HBT,HBT 파이낸셜,28.6299991607666,1.5,2.24,2.37,3.35
JRSH,저라쉬 홀딩스,3.424799919128418,3.17,2.26,3.7,7.1
BPYPM,브룩필드 프로퍼티 우선주 6.25%,17.450000762939453,1.45,2.29,3.88,6.93
NBTB,NBT 뱅코프,46.2400016784668,1.35,2.32,3.88,4.92
DFSC,DEFSEC 테크놀로지스,4.220099925994873,0.17,2.34,29.39,59.08
NBN,노스이스트 뱅크,125.73999786376953,2.89,2.34,4.17,7.21
MBWM,머컨틸 은행,52.9900016784668,1.92,2.35,2.35,2.46
MBIN,머천트 뱅코프,47.13999938964844,2.31,2.36,1.97,7.62
CLBK,콜롬비아 파이낸셜,20.1299991607666,0.48,2.36,6.73,11.02
CSQ,Calamos Strategic Total Return Closed Fund,20.670000076293945,2.0,2.37,7.39,8.76
TBLD,Thornburg Income Builder Opportunities Trust,22.690000534057617,1.35,2.38,3.37,4.45
POWW,아웃도어 홀딩,2.059999942779541,0.93,2.39,1.28,4.7
CBNK,캐피털 뱅코프,31.920000076293945,1.93,2.39,2.5,4.17
ROIV,로이반트 사이언시스,29.989999771118164,0.5,2.42,4.89,9.82
FBIZ,퍼스트 비즈니스 파이낸셜 서비스,57.52000045776367,1.8,2.42,2.04,2.55
FTAI,FTAI 애비에이션,260.3399963378906,5.94,2.44,4.73,0.43
AUR,오로라 이노베이션,7.340000152587891,2.44,2.44,26.7,43.51
NEUP,뉴포리아 테라퓨틱스,5.300000190734863,2.21,2.45,5.26,14.36
ASYS,암테크 시스템즈,21.100000381469727,-0.27,2.48,13.44,33.95
SION,시오나 테라퓨틱스,42.81999969482422,4.07,2.49,6.06,9.4
TTMI,TTM 테크놀로지스,173.72000122070312,-1.89,2.51,20.89,44.53
CAC,캠던 내셔널,50.029998779296875,1.69,2.53,1.9,4.05
SEAT,비비드 싯츠,8.630000114440918,3.44,2.54,10.05,20.35
PYPD,폴리피드,4.730000019073486,-1.48,2.55,3.25,5.85
LAMR,라마 애드버타이징,152.4600067138672,0.92,2.56,8.62,11.92
OVID,오비드 테라퓨틱스,2.7300000190734863,8.76,2.59,4.28,25.17
THFF,퍼스트 파이낸셜,69.18000030517578,1.5,2.62,4.27,6.23
SILO,사일로 파마,0.4171000123023987,4.32,2.66,-2.96,9.56
TSAT,텔레샛,54.209999084472656,0.52,2.67,12.3,36.49
ELVR,엘레브라 리튬,92.63999938964844,7.21,2.67,15.8,39.78
PEBK,피플스 뱅코프 오브 노스캐롤라이나,42.099998474121094,0.83,2.68,2.55,6.64
VLGEA,빌리지 슈퍼 마켓,46.459999084472656,0.32,2.68,5.47,12.31
CBC,센트럴 밴컴퍼니,28.399999618530273,1.13,2.74,8.44,12.77
PMCB,파마사이트 바이오테크,0.8109999895095825,2.47,2.75,7.21,8.32
CARE,카터 뱅크셰어스,27.299999237060547,1.72,2.82,8.25,18.41
RELL,리처드슨 일렉트로닉스,16.764999389648438,-1.43,2.84,11.25,24.66
BUSE,퍼스트 뷰지,27.3700008392334,2.02,2.88,3.86,5.86
DRH,다이아몬드락 하스피탈리티,10.989999771118164,1.72,2.89,6.75,10.8
VLY,밸리 내셔널 뱅코프,13.770000457763672,2.69,2.89,4.72,7.39
KRYS,크리스탈 바이오텍,309.0299987792969,2.13,2.89,10.42,12.71
ROKU,로쿠,130.17999267578125,2.96,2.92,13.05,23.66
NCEL,뉴셀X,3.440000057220459,4.31,2.95,5.51,16.38
CMPR,심프레스,98.55999755859375,-1.32,2.95,13.71,22.31
CADL,캔델 테라퓨틱스,8.300000190734863,3.3,2.97,23.16,35.76
HPK,하이피크에너지,7.099999904632568,-3.47,2.98,6.79,19.94
IMTX,이매틱스,11.510000228881836,3.11,3.03,5.76,11.47
KRNT,코닛 디지털,16.1299991607666,6.72,3.06,3.78,7.56
GSBC,그레이트 서던 뱅코프,71.75,2.2,3.06,5.89,10.29
KDP,큐리그 닥터 페퍼,30.030000686645508,2.31,3.09,7.3,6.75
PRAX,프락시스 프리시젼 메디신,349.9700012207031,2.22,3.12,6.24,8.53
PDFS,PDF 솔루션스,48.83000183105469,6.0,3.12,12.7,28.59
XBIO,제네틱 바이오사이언스,3.1500000953674316,4.44,3.16,1.41,12.41
FNWB,퍼스트 노스웨스트 뱅코프,9.989999771118164,2.76,3.18,2.22,2.95
UCTT,울트라 클린 홀딩스,85.56999969482422,2.2,3.19,10.05,32.13
TIGO,밀리콤 인터내셔널 셀룰러,85.36000061035156,2.28,3.21,4.27,14.98
GLUE,몬테 로사 테라퓨틱스,19.709999084472656,5.09,3.23,6.9,5.09
FIVE,파이브 빌로우,227.36000061035156,3.59,3.27,0.65,4.71
JAZZ,재즈 파마슈티컬스,236.49000549316406,0.17,3.27,12.75,23.33
LQDT,리퀴디티 서비스,36.209999084472656,3.98,3.29,7.23,11.67
CGNX,코그넥스,65.8499984741211,1.71,3.29,13.98,24.79
AXSM,액섬 테라퓨틱스,234.47999572753906,1.15,3.3,17.24,25.59
IBKR,인터랙티브 브로커스 그룹,86.97000122070312,3.6,3.31,11.26,15.9
LAKE,레이크랜드 인더스트리스,10.710000038146973,1.38,3.31,6.8,12.8
EXEL,엑셀리시스,50.47999954223633,0.9,3.32,9.24,13.28
BFST,비즈니스 퍼스트 뱅크셰어스,28.479999542236328,2.48,3.32,2.34,2.71
CCD,Calamos Dynamic Convertible And Income Closed Fund,25.520000457763672,4.29,3.35,7.18,10.35
CHY,Calamos Convertible and High Income Closed Fund,13.199999809265137,3.69,3.38,7.95,10.26
AVT,에이브이넷,86.93000030517578,1.8,3.38,14.28,27.05
CHI,Calamos Convertible Opportunities and Income Closed Fund,12.770000457763672,3.93,3.38,7.09,10.04
CIVB,시비스타 뱅크셰어스,25.899999618530273,2.27,3.38,5.9,8.39
KALU,카이저 알루미늄,182.0399932861328,3.96,3.4,14.07,27.32
TFSL,TFS 파이낸셜,15.90999984741211,1.12,3.42,6.29,9.07
XMAX,,8.550000190734863,3.19,3.45,9.83,22.53
FISI,파이낸셜 인스티튜션스,36.22999954223633,2.74,3.5,6.15,9.0
OPRA,오페라 ADR,18.780000686645508,5.54,3.53,11.33,22.65
BWEN,브로드윈드 에너지,3.4609999656677246,-5.83,3.56,18.44,29.55
ADAM,아다마스 트러스트,9.199999809265137,2.69,3.63,11.39,12.6
LCNB,LCNB,16.850000381469727,1.78,3.64,2.06,1.45
LFUS,리틀휴즈,466.8699951171875,2.59,3.65,13.96,26.36
EDRY,유로드라이,22.81999969482422,1.12,3.66,6.81,18.09
CABA,카발레타 바이오,3.7799999713897705,5.73,3.66,15.53,23.17
WATT,에너거스,27.5,2.84,3.76,6.79,48.0
LGND,리간드 파마슈티컬스,231.9600067138672,3.74,3.76,6.09,12.09
CGO,Calamos Global Total Return Closed Fund,14.039999961853027,3.11,3.77,7.34,12.26
QQQX,Nuveen Nasdaq 100 Dynamic Overwrite Fund,31.75,3.54,3.79,7.71,11.06
LBTYK,리버티 글로벌 Class C,12.15999984741211,3.2,3.83,3.17,4.62
TXRH,텍사스 로드하우스,180.6199951171875,1.04,3.86,7.29,3.37
ERIC,텔레폰악티에볼라예트 에릭슨 ADR,13.0600004196167,0.15,3.89,8.85,13.79
MAR,메리어트 인터내셔널,375.6000061035156,1.47,3.9,5.66,9.67
UNTY,유니티 뱅코프,55.86000061035156,2.3,3.93,4.08,4.83
WSC,윌스콧 홀딩스,25.729999542236328,4.17,3.97,15.99,20.22
AGIO,애지오스 파마슈티컬스,29.399999618530273,2.69,3.99,-1.89,1.38
TILE,인터페이스,29.600000381469727,2.36,4.02,6.63,1.46
VNET,브이넷 그룹 ADR,10.079999923706055,-0.89,4.05,11.23,1.36
LBTYA,리버티 글로벌 Class A,12.510000228881836,3.41,4.1,3.31,5.29
ROST,로스 스토어스,231.72999572753906,3.76,4.1,3.41,9.46
ALRS,앨러루스 파이낸셜,28.579999923706055,1.97,4.1,9.51,13.35
CDXS,코덱시스,2.7149999141693115,4.08,4.11,7.63,39.68
SYPR,사이프리스 솔루션스,3.2985999584198,7.87,4.14,-0.64,1.31
ADTN,애드트랜 홀딩스,16.549999237060547,4.24,4.14,6.56,30.02
NBIX,뉴로크린 바이오사이언시스,158.3000030517578,1.27,4.16,12.49,16.24
RBCAA,리퍼블릭 뱅코프,80.94999694824219,2.59,4.21,7.36,10.72
MRDN,메리디안 홀딩스,11.75,7.73,4.25,23.06,33.58
TNYA,테나야 테라퓨틱스,0.8867999911308289,9.88,4.31,11.82,16.34
CHRW,CH 로빈슨 월드와이드,178.64999389648438,2.21,4.32,3.67,0.92
WEST,웨스트락 커피,8.029999732971191,-2.22,4.33,26.92,47.2
