K_weeks_back,X_dist_low_pct,Y_dist_now_pct,H_hold_weeks,count,win_rate,mean_short,mean_capped,median_short,p25,p75,std,max_loss,sharpe_like
8,0.3,0.03,4,249,0.5421686746987951,-0.03249370750496165,-0.029875564964064585,0.024532224532224478,-0.1731768650461023,0.1899192425508215,0.31098659083640917,-1.497831079356979,-0.10448587965663955
8,0.3,0.03,8,210,0.38571428571428573,-0.19440454313753272,-0.16006466895251695,-0.09180513919712041,-0.39679476806903985,0.10078455661784022,0.49657183756858286,-2.5283218634197984,-0.39149329146295575
8,0.3,0.03,12,203,0.5369458128078818,-0.01963938057055554,-0.006944429288668188,0.028823654541586752,-0.1648447869686377,0.20261298280494788,0.3930441430157852,-2.1157966719854113,-0.049967366056811575
8,0.3,0.05,2,488,0.6782786885245902,0.015646742889203636,0.019491003506214764,0.06993969299541858,-0.055240353663893016,0.1596007648511908,0.2508613435067095,-2.7937056576314356,0.06237207642470092
8,0.3,0.05,4,421,0.5700712589073634,-0.03506990983168259,-0.02388928492071965,0.03969816272965876,-0.15010752688172047,0.188062827225131,0.3799220983405223,-4.380389303256322,-0.09230815997507362
8,0.3,0.05,8,348,0.4281609195402299,-0.14938344917072469,-0.11569668456014548,-0.049805100845547345,-0.3531966391965814,0.14285791828122507,0.5103840885611114,-4.055848644715299,-0.2926882959691603
8,0.3,0.05,12,339,0.584070796460177,-0.010050133184860722,0.018152931309580088,0.06517690875232773,-0.15376094493741543,0.23578408149083235,0.47870491763432826,-3.510543130990416,-0.020994422272757576
8,0.4,0.03,2,132,0.6893939393939394,0.025986606960988003,0.026610042744851594,0.06767344444538975,-0.04629002367083712,0.18611866645970318,0.2413877890167035,-1.082293523469994,0.10765501878469001
8,0.4,0.03,4,121,0.5702479338842975,-0.009766911422526317,-0.00565260498155955,0.036694320357370636,-0.12241054613935964,0.20227497527200788,0.300811423285703,-1.497831079356979,-0.03246855227718515
8,0.4,0.03,8,97,0.4020618556701031,-0.1634536051039778,-0.1349822182216358,-0.04992076069730578,-0.3533374157991429,0.12458745874587462,0.46446959641925967,-2.5283218634197984,-0.35191454158483654
