621 USDT-M perpetual symbols on Bitget (granularity=1h)
[ 177/621] DOGEUSDT             rows= 44425  ( 0.1s)
[ 178/621] DOGSUSDT             rows= 15787  ( 0.1s)
[ 179/621] DOLOUSDT             rows= 10002  ( 0.1s)
[ 180/621] DOODUSDT             rows=  9643  ( 0.1s)
[ 181/621] DOOSBOTUSDT          rows=   244  ( 0.1s)
[ 182/621] DOOSENERUSDT         rows=   244  ( 0.1s)
[ 183/621] DOTUSDT              rows= 50733  ( 0.1s)
[ 184/621] DRAMUSDT             rows=   840  ( 0.1s)
[ 185/621] DRIFTUSDT            rows= 14008  ( 0.1s)
[ 186/621] DXYZUSDT             rows=   164  ( 0.1s)
[ 187/621] DYDXUSDT             rows= 39408  ( 0.1s)
[ 188/621] DYMUSDT              rows= 20117  ( 0.1s)
[ 189/621] EDGEUSDT             rows=  1819  ( 0.1s)
[ 190/621] EGLDUSDT             rows= 39239  ( 0.1s)
[ 191/621] EHUSDT               rows=   331  ( 0.1s)
[ 192/621] EIGENUSDT            rows= 14931  ( 0.1s)
[ 193/621] ELSAUSDT             rows=  3455  ( 0.1s)
[ 194/621] ENAUSDT              rows= 19253  ( 0.1s)
[ 195/621] ENJUSDT              rows= 37366  ( 0.1s)
[ 196/621] ENSOUSDT             rows=  5854  ( 0.1s)
[ 197/621] ENSUSDT              rows= 35688  ( 0.1s)
[ 198/621] EPICUSDT             rows= 11015  ( 0.1s)
[ 199/621] ERAUSDT              rows=  7988  ( 0.1s)
[ 200/621] ESPORTSUSDT          rows=  7729  ( 0.1s)
[ 201/621] ESPUSDT              rows=  2946  ( 0.1s)
[ 202/621] ETCUSDT              rows= 56575  ( 0.1s)
[ 203/621] ETHFIUSDT            rows= 19555  ( 0.1s)
[ 204/621] ETHUSDT              rows= 56575  ( 0.1s)
[ 205/621] ETHWUSDT             rows= 14712  ( 0.1s)
[ 206/621] ETNUSDT              rows=   792  ( 0.1s)
[ 207/621] EULUSDT              rows=  5855  ( 0.1s)
[ 208/621] EVEXUSDT             rows=   331  ( 0.1s)
[ 209/621] EWHUSDT              rows=  1607  ( 0.1s)
[ 210/621] EWJUSDT              rows=  2160  ( 0.1s)
[ 211/621] EWTUSDT              rows=  1968  ( 0.1s)
[ 212/621] EWYUSDT              rows=  2160  ( 0.1s)
[ 213/621] FARTCOINUSDT         rows= 12984  ( 0.1s)
[ 214/621] FETUSDT              rows= 28823  ( 0.1s)
[ 215/621] FFUSDT               rows=  6213  ( 0.1s)
[ 216/621] FIDAUSDT             rows= 15211  ( 0.1s)
[ 217/621] FIGHTUSDT            rows=  3427  ( 0.1s)
[ 218/621] FILUSDT              rows= 49557  ( 0.1s)
[ 219/621] FLOCKUSDT            rows=  7030  ( 0.1s)
[ 220/621] FLOKIUSDT            rows= 27310  ( 0.1s)
[ 221/621] FLUIDUSDT            rows=  6332  ( 0.1s)
[ 222/621] FLUXUSDT             rows= 15576  ( 0.1s)
[ 223/621] FLYUSDT              rows=  1464  ( 0.1s)
[ 224/621] FOGOUSDT             rows=  3617  ( 0.1s)
[ 225/621] FOLKSUSDT            rows=  5298  ( 0.1s)
[ 226/621] FORMUSDT             rows= 10871  ( 0.1s)
[ 227/621] FRAXUSDT             rows=  3622  ( 0.1s)
[ 228/621] FUSDT                rows=  8685  ( 0.1s)
[ 229/621] FUTUUSDT             rows=  5516  ( 0.1s)
[ 230/621] GALAUSDT             rows= 39597  ( 0.1s)
[ 231/621] GASUSDT              rows= 16704  ( 0.1s)
[ 232/621] GENIUSUSDT           rows=  1443  ( 0.1s)
[ 233/621] GEUSDT               rows=  6694  ( 0.1s)
[ 234/621] GIGGLEUSDT           rows=  5804  ( 0.1s)
[ 235/621] GLMUSDT              rows= 18629  ( 0.1s)
[ 236/621] GLWUSDT              rows=   116  ( 0.1s)
[ 237/621] GMEUSDT              rows=  6669  ( 0.1s)
[ 238/621] GMTUSDT              rows= 36863  ( 0.1s)
[ 239/621] GMXUSDT              rows= 28993  ( 0.1s)
[ 240/621] GOATUSDT             rows= 14396  ( 0.1s)
[ 241/621] GOOGLUSDT            rows=  7029  ( 0.1s)
[ 242/621] GPSUSDT              rows= 11571  ( 0.1s)
[ 243/621] GRASSUSDT            rows= 14273  ( 0.1s)
[ 244/621] GRIFFAINUSDT         rows= 12695  ( 0.1s)
[ 245/621] GRTUSDT              rows= 33600  ( 0.1s)
[ 246/621] GUNUSDT              rows= 10578  ( 0.1s)
[ 247/621] GUSDT                rows= 16052  ( 0.1s)
[ 248/621] GWEIUSDT             rows=  3290  ( 0.1s)
[ 249/621] HAEDALUSDT           rows=  9883  ( 0.1s)
[ 250/621] HBARUSDT             rows= 28459  ( 0.1s)
[ 251/621] HFTUSDT              rows=  8375  ( 0.1s)
[ 252/621] HIVEUSDT             rows= 12936  ( 0.1s)
[ 253/621] HOLOUSDT             rows=  6647  ( 0.1s)
[ 254/621] HOMEUSDT             rows=  8880  ( 0.1s)
[ 255/621] HOODUSDT             rows=  7007  ( 0.1s)
[ 256/621] HOTUSDT              rows= 27958  ( 0.1s)
[ 257/621] HPEUSDT              rows=   164  ( 0.1s)
[ 258/621] HUMAUSDT             rows=  9240  ( 0.1s)
[ 259/621] HUSDT                rows=  8519  ( 0.1s)
[ 260/621] HYPERUSDT            rows= 10052  ( 0.1s)
[ 261/621] HYPEUSDT             rows= 13032  ( 0.1s)
[ 262/621] HYUNDAIUSDT          rows=   313  ( 0.1s)
[ 263/621] IBMUSDT              rows=   331  ( 0.1s)
[ 264/621] ICNTUSDT             rows=  8328  ( 0.1s)
[ 265/621] ICPUSDT              rows= 44304  ( 0.1s)
[ 267/621] IDOLUSDT             rows=  8855  ( 0.1s)
[ 268/621] IDUSDT               rows= 28269  ( 0.1s)
[ 266/621] ICXUSDT              rows= 27958  ( 0.1s)
[ 269/621] ILVUSDT              rows=  7510  ( 0.1s)
[ 270/621] IMXUSDT              rows= 34509  ( 0.1s)
[ 271/621] INDAUSDT             rows=  1607  ( 0.1s)
[ 272/621] INFQUSDT             rows=   792  ( 0.1s)
[ 273/621] INITUSDT             rows= 10005  ( 0.1s)
[ 274/621] INJUSDT              rows= 28456  ( 0.1s)
[ 275/621] INTCUSDT             rows=  6718  ( 0.1s)
[ 276/621] INUSDT               rows=  7485  ( 0.1s)
[ 277/621] INXUSDT              rows=  3240  ( 0.1s)
[ 278/621] IONQUSDT             rows=  1298  ( 0.1s)
[ 279/621] IOSTUSDT             rows= 36692  ( 0.1s)
[ 280/621] IOTAUSDT             rows= 37199  ( 0.1s)
[ 281/621] IOTXUSDT             rows= 27188  ( 0.1s)
[ 282/621] IOUSDT               rows= 17609  ( 0.1s)
[ 283/621] IPUSDT               rows= 11686  ( 0.1s)
[ 284/621] IRENUSDT             rows=   164  ( 0.1s)
[ 285/621] IRYSUSDT             rows=  4805  ( 0.1s)
[ 286/621] IWMUSDT              rows=   164  ( 0.1s)
[ 287/621] JASMYUSDT            rows= 32686  ( 0.1s)
[ 288/621] JCTUSDT              rows=  5182  ( 0.1s)
[ 289/621] JDUSDT               rows=  5516  ( 0.1s)
[ 290/621] JOBYUSDT             rows=   477  ( 0.1s)
[ 291/621] JOEUSDT              rows= 28152  ( 0.1s)
[ 292/621] JSTUSDT              rows=  9916  ( 0.1s)
[ 293/621] JTOUSDT              rows= 21977  ( 0.1s)
[ 294/621] JUPUSDT              rows= 20755  ( 0.1s)
[ 295/621] KAIAUSDT             rows= 28295  ( 0.1s)
[ 296/621] KAITOUSDT            rows= 11514  ( 0.1s)
[ 297/621] KASUSDT              rows= 19388  ( 0.1s)
[ 298/621] KATUSDT              rows=  2130  ( 0.1s)
[ 299/621] KAVAUSDT             rows= 35925  ( 0.1s)
[ 300/621] KERNELUSDT           rows= 10244  ( 0.1s)
[ 301/621] KGENUSDT             rows=  6001  ( 0.1s)
[ 302/621] KIOXIAUSDT           rows=   243  ( 0.1s)
[ 303/621] KITEUSDT             rows=  5488  ( 0.1s)
[ 304/621] KMNOUSDT             rows= 14707  ( 0.1s)
[ 305/621] KNCUSDT              rows= 36527  ( 0.1s)
[ 306/621] KOPNUSDT             rows=   840  ( 0.1s)
[ 307/621] KSMUSDT              rows= 39094  ( 0.1s)
[ 308/621] KTOSUSDT             rows=   331  ( 0.1s)
[ 309/621] KWEBUSDT             rows=  1968  ( 0.1s)
[ 310/621] LABUSDT              rows=  5776  ( 0.1s)
[ 311/621] LASERTECUSDT         rows=   243  ( 0.1s)
[ 312/621] LAUSDT               rows=  9022  ( 0.1s)
[ 313/621] LAYERUSDT            rows= 11729  ( 0.1s)
[ 314/621] LDOUSDT              rows= 29154  ( 0.1s)
[ 315/621] LINEAUSDT            rows=  6885  ( 0.1s)
[ 316/621] LINKUSDT             rows= 51361  ( 0.1s)
[ 317/621] LISTAUSDT            rows= 17395  ( 0.1s)
[ 318/621] LITEUSDT             rows=  1464  ( 0.1s)
[ 319/621] LITUSDT              rows=  4150  ( 0.1s)
[ 320/621] LLYUSDT              rows=  5181  ( 0.1s)
[ 321/621] LMTUSDT              rows=   331  ( 0.2s)
[ 322/621] LPTUSDT              rows= 24960  ( 0.1s)
[ 323/621] LQTYUSDT             rows= 28517  ( 0.1s)
[ 324/621] LSKUSDT              rows= 18787  ( 0.1s)
[ 325/621] LTCUSDT              rows= 56575  ( 0.1s)
[ 326/621] LUMIAUSDT            rows= 14446  ( 0.1s)
[ 327/621] LUNAUSDT             rows= 34366  ( 0.1s)
[ 328/621] LUNCUSDT             rows= 32829  ( 0.1s)
[ 329/621] LWLGUSDT             rows=   840  ( 0.1s)
[ 330/621] LYNUSDT              rows=  5980  ( 0.1s)
[ 331/621] MAGICUSDT            rows= 29401  ( 0.1s)
[ 332/621] MAGMAUSDT            rows=  4029  ( 0.1s)
[ 333/621] MANAUSDT             rows= 39744  ( 0.1s)
[ 334/621] MANTAUSDT            rows= 20948  ( 0.1s)
[ 335/621] MANTRAUSDT           rows=  2470  ( 0.1s)
[ 336/621] MASKUSDT             rows= 33600  ( 0.1s)
[ 337/621] MAVUSDT              rows= 25963  ( 0.1s)
[ 338/621] MCDUSDT              rows=  7029  ( 0.1s)
[ 339/621] MDBUSDT              rows=   164  ( 0.1s)
[ 340/621] MEGAUSDT             rows=  3259  ( 0.1s)
[ 341/621] MELANIAUSDT          rows= 12268  ( 0.1s)
[ 342/621] MEMEUSDT             rows= 22914  ( 0.1s)
[ 343/621] MERLUSDT             rows= 13871  ( 0.1s)
[ 344/621] METAUSDT             rows=  7029  ( 0.1s)
[ 345/621] METISUSDT            rows= 19627  ( 0.1s)
[ 346/621] METUSDT              rows=  5881  ( 0.1s)
[ 347/621] MEUSDT               rows= 13241  ( 0.1s)
[ 348/621] MEWUSDT              rows= 17466  ( 0.1s)
[ 349/621] MINAUSDT             rows= 29018  ( 0.1s)
[ 350/621] MIRAUSDT             rows=  6284  ( 0.1s)
[ 351/621] MMTUSDT              rows=  5347  ( 0.1s)
[ 352/621] MOCAUSDT             rows= 16853  ( 0.1s)
[ 353/621] MONUSDT              rows=  5950  ( 0.1s)
[ 354/621] MOODENGUSDT          rows= 14925  ( 0.1s)
[ 355/621] MORPHOUSDT           rows= 13701  ( 0.1s)
[ 356/621] MOVEUSDT             rows= 13267  ( 0.1s)
[ 357/621] MOVRUSDT             rows= 18436  ( 0.1s)
[ 358/621] MPUSDT               rows=  1152  ( 0.1s)
[ 359/621] MRVLUSDT             rows=  6671  ( 0.1s)
[ 360/621] MSFTUSDT             rows=  6381  ( 0.1s)
[ 361/621] MSTRUSDT             rows=  7007  ( 0.1s)
[ 362/621] MTLUSDT              rows= 14374  ( 0.1s)
[ 363/621] MUBARAKUSDT          rows= 10920  ( 0.1s)
[ 364/621] MUSDT                rows=  8328  ( 0.1s)
[ 365/621] MUUSDT               rows=  2970  ( 0.1s)
