eval_date,bucket,Symbol,Name,tf,angle_deg,residence_20,next_ret_pct
2026-05-18,B,136490,선진,1M,1.3567055693804102,0.65,-2.079566003616637
2026-05-18,B,126720,수산인더스트리,1W,1.1808319858011673,0.95,-1.5254237288135597
2026-05-18,B,015360,INVENI,1W,0.6116960095131145,1.0,-2.0734597156398102
2026-05-18,B,000880,한화,1W,1.3672321711866817,1.0,-2.535657686212361
2026-05-18,B,051600,한전KPS,1M,1.1604681702185957,1.0,-2.355072463768116
2026-05-18,B,004990,롯데지주,1M,0.5968920323089515,0.65,2.238805970149253
2026-05-18,A,404990,신한서부티엔디리츠,1M,0.035196365487350376,0.25,1.3368983957219251
2026-05-18,B,001200,유진투자증권,1W,1.4255934641013164,0.95,-3.696857670979667
2026-05-18,B,002220,한일철강,1W,0.1152315799701681,0.6,0.8676789587852495
2026-05-18,B,071050,한국금융지주,1W,1.2210400283714242,1.0,-2.702702702702702
2026-05-18,B,194370,제이에스코퍼레이션,1M,1.3851862783644817,0.75,-3.674121405750799
2026-05-18,A,016090,대현,1W,0.02325260892458695,0.5,-0.2917152858809801
2026-05-18,B,009180,한솔로지스틱스,1W,0.2849100207357939,0.85,-1.3136288998357963
2026-05-18,B,020150,롯데에너지머티리얼즈,1W,2.2793303439971075,0.95,-5.68561872909699
2026-05-18,B,278470,에이피알,1W,1.7819605903266311,0.95,-1.1194029850746268
2026-05-18,B,271560,오리온,1W,0.8480841875133598,0.95,1.027900146842878
2026-05-18,A,089860,롯데렌탈,1M,0.1864887022710914,0.8,-1.5673981191222568
2026-05-18,B,001250,GS글로벌,1W,2.1439092338497905,0.75,-2.7741083223249667
2026-05-18,B,241560,두산밥캣,1W,0.604216372449625,0.85,-0.7385524372230428
2026-05-18,B,403550,쏘카,1W,0.730790159928309,0.6,-4.7416843595187546
2026-05-18,B,034220,LG디스플레이,1M,0.4113940055656604,0.5,-5.078416728902166
2026-05-18,B,002810,삼영무역,1W,0.697734907569404,0.9,3.3816425120772946
