symbol,tf,ma_len,window,last_date,close,ma,px_vs_ma_pct,ma_slope_last3_pct,verdict,a_pct,b_pct,vertex_pos,r2
METAUSDT,1w,10,10,2026-06-15,593.06,619.934,-4.334977594389089,-0.38996659495054153,low_r2(0.50),0.06215298199699614,-0.5001644654458346,0.4470729135463485,0.49849293168722786
METISUSDT,1w,10,10,2026-06-15,3.084,3.3051000000000004,-6.689661432331862,0.9900082500687857,low_a(-0.069),-0.06886946081243409,1.1972813160846398,0.9658218299766295,0.8664209434922107
METUSDT,1w,10,10,2026-06-15,0.118,0.13737000000000002,-14.100604207614486,-2.304245786217196,low_a(0.042),0.04170179758547881,-1.8423916260307003,2.4544527157428937,0.9682423551482797
MEUSDT,1w,10,10,2026-06-15,0.06416,0.090336,-28.9762663832802,-7.660226924256364,low_a(-0.184),-0.1842311500825797,-0.40157097824035737,-0.12109515020196618,0.9789771596706545
MEWUSDT,1w,10,10,2026-06-15,0.0003864,0.00051994,-25.683732738392884,-6.110729892737199,low_a(-0.295),-0.2946075396189081,1.5031412636324688,0.2834545513926895,0.9694912252825368
MINAUSDT,1w,10,10,2026-06-15,0.04383,0.054956000000000005,-20.24528713880196,-4.13424972961659,low_r2(0.82),-0.21183745926466763,1.6200164716103522,0.42485835792156934,0.8218594180701166
MIRAUSDT,1w,10,10,2026-06-15,0.0554,0.07453,-25.66751643633436,-5.741747818388776,low_a(-0.163),-0.16345879376994552,0.6166073754885198,0.20956942428640551,0.9438586549685067
MLNUSDT,1w,10,10,2026-05-11,2.351,3.1067,-24.3248462999324,-3.2753199041065995,vertex_out(1.00),0.2652532415482002,-4.780132245202203,1.0011674163196873,0.9845881656090765
MMTUSDT,1w,10,10,2026-06-15,0.128,0.12828,-0.2182725288431553,-0.742804085422466,low_a(-0.102),-0.10169588013685753,1.5711127733148114,0.8582849457074485,0.9235468734792325
MOCAUSDT,1w,10,10,2026-06-15,0.0099,0.012264,-19.27592954990215,-4.359354285268635,low_a(-0.031),-0.031359630533992926,-1.2866449103177147,-2.2793722878190823,0.986750439337233
MONUSDT,1w,10,10,2026-06-15,0.02263,0.027068000000000002,-16.395744052017147,-5.544893045329225,low_a(-0.484),-0.48443171898506965,5.800350623535984,0.6651952972499026,0.9708913418684673
MOODENGUSDT,1w,10,10,2026-06-15,0.04221,0.05094,-17.137809187279153,-1.8194433736797522,low_a(-0.221),-0.22146746626715147,2.450098079400753,0.614611989114979,0.8922150817446659
MORPHOUSDT,1w,10,10,2026-06-15,1.9577,1.9707599999999998,-0.6626885059570875,3.9145382068209056,low_a(-0.003),-0.0029344945818993618,1.73753062533944,32.89475461326134,0.9750431181254927
MOVEUSDT,1w,10,10,2026-06-15,0.01202,0.015856000000000002,-24.192734611503543,-6.382476235460821,low_a(-0.044),-0.04432501315898768,-2.152617400421921,-2.6980218855219147,0.993458972447212
MOVRUSDT,1w,10,10,2026-06-15,1.411,1.9035,-25.873391121618074,2.3552185836425377,low_a(-0.450),-0.4497069588493766,8.341863314492977,1.0305307527170986,0.9921576308104089
MPUSDT,1d,20,15,2026-06-15,58.21,61.592,-5.4909728536173485,-1.1586481368552781,low_a(-0.044),-0.04440449974235924,0.42629834660305704,0.3428693271728383,0.969958514582842
MRVLUSDT,1w,10,10,2026-06-15,305.66,209.565,45.85450814783005,20.734552786979688,vertex_out(-0.34),0.5652826129831137,3.4382369267534707,-0.33790737271999033,0.9980460706431252
MSFTUSDT,1w,10,10,2026-06-15,399.93,418.925,-4.534224503192696,1.3521686956858403,low_a(0.060),0.05995706129683432,0.32055424869477717,-0.29702205189420017,0.9779225650524771
MSTRUSDT,1w,10,10,2026-06-15,130.02,158.13400000000001,-17.778592838984665,0.8263303536132804,low_a(-0.259),-0.2586374172025568,4.282972240457801,0.9199863841097135,0.9913949297810016
MTLUSDT,1w,10,10,2026-06-15,0.2569,0.28813999999999995,-10.841951828972007,-1.554545765144022,low_a(-0.161),-0.1613170768219734,2.0670232214128186,0.7118565850195306,0.9422054514230213
MUBARAKUSDT,1w,10,10,2026-06-15,0.01089,0.012936,-15.816326530612235,-0.26214340786431256,low_r2(0.51),-0.010928209220016165,-0.25757702628607093,-1.3094400469072867,0.5055822373686658
MUSDT,1w,10,10,2026-06-15,2.92354,3.2184490000000006,-9.163078240481692,0.9066853110019313,low_a(-0.507),-0.5068396456882975,9.350411852120459,1.0249145455311752,0.9974626160814885
MUUSDT,1d,20,15,2026-06-15,1084.87,968.8104999999999,11.97958733931972,2.188894461681401,low_a(-0.001),-0.0010384910559617896,1.1553492067112114,39.733102592821716,0.9976546822100962
MYXUSDT,1w,10,10,2026-06-15,0.1668,0.22410000000000002,-25.56894243641232,-4.185728333832128,ma_not_rising(-4.19%),2.277574366902315,-28.975944975402996,0.7067934835625784,0.8573172059245547
NAORISUSDT,1w,10,10,2026-06-15,0.03222,0.055996000000000004,-42.46017572683763,-9.247674305533039,low_a(-1.278),-1.2784282457567573,11.932176760566502,0.5185263319397035,0.8894997382417373
NATGASUSDT,1d,20,15,2026-06-15,3.181,3.20285,-0.6822049112509165,0.3509156705779226,low_a(-0.000),-0.0002388633177780933,0.10434870658857359,15.601975036127852,0.8549067481620116
NBISUSDT,1d,20,15,2026-06-15,259.45,235.4395,10.198161311079911,1.7513948493216969,low_a(-0.004),-0.004273766694375329,0.4331419861089721,3.619607187989017,0.9536662142166663
NEARUSDT,1w,10,10,2026-06-15,2.392,1.8438700000000001,29.727149961765175,12.288682646399707,vertex_out(-0.14),0.4237908243560672,1.0722584488963034,-0.1405644256646813,0.9953902580518784
NEIROCTOUSDT,1w,10,10,2026-06-15,6.97e-05,8.394e-05,-16.96449845127472,3.706449221645669,low_a(-0.129),-0.12930067464705208,3.9696609137381245,1.7056114984077835,0.992139083706375
NEOUSDT,1w,10,10,2026-06-15,2.28,2.6696999999999997,-14.597145746713114,-3.4501464684821626,low_r2(0.83),-0.22374738022127755,2.1420900406314827,0.5318721593057903,0.8266400814796511
NEWTUSDT,1w,10,10,2026-06-15,0.05402,0.068742,-21.416310261557705,-2.921862422504984,low_a(-0.248),-0.2478873542775901,2.508892482440142,0.5622832842656214,0.92968020933101
NFLXUSDT,1d,20,15,2026-06-15,81.68,83.05350000000001,-1.6537533035934748,-0.846440829726891,low_a(-0.009),-0.009230352334206802,-0.25811282634813804,-0.9986959211250283,0.9992055269585955
NIGHTUSDT,1w,10,10,2026-06-15,0.03412,0.033249,2.619627657974677,-3.976780453994122,vertex_out(1.22),0.3391159005504406,-7.4633915009322775,1.2226877609981937,0.9964994777755681
NILUSDT,1w,10,10,2026-06-15,0.04091,0.049173,-16.803937119964207,3.4937806495064505,vertex_out(0.05),0.23576891345615142,-0.20504183324564101,0.04831516076952918,0.9011154162858157
NIOUSDT,1d,20,15,2026-06-15,5.205,5.4928,-5.239586367608506,-0.17991167972086775,low_a(0.027),0.027202438417576563,-0.7190469407405858,0.9440421292158623,0.9898981237454108
NMRUSDT,1w,10,10,2026-06-15,8.573,8.739799999999999,-1.9085104922309304,0.7783402326948963,low_a(-0.025),-0.024840653944658557,1.781581970948648,3.9844674131494275,0.9803537552382743
NOMUSDT,1w,10,10,2026-05-25,0.002103,0.0028686999999999996,-26.691532750026138,-4.056856187290981,vertex_out(0.86),1.0343822843822852,-15.947376267143698,0.8565163591367314,0.9799837429558979
NOTUSDT,1w,10,10,2026-06-15,0.0004513,0.00045012000000000003,0.26215231493822433,5.397241669983854,low_a(-0.031),-0.03101163356139728,2.678032844662225,4.797541612462263,0.9700203662043871
NVDAUSDT,1w,10,10,2026-06-15,212.05,211.154,0.4243348456576701,2.8845123127746897,low_a(0.040),0.03962549863459747,1.4841815956009223,-2.080845312491492,0.9918085086176234
NXPCUSDT,1w,10,10,2026-06-15,0.3472,0.33871,2.506569041362816,4.465965518304915,low_a(0.099),0.09881552527531183,1.479331508251827,-0.8317021395452864,0.9901950550804034
OGNUSDT,1w,10,10,2026-06-15,0.01823,0.021274,-14.308545642568404,-2.6851470655505083,low_a(-0.266),-0.2657204450135359,2.4393032716209375,0.5099978227737881,0.890787124625954
OGUSDT,1w,10,10,2026-06-15,2.732,3.03025,-9.842422242389237,0.6536968082456074,low_a(-0.048),-0.04798034814205746,1.3721325736692846,1.5887668676428772,0.8825060870691959
OKLOUSDT,1d,20,15,2026-06-15,60.5,62.090999999999994,-2.5623681370890994,-1.4045144540337118,low_a(-0.036),-0.035518665054521566,0.12701066322436488,0.12771018021631525,0.9875411697267749
ONDOUSDT,1w,10,10,2026-06-15,0.37,0.34642,6.806766352981919,7.340501347875938,low_a(0.128),0.12774778645962043,2.617569122716896,-1.1383407168747384,0.9826565413929477
ONEUSDT,1w,10,10,2026-06-15,0.001524,0.0019721,-22.721971502459315,-5.510037851564375,low_a(-0.202),-0.20188003436471055,0.3767643398882744,0.10368213123146827,0.9759037255483027
ONGUSDT,1w,10,10,2026-06-15,0.04931,0.06462500000000002,-23.698259187620906,-10.667385474551406,low_r2(0.85),-0.45022349872523754,3.8266021491519577,0.4721855009526252,0.8495185455006621
ONTUSDT,1w,10,10,2026-06-15,0.04991,0.05935700000000001,-15.915561770305109,-11.164823323405692,low_a(-0.711),-0.7111923393045202,7.351785044954938,0.5742926068310935,0.9325138082515904
OPENUSDT,1w,10,10,2026-06-15,0.2364,0.21266,11.16335935295778,7.052605084319152,low_a(-0.020),-0.020039134399437723,2.849010167257825,7.8984620528257885,0.9824298022988807
OPGUSDT,1d,20,15,2026-06-15,0.1615,0.17380500000000002,-7.079773309168324,1.3587986586966139,vertex_out(1.21),0.09571632632015874,-3.2367756000513075,1.2077263411321997,0.9871995689100223
