symbol,last_close,today_chg,today_amount,vol_ratio_1d,ch_score,ret_30d,ret_90d,from_high_1y,has_1h,ch_pct,거래대금,today_chg_str,vol_x
ARKMUSDT,0.1453,0.07232472324723238,803092.5702000001,0.9748975608493877,41.0,0.21793797150041927,0.38117870722433467,-0.7782694948878376,True,35.7,$803K,7.23%,1.0
EIGENUSDT,0.2499,0.12314606741573031,4664980.0113,2.795052561567947,38.0,0.4007847533632287,0.3076923076923077,-0.873230862882362,True,33.0,$4.7M,12.31%,2.8
NILUSDT,0.08485,0.12577948785989101,28577871.158499997,2.3005984209702306,37.0,1.0284484819507531,0.8497928929583605,-0.7659955874241589,True,32.2,$28.6M,12.58%,2.3
TIAUSDT,0.4733,0.1410318225650915,13815252.146399999,2.2600714110423756,37.0,0.3522857142857143,0.5803005008347246,-0.7389265817198962,True,32.2,$13.8M,14.1%,2.3
SUPERUSDT,0.1216,-0.04776820673453408,1535887.1616,3.6082677350930945,36.0,-0.04176516942474395,0.12696941612604262,-0.8181818181818181,True,31.3,$1.5M,-4.78%,3.6
ATOMUSDT,2.1349,0.039842189859237154,2912515.9760000003,0.6771507293724999,36.0,0.05343925787032466,0.07383934409737947,-0.5430436643835617,True,31.3,$2.9M,3.98%,0.7
FIGHTUSDT,0.00507,-0.012273524254821866,588607.84554,0.49648371563254723,36.0,0.4428002276607854,-0.31882305521966947,,True,31.3,$589K,-1.23%,0.5
POLYXUSDT,0.05682,0.020657445661936613,903111.0009,1.0838281362561402,35.0,0.1314217443249701,0.39401373895976466,-0.5941428571428571,True,30.4,$903K,2.07%,1.1
GRTUSDT,0.02761,0.0693261037955073,603327.223367,1.3386247147242827,35.0,0.12008113590263703,0.0759937646141855,-0.7197807774281945,True,30.4,$603K,6.93%,1.3
KAITOUSDT,0.5119,0.03917986195696321,2773830.73835,1.6164075275198877,35.0,0.26739291903936624,0.7029274783765804,-0.6716274295977933,True,30.4,$2.8M,3.92%,1.6
LPTUSDT,2.305,0.05831037649219484,1757869.526,1.6379348087585492,35.0,0.05251141552511429,0.03735373537353737,-0.6773064538709226,True,30.4,$1.8M,5.83%,1.6
TONUSDT,1.9358,0.0985132221087277,39087984.68306,0.9921688476174151,35.0,0.4698557327258923,0.5017843289371606,-0.38773444665844325,True,30.4,$39.1M,9.85%,1.0
LLYUSDT,1070.56,0.0035057460490055536,269941.70399999997,0.6529034329540806,33.0,0.20953564568975258,0.025676400705142877,,True,28.7,$270K,0.35%,0.7
UBUSDT,0.19003,0.1734593059157712,30699487.69229,1.6665574142123154,32.0,3.0006315789473685,3.4337377508166123,-0.17410578469294613,True,27.8,$30.7M,17.35%,1.7
PHAUSDT,0.04885,0.3321516225797654,18000358.2056,24.856592042459827,31.0,0.4634511683642899,1.1425438596491224,-0.5534326720906848,True,27.0,$18.0M,33.22%,24.9
DYDXUSDT,0.1546,0.05890410958904102,1373408.2703999998,0.9834232424906373,30.0,-0.04508956145768994,0.6804347826086956,-0.7787952496780656,True,26.1,$1.4M,5.89%,1.0
TSLAUSDT,433.03,0.005760074323539532,3030214.031,0.17819029204000306,30.0,0.1542849526855925,0.05844251075479079,-0.1166619068989434,True,26.1,$3.0M,0.58%,0.2
AWEUSDT,0.053507,0.0754095065822531,786418.864965,3.3338472567332964,30.0,-0.014749208219783538,0.03635483246174709,-0.5588615995976685,True,26.1,$786K,7.54%,3.3
WLDUSDT,0.3303,0.12807377049180313,35941614.978599995,2.308287160898989,29.0,0.2777562862669245,-0.12013851891315941,-0.7942440665296207,True,25.2,$35.9M,12.81%,2.3
