,KOSPI,시총_조,GDP_조,시총GDP_%,거래대금_주간_조,거래대금_일평균_조,신용잔고_조,예탁금_조,외인비중_%
2021-04-30,3147.86,2196.64481428586,2072.0,106.01567636514768,89.64501065757099,17.9290021315142,23.2723,58.4167,54.59
2021-05-07,3197.2,2231.7544531174,2072.0,107.71015700373552,64.771017200039,16.19275430000975,22.5174,67.9612,54.46
2021-05-14,3153.32,2209.898269932238,2072.0,106.65532190792652,97.082085159767,19.4164170319534,23.2568,66.6149,53.9
2021-05-21,3156.42,2211.878673922714,2072.0,106.75090125109622,56.960247719609,14.24006192990225,23.0415,64.7771,53.74
2021-05-28,3188.73,2229.2621361640568,2072.0,107.58987143648922,70.72072494272,14.144144988544,23.0095,64.3658,53.64
2021-06-04,3240.08,2266.301575442776,2072.0,109.37748916229614,79.970584865805,15.994116973160999,23.3458,64.1691,53.84
2021-06-11,3249.32,2272.865086057899,2072.0,109.69426091013025,92.666901648899,18.5333803297798,23.4596,66.6158,53.81
2021-06-18,3267.93,2285.587401970588,2072.0,110.30827229587781,78.56360634770499,15.712721269540998,23.4934,67.0257,53.73
2021-06-25,3302.84,2312.030311092176,2072.0,111.58447447356062,90.71368010627401,18.1427360212548,23.683,67.0592,53.57
2021-07-02,3281.78,2296.886523040171,2072.0,110.85359667182293,76.466082506445,15.293216501289,24.1969,66.9616,53.5
2021-07-09,3217.95,2253.697507876528,2072.0,108.76918474307568,77.06709957016899,15.413419914033799,24.5075,66.5405,53.47
2021-07-16,3276.91,2304.50579491259,2072.0,111.22132214829101,66.23284553686,13.246569107372,24.5615,68.9025,53.49
2021-07-23,3254.42,2288.976880025907,2072.0,110.47185714410747,69.261034571718,13.8522069143436,24.5373,67.7974,53.33
2021-07-30,3202.32,2252.545492371046,2072.0,108.71358553914314,59.839806540926,11.967961308185199,24.3432,67.2561,53.17
2021-08-06,3270.36,2334.628994435797,2072.0,112.67514451910216,62.419599892218,12.4839199784436,24.0439,68.8074,53.35
2021-08-13,3171.29,2285.376012401448,2072.0,110.29807009659498,97.189739910657,19.437947982131398,24.9821,71.9869,52.12
2021-08-20,3060.51,2209.662899424604,2072.0,106.64396232744227,72.615638349512,18.153909587378,25.0857,69.65,51.76
2021-08-27,3133.9,2262.422711844216,2072.0,109.19028532066679,66.110924437742,13.2221848875484,24.5597,71.2843,51.64
2021-09-03,3201.06,2315.800431016042,2072.0,111.76643006834179,69.649615650602,13.9299231301204,25.0237,69.7502,51.8
2021-09-10,3125.76,2262.86681666164,2072.0,109.21171895085135,72.913120501811,14.5826241003622,25.4547,73.3419,51.77
2021-09-17,3140.51,2284.484860912835,2072.0,110.25506085486654,68.652594990566,13.730518998113201,25.2639,69.3626,51.93
2021-09-24,3125.24,2273.591460336983,2072.0,109.72931758383122,26.567374564984,13.283687282492,25.1661,67.8228,51.98
2021-10-01,3019.18,2195.489101771914,2072.0,105.95989873416573,69.949566431464,13.9899132862928,24.4745,69.7746,51.84
2021-10-08,2956.3,2150.115811292973,2072.0,103.77006811259521,55.524957579417006,13.881239394854251,22.9366,66.2217,51.76
2021-10-15,3015.06,2192.125724879263,2072.0,105.79757359455904,49.667701761609,12.41692544040225,22.9643,67.8426,51.42
2021-10-22,3006.16,2184.542201010108,2072.0,105.43157340782375,51.55984962781,10.311969925562,23.6818,64.339,51.42
2021-10-29,2970.68,2159.37592740638,2072.0,104.21698491343534,53.625949334797,10.7251898669594,23.9198,66.7305,51.26
2021-11-05,2969.27,2185.189385744004,2072.0,105.46280819227817,58.84027799003,11.768055598006,23.9177,65.01,51.21
2021-11-12,2968.8,2185.4394677900755,2072.0,105.4748777890963,55.677640227221,11.1355280454442,23.5389,63.5313,51.18
2021-11-19,2971.02,2192.237374729624,2072.0,105.80296210085058,54.2864327324,10.857286546480001,23.5573,66.0808,51.21
2021-11-26,2936.44,2167.4445972314033,2072.0,104.60639948028007,56.041883074844,11.2083766149688,23.4788,64.9045,51.39
2021-12-03,2968.33,2192.83546633947,2072.0,105.8318275260362,67.742353185312,13.5484706370624,22.4455,64.2444,51.6
2021-12-10,3010.23,2225.643249770856,2072.0,107.41521475728071,52.037192081098,10.4074384162196,22.7294,63.5284,51.75
2021-12-17,3017.73,2231.0554791510326,2072.0,107.67642273894944,46.913614732434,9.3827229464868,23.0988,62.8408,51.82
2021-12-24,3012.43,2230.0194057539607,2072.0,107.62641919661972,44.468556276969004,8.8937112553938,23.0544,62.7758,51.89
2021-12-31,2977.65,2203.366545861792,2072.0,106.340084259739,40.013413636923005,10.003353409230751,22.966,69.6535,51.92
2022-01-07,2954.89,2187.5605336554313,2162.0,101.18226335131504,57.493340202978004,11.4986680405956,23.7066,65.2047,52.11
2022-01-14,2921.92,2164.996762680052,2162.0,100.13861066975265,54.198440744222,10.839688148844399,23.3778,65.3401,52.22
2022-01-21,2834.29,2098.926813130747,2162.0,97.08264630577,49.67667048572,9.935334097144,22.8482,74.041,52.22
2022-01-28,2663.34,2094.859102056597,2162.0,96.89450055765943,64.286055571306,12.8572111142612,21.5715,70.3447,52.12
2022-02-04,2750.26,2162.1897622555634,2162.0,100.008777162607,23.865792154513,11.9328960772565,20.9358,66.6658,52.09
2022-02-11,2747.71,2161.3812671041314,2162.0,99.97138145717537,57.184153494263,11.4368306988526,21.4489,64.1011,52.22
2022-02-18,2744.52,2157.425759339174,2162.0,99.7884255013494,49.726350384551,9.9452700769102,20.6261,62.5005,52.23
2022-02-25,2676.76,2103.9633294681807,2162.0,97.31560265810272,53.432907890779,10.6865815781558,20.8441,64.993,52.15
2022-03-04,2713.43,2132.467179182464,2162.0,98.63400458753301,46.911205788046,11.7278014470115,20.8733,63.0369,52.05
2022-03-11,2661.28,2090.54796932635,2162.0,96.6950957135222,49.826661453073996,12.456665363268499,21.2764,62.5009,51.82
2022-03-18,2707.02,2125.657537077496,2162.0,98.3190350174605,54.275188529091004,10.855037705818201,21.3732,61.4492,51.79
2022-03-25,2729.98,2143.377809045015,2162.0,99.13865906776202,53.902881470396004,10.7805762940792,21.6231,62.9772,51.91
2022-04-01,2739.85,2151.2795377722327,2162.0,99.5041414325732,51.34050980512,10.268101961024,21.8992,66.8051,51.63
2022-04-08,2700.39,2119.20135632141,2162.0,98.02041426093479,53.279920262899,10.6559840525798,22.2123,61.8928,51.37
2022-04-15,2696.06,2114.4292912287874,2162.0,97.79968969605862,49.320876112323,9.864175222464599,22.0862,61.7973,51.21
2022-04-22,2704.71,2122.781766112951,2162.0,98.18602063427157,54.717400033503,10.9434800067006,22.2811,62.8601,51.13
2022-04-29,2695.05,2119.864985287662,2162.0,98.05110940275958,60.19282774637,12.038565549274,22.1438,61.4062,50.9
2022-05-06,2644.51,2081.3204284986846,2162.0,96.26828993980965,38.774338914718996,9.693584728679749,22.1784,60.3908,50.82
2022-05-13,2604.24,2049.292684237125,2162.0,94.78689566314176,51.250359528126,10.2500719056252,21.7252,59.9665,50.74
2022-05-20,2639.29,2077.5581357345,2162.0,96.09427084803423,47.752910866527,9.5505821733054,21.5023,59.6016,50.75
2022-05-27,2638.05,2076.11588077169,2162.0,96.02756155280713,41.513831113127,8.302766222625399,21.4786,58.4834,50.6
2022-06-03,2670.65,2101.703361724826,2162.0,97.21107131012147,36.872090462771,9.21802261569275,21.4452,58.6526,50.59
2022-06-10,2595.87,2043.21322202413,2162.0,94.50569944607446,36.057197916186,9.0142994790465,21.515,57.3044,50.26
2022-06-17,2440.93,1921.148559919856,2162.0,88.85978538019685,51.055379979211,10.211075995842199,20.2363,57.1736,49.97
2022-06-24,2366.6,1862.3207995251673,2162.0,86.13879738784308,43.904700354739,8.7809400709478,18.7712,57.546,49.67
2022-07-01,2305.42,1814.290027911482,2162.0,83.91720758147466,40.426752041983,8.0853504083966,17.8628,58.7383,49.59
2022-07-08,2350.61,1850.89357432283,2162.0,85.61024858107447,37.810169251204,7.5620338502408,17.5232,54.4137,49.61
2022-07-15,2330.98,1837.2552964477593,2162.0,84.97943091802772,32.592061078894,6.5184122157788,17.7075,54.4787,49.74
2022-07-22,2393.14,1886.4969181970953,2162.0,87.25702674362142,34.378576906245,6.875715381249,18.0992,55.2406,49.79
2022-07-29,2451.5,1931.9037373570247,2162.0,89.35724964648588,38.703176435097,7.7406352870193995,18.4131,54.259,49.82
2022-08-05,2490.8,1962.992757832162,2162.0,90.79522469158935,36.594808080914,7.3189616161828,18.6872,53.7629,49.88
2022-08-12,2527.94,1990.5185879778433,2162.0,92.06838982321199,43.32346081307,8.664692162614,19.1803,55.3138,49.73
2022-08-19,2492.69,1963.8428952857512,2162.0,90.83454649795334,29.46242025502,7.365605063755,19.3059,55.2274,49.81
2022-08-26,2481.03,1955.2963640484952,2162.0,90.43923978022642,37.70350537111,7.5407010742219995,19.1585,54.265,49.81
2022-09-02,2409.41,1899.0543828729872,2162.0,87.83785304685418,39.947612428482,7.9895224856964004,19.2754,54.7126,49.76
2022-09-09,2384.28,1879.133852167728,2162.0,86.91645939721221,28.493695192821,7.12342379820525,19.1219,51.7043,49.53
2022-09-16,2382.78,1877.514132114876,2162.0,86.84154172594246,32.913886255568,8.228471563892,19.0493,52.0966,49.49
2022-09-23,2290.0,1804.4999596190032,2162.0,83.46438296110098,34.9982911668,6.99965823336,18.7598,51.702,49.35
2022-09-30,2155.49,1698.450563093902,2162.0,78.55923048537937,41.840182993193,8.3680365986386,17.029,50.8523,49.27
2022-10-07,2232.84,1761.987170795059,2162.0,81.49801900069653,31.690869792573,7.92271744814325,16.5476,49.3041,49.46
