Date,삼성주가,삼성시총_조,삼성TTM순이익_조,삼성PER,하이닉스주가,하이닉스시총_조,하이닉스TTM순이익_조,하이닉스PER
2019-02-21,46950,280.2812907225,47.577,5.8911089543792166,76700,55.8377813955,15.3639,3.634349442231465
2019-02-22,47150,281.4752472325,47.577,5.916204200191269,76700,55.8377813955,15.3639,3.634349442231465
2019-02-25,47350,282.6692037425,47.577,5.94129944600332,75400,54.891378321,15.3639,3.572750299142796
2019-02-26,46750,279.0873342125,47.577,5.8660137085671655,75200,54.745777848,15.3639,3.5632735078983857
2019-02-27,46750,279.0873342125,47.577,5.8660137085671655,73700,53.6537743005,15.3639,3.4921975735653055
2019-02-28,45100,269.237193005,47.577,5.658977930617736,70000,50.96016555,15.3639,3.3168769355437098
2019-03-04,44850,267.7447473675,47.577,5.627608873352671,70100,51.0329657865,15.3639,3.321615331165915
2019-03-05,44250,264.1628778375,47.577,5.552323135916514,69700,50.7417648405,15.3639,3.3026617486770937
2019-03-06,44000,262.6704322,47.577,5.5209540786514495,68100,49.5769610565,15.3639,3.226847418721809
2019-03-07,44450,265.3568343475,47.577,5.577418381728567,68100,49.5769610565,15.3639,3.226847418721809
2019-03-08,43800,261.47647569,47.577,5.495858832839397,66700,48.5577577455,15.3639,3.1605098800109346
2019-03-11,43650,260.5810083075,47.577,5.477037398480358,66600,48.484957509,15.3639,3.1557714843887292
2019-03-12,44650,266.5507908575,47.577,5.602513627540618,67700,49.2857601105,15.3639,3.207893836232988
2019-03-13,43850,261.7749648175,47.577,5.50213264429241,66800,48.630557982,15.3639,3.16524827563314
2019-03-14,43850,261.7749648175,47.577,5.50213264429241,67300,48.9945591645,15.3639,3.1889402537441662
2019-03-15,44200,263.86438871,43.8908,6.0118382146144524,68100,49.5769610565,15.5401,3.190260104922104
2019-03-18,43700,260.879497435,43.8908,5.943830994992117,67800,49.358560347,15.5401,3.17620609564932
2019-03-19,43900,262.073453945,43.8908,5.971033882841051,68000,49.50416082,15.5401,3.18557543516451
2019-03-20,44050,262.9689213275,43.8908,5.991436048727753,70500,51.3241667325,15.5401,3.302692179104381
2019-03-21,45850,273.7145299175,43.8908,6.236262039368159,75900,55.2553795035,15.5401,3.5556643460145043
2019-03-22,46550,277.8933777025,43.8908,6.331472146839429,76100,55.4009799765,15.5401,3.5650336855296936
2019-03-25,45500,271.625106025,43.8908,6.188656985632524,72900,53.0713724085,15.5401,3.415124253286658
2019-03-26,45250,270.1326603875,43.8908,6.154653375821356,72700,52.9257719355,15.5401,3.4057549137714687
2019-03-27,45350,270.7296386425,43.8908,6.168254819745823,73400,53.435373591,15.5401,3.4385476020746326
2019-03-28,44850,267.7447473675,43.8908,6.100247600123488,72300,52.6345709895,15.5401,3.387016234741089
2019-03-29,44650,266.5507908575,43.8908,6.0730447122745534,74200,54.017775483,15.5401,3.4760249601353914
2019-04-01,45050,268.9387038775,43.8908,6.127450487972423,76600,55.764981159,15.5401,3.5884570343176683
2019-04-02,45750,273.1175516625,43.8908,6.222660595443692,76400,55.619380686,15.5401,3.5790876948024786
2019-04-03,46600,278.19186683,43.8908,6.338272868801662,79900,58.1673889635,15.5401,3.743051136318299
2019-04-04,46950,280.2812907225,43.8908,6.385877922537297,78400,57.075385416,15.5401,3.672781089954376
2019-04-05,46850,279.6843124675,43.8908,6.37227647861283,79000,57.512186835,15.5401,3.700889108499945
